target,model_level,feature_group,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,rows,cells,mae,rmse,mean_signed_error,median_abs_error,mean_y_true,mean_y_pred,support_score,nearest_distance,nearest_parameter_set,same_stressor_support_count,exact_nominal_match_count,claim_scope
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.4024433007561317,0.5199769759371711,0.4024433007561317,0.4080713150131996,2.2871866666666665,2.6896299674227984,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.39352753857913436,0.4997719180251861,0.39352753857913436,0.3877634205583199,-0.5571718333333334,-0.16364429475419898,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.39305486409882356,0.5000523322447583,0.39305486409882356,0.3887825850327509,-0.5571718333333334,-0.16411696923450983,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.3915093902109912,0.5048164114118452,0.3915093902109912,0.3945365795461584,2.2871866666666665,2.678696056877658,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F6_coupled_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.3802453050891436,0.49129291997150315,0.3802453050891436,0.3719144876472823,-0.5571718333333334,-0.17692652824418978,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.3748515528992455,0.40838307408233393,0.3748515528992455,0.37415395319439637,-0.5564216666666667,-0.1815701137674212,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.3729470939709158,0.47417789507947594,0.3729470939709158,0.37831926189654536,-0.5571718333333334,-0.18422473936241765,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.3698096986525364,0.4688222096862718,0.3698096986525364,0.37232225555154863,-0.5571718333333334,-0.187362134680797,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.36921386459388666,0.4819448383731211,0.36921386459388666,0.35620596900818513,2.2871866666666665,2.6564005312605534,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.3654692850339523,0.4004060967434583,0.3654692850339523,0.35855288751195746,-0.5564216666666667,-0.19095238163271436,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.36302425183161313,0.4270500645857117,0.36302425183161313,0.37129095827935865,2.1861891666666664,2.54921341849828,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F6_coupled_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.3548878975125296,0.4723168021617354,0.3548878975125296,0.3412626059548618,2.2871866666666665,2.6420745641791963,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.34972687392621865,0.46081940916429676,0.34972687392621865,0.3321616454773244,2.2871866666666665,2.6369135405928854,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F8_timestamp_weighted_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.3457754227687236,0.4185721614005332,0.3457754227687236,0.35243200418499065,2.1861891666666664,2.53196458943539,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.34503406352606697,0.425444177718466,0.34503406352606697,0.3431041970155899,-0.5571718333333334,-0.21213776980726642,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F8_timestamp_weighted_stress,1,36,cyclic,10.0,approx_10_100,1.67,1.0,0,6,3,0.34405574079448886,0.45456628039453945,0.34405574079448886,0.32853468605383673,2.2871866666666665,2.6312424074611553,0.5988023952095809,0.6699999999999999,35,0,0,condition_error_hotspot_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F6_coupled_stress,1,32,cyclic,10.0,approx_0_100,1.67,1.0,0,6,3,0.3418947717049022,0.36897091538472193,0.3418947717049022,0.3503423980095255,-0.5564216666666667,-0.21452689496176447,0.5988023952095809,0.6699999999999999,31,0,0,condition_error_hotspot_diagnostic
