target,model_level,feature_group,fold_rows,test_rows,test_parameter_sets,mean_mae,mean_condition_mean_mae,max_worst_condition_mae,claim_scope
capacity_Ah_k1,L2_hist_gradient_boosting,F10_c_rate_v1_1,2,266,24,0.11358113265731423,0.1442036562265338,0.2883111293685962,c_rate_metric_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F4_state_log_age_scalar,2,266,24,0.0974975101639661,0.126706808830777,0.2764345999580851,c_rate_metric_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F5_log_age_histograms,2,266,24,0.09501742885525619,0.1288996100539912,0.2920034259316786,c_rate_metric_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F6_coupled_stress,2,266,24,0.09426306256544531,0.1302635279174083,0.2879264154120083,c_rate_metric_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F7_c_rate_focused,2,266,24,0.11702887123635583,0.15039975267442549,0.31418380239132243,c_rate_metric_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,2,266,24,0.09464181402018898,0.12971679656816934,0.2819042268405276,c_rate_metric_diagnostic
capacity_Ah_k1,L2_hist_gradient_boosting,F9_event_segmented_stress,2,266,24,0.10653602491627143,0.1474238948996237,0.3145526459554329,c_rate_metric_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,2,266,24,0.14778186473792554,0.19516804993564846,0.3915093902109912,c_rate_metric_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,2,266,24,0.14293915491158599,0.19702241583742497,0.4024433007561317,c_rate_metric_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,2,266,24,0.13222673742719626,0.1862962397650627,0.35303728168296333,c_rate_metric_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F6_coupled_stress,2,266,24,0.13319438401303918,0.1868779074717912,0.3548878975125296,c_rate_metric_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,2,266,24,0.1497096031588246,0.1975937409579712,0.36921386459388666,c_rate_metric_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F8_timestamp_weighted_stress,2,266,24,0.13208311103986592,0.18466937044859072,0.3457754227687236,c_rate_metric_diagnostic
capacity_Ah_k1,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,2,266,24,0.13252885484615878,0.1835712869061168,0.33434818660934784,c_rate_metric_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F10_c_rate_v1_1,2,266,24,0.12627807582259065,0.15470413522927792,0.29739903766425096,c_rate_metric_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F4_state_log_age_scalar,2,266,24,0.08579483739555328,0.10082744252727076,0.193505570859936,c_rate_metric_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F5_log_age_histograms,2,266,24,0.08056304500887768,0.10569447087654782,0.23010896530342606,c_rate_metric_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F6_coupled_stress,2,266,24,0.07991999230257123,0.10424449231942237,0.2158290472215679,c_rate_metric_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F7_c_rate_focused,2,266,24,0.11551937692540734,0.14992194671422945,0.31611838400029085,c_rate_metric_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,2,266,24,0.08030418936462401,0.10570952676685501,0.21193834940315578,c_rate_metric_diagnostic
delta_capacity_Ah,L2_hist_gradient_boosting,F9_event_segmented_stress,2,266,24,0.09693973036797829,0.1299748932976053,0.2699677504478344,c_rate_metric_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F10_c_rate_v1_1,2,266,24,0.13344889716916342,0.18043278851943947,0.39305486409882356,c_rate_metric_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,2,266,24,0.12526076812922377,0.17710538203913134,0.3748515528992455,c_rate_metric_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F5_log_age_histograms,2,266,24,0.1126134885690096,0.15948835706929,0.34503406352606697,c_rate_metric_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F6_coupled_stress,2,266,24,0.11316059577666648,0.1637906101393229,0.3802453050891436,c_rate_metric_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F7_c_rate_focused,2,266,24,0.13699352011346588,0.18684632216130284,0.39352753857913436,c_rate_metric_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F8_timestamp_weighted_stress,2,266,24,0.11129541579007815,0.1591561313440918,0.32200357486969206,c_rate_metric_diagnostic
delta_capacity_Ah,L3_quantile_hist_gradient_boosting,F9_event_segmented_stress,2,266,24,0.12032014694110763,0.1750588873489735,0.3729470939709158,c_rate_metric_diagnostic
