target,model_level,feature_group,stress_feature,high_error_threshold_mae,high_error_rows,lower_error_rows,high_error_mean_feature,lower_error_mean_feature,mean_feature_difference,high_error_mean_mae,lower_error_mean_mae,high_error_conditions,lower_error_conditions,dominant_high_error_conditions,claim_scope
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,cold_time_h,0.1309872843642328,67,199,201.33460199004975,60.95609156895588,140.37851042109386,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,max_log_age_gap_s,0.1309872843642328,67,199,1214.7761194029852,1340.6532663316582,-125.87714692867303,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,max_log_age_gap_s,0.10733884633713493,67,199,1214.7761194029852,1340.6532663316582,-125.87714692867303,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,cold_time_h,0.10733884633713493,67,199,173.93177446102817,70.18216917922948,103.7496052817987,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,hot_time_h,0.1309872843642328,67,199,126.68085406301823,198.72800809603567,-72.04715403301743,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,abs_current_ge_1C_time_h,0.1309872843642328,67,199,87.77201492537313,144.58103015075375,-56.80901522538062,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,hot_time_h,0.10733884633713493,67,199,141.63866086235487,193.6919625907314,-52.05330172837654,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,abs_current_ge_1C_time_h,0.10733884633713493,67,199,93.63731343283582,142.60628140703517,-48.968967974199344,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,high_voltage_time_h,0.10733884633713493,67,199,67.7665422885572,34.23136515912898,33.53517712942823,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,high_voltage_time_h,0.1309872843642328,67,199,66.77686567164179,34.564572864321605,32.21229280732018,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,charge_current_ge_1C_time_h,0.1309872843642328,67,199,40.9639303482587,69.14082914572863,-28.17689879746993,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,abs_current_ge_1p5C_time_h,0.1309872843642328,67,199,32.74390547263681,59.245100502512564,-26.501195029875753,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,charge_current_ge_1C_time_h,0.10733884633713493,67,199,44.065298507462686,68.0966499162479,-24.031351408785213,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
delta_capacity_Ah,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,abs_current_ge_1p5C_time_h,0.10733884633713493,67,199,35.650870646766165,58.26637353433835,-22.615502887572184,0.21733729224495363,0.033191358581717095,12,12,"P60:n=11,T=40.0,C=1.67/1.0,V=approx_10_100; P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P52:n=8,T=25.0,C=1.67/1.0,V=approx_10_90; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P36:n=6,T=10.0,C=1.67/1.0,V=approx_10_100",stress_error_association_diagnostic_not_causal
capacity_Ah_k1,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,cold_high_charge_time_h,0.1309872843642328,67,199,8.592164179104477,3.1538525963149073,5.43831158278957,0.2753005683621976,0.03224992295175916,12,12,"P32:n=10,T=10.0,C=1.67/1.0,V=approx_0_100; P20:n=9,T=0.0,C=1.67/1.0,V=approx_0_100; P60:n=7,T=40.0,C=1.67/1.0,V=approx_10_100; P24:n=6,T=0.0,C=1.67/1.0,V=approx_10_100; P52:n=6,T=25.0,C=1.67/1.0,V=approx_10_90",stress_error_association_diagnostic_not_causal
