method_id,target,split_name,candidate_setting,reference_setting,candidate_condition_mean_mae,reference_condition_mean_mae,condition_mean_mae_gain,relative_degradation,passes_non_degradation_guardrail,claim_scope
adaptive_R2_F8_conservative,capacity_Ah_k1,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,0.1304566767334516,0.12244211150469492,-0.008014565228756682,0.0654559540852852,True,split_guardrail_diagnostic
adaptive_R2_F8_conservative,capacity_Ah_k1,condition_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,0.05378055244645592,0.05357260418838129,-0.00020794825807463058,0.0038816156359210542,True,split_guardrail_diagnostic
adaptive_R2_F8_conservative,capacity_Ah_k1,profile_holdout_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,0.09760217173253728,0.09760217173253728,0.0,0.0,True,split_guardrail_diagnostic
adaptive_R2_F8_conservative,capacity_Ah_k1,temperature_holdout_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,0.06492552777549132,0.06426764374153762,-0.0006578840339536984,0.010236629128640252,True,split_guardrail_diagnostic
adaptive_R2_F8_conservative,capacity_Ah_k1,voltage_window_holdout_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,0.16479552808018486,0.17064715207936518,0.005851623999180322,-0.03429078029065981,True,split_guardrail_diagnostic
targeted_router_D2_F4,capacity_Ah_k1,c_rate_holdout_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,0.12518636786777063,0.12518636786777063,0.0,0.0,True,split_guardrail_diagnostic
targeted_router_D2_F4,capacity_Ah_k1,condition_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,0.05392666527617392,0.05392666527617392,0.0,0.0,True,split_guardrail_diagnostic
targeted_router_D2_F4,capacity_Ah_k1,profile_holdout_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,0.08436802390070613,0.08436802390070613,0.0,0.0,True,split_guardrail_diagnostic
targeted_router_D2_F4,capacity_Ah_k1,temperature_holdout_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,0.06929389733378725,0.06929389733378725,0.0,0.0,True,split_guardrail_diagnostic
targeted_router_D2_F4,capacity_Ah_k1,voltage_window_holdout_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,0.08441287861354206,0.08441287861354206,0.0,0.0,True,split_guardrail_diagnostic
adaptive_R2_F8_conservative,delta_capacity_Ah,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,0.08108915098979329,0.10251578832333012,0.021426637333536835,-0.20900817019480158,True,split_guardrail_diagnostic
adaptive_R2_F8_conservative,delta_capacity_Ah,condition_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,0.0427692734469871,0.04170028239886194,-0.001068991048125155,0.02563510332856473,True,split_guardrail_diagnostic
adaptive_R2_F8_conservative,delta_capacity_Ah,profile_holdout_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,0.08269291452361342,0.08269291452361342,0.0,0.0,True,split_guardrail_diagnostic
adaptive_R2_F8_conservative,delta_capacity_Ah,temperature_holdout_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,0.04757324590951511,0.048683704783932746,0.0011104588744176372,-0.022809662480414307,True,split_guardrail_diagnostic
adaptive_R2_F8_conservative,delta_capacity_Ah,voltage_window_holdout_fold,R5_train_only_stressor_selected_hgb,R0_reference_hgb50,0.13010480367992336,0.12657196344726485,-0.003532840232658513,0.027911712329013853,True,split_guardrail_diagnostic
targeted_router_D2_F4,delta_capacity_Ah,c_rate_holdout_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,0.0904967149458784,0.10113277130259181,0.010636056356713414,-0.10516923663537375,True,split_guardrail_diagnostic
targeted_router_D2_F4,delta_capacity_Ah,condition_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,0.044644919626207015,0.044644919626207015,0.0,0.0,True,split_guardrail_diagnostic
targeted_router_D2_F4,delta_capacity_Ah,profile_holdout_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,0.10915767923739267,0.10915767923739267,0.0,0.0,True,split_guardrail_diagnostic
targeted_router_D2_F4,delta_capacity_Ah,temperature_holdout_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,0.04857476766234761,0.04857476766234761,0.0,0.0,True,split_guardrail_diagnostic
targeted_router_D2_F4,delta_capacity_Ah,voltage_window_holdout_fold,R6_train_only_arm_selector_hgb,D0_R0_F4_reference,0.07084470672683431,0.07084470672683431,0.0,0.0,True,split_guardrail_diagnostic
