status,method,target,split_name,heldout_fold,parameter_set,nominal_coverage,empirical_coverage,coverage_delta_from_nominal,n_test_rows,n_test_conditions,n_calibration_rows,n_calibration_conditions,mean_interval_width,median_interval_width,interval_score,calibration_source,conformal_radius,replicate_radius,mean_test_replicate_spread,intervals_narrower_than_replicate_spread_fraction,intervals_wider_than_replicate_spread_fraction
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,8,0.8,0.9166666666666666,0.11666666666666659,84,1,0,0,0.06711730646711633,0.06318472537963093,0.07151610914599922,model_quantile_outputs,,,,,
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,15,0.8,0.9358974358974359,0.13589743589743586,78,1,0,0,0.1218067288883547,0.09983949452434704,0.13598974281651227,model_quantile_outputs,,,,,
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,18,0.8,0.7647058823529411,-0.03529411764705892,17,1,0,0,0.3426303795211338,0.31530268004302076,0.47835766669036384,model_quantile_outputs,,,,,
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,24,0.8,0.75,-0.050000000000000044,4,1,0,0,0.37297574964886937,0.2520640326103911,0.4860598198790299,model_quantile_outputs,,,,,
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,30,0.8,0.72,-0.08000000000000007,25,1,0,0,0.3657389408452056,0.33429552463377066,0.4980366440479413,model_quantile_outputs,,,,,
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,34,0.8,0.9090909090909091,0.10909090909090902,44,1,0,0,0.25832525252650224,0.19972054950197782,0.3121817479692966,model_quantile_outputs,,,,,
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,37,0.8,0.8809523809523809,0.08095238095238089,84,1,0,0,0.15559477004546549,0.14053886638159896,0.16092694025383797,model_quantile_outputs,,,,,
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,39,0.8,0.6190476190476191,-0.18095238095238098,21,1,0,0,0.23450980086916848,0.13113031787929685,0.931838806514698,model_quantile_outputs,,,,,
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,42,0.8,0.9387755102040817,0.13877551020408163,49,1,0,0,0.3122417980521454,0.2988469311640425,0.33423501251650245,model_quantile_outputs,,,,,
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,61,0.8,0.9404761904761905,0.14047619047619042,84,1,0,0,0.10683988446278724,0.11515369205745363,0.11035044944957116,model_quantile_outputs,,,,,
