method,target,split_name,heldout_fold,nominal_coverage,empirical_coverage,mean_interval_width,median_interval_width,interval_score,n_test_rows,n_test_conditions,n_calibration_conditions
Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,0.8,0.8708530805687204,0.19020460143922785,0.15130581790577047,0.2685039348297002,844,16,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,condition_fold,0,0.9,0.8744075829383886,0.14182880612105553,0.14182880612105553,0.3367851350843701,844,16,60
Q2_stressor_family_conformal,capacity_Ah_k1,condition_fold,0,0.9,0.9466824644549763,0.24514530300751722,0.24514530300751702,0.3547985378582227,844,16,60
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,condition_fold,0,0.9,0.9466824644549763,0.24514530300751722,0.24514530300751702,0.3547985378582227,844,16,60
Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,1,0.8,0.8346820809248555,0.15520633553844507,0.12353041157688516,0.2686679595153885,865,15,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,condition_fold,1,0.9,0.9445086705202312,0.15843426156481666,0.15843426156481666,0.3029559470526853,865,15,61
Q2_stressor_family_conformal,capacity_Ah_k1,condition_fold,1,0.9,0.9676300578034682,0.2540175713511319,0.2540175713511319,0.3583137484338178,865,15,61
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,condition_fold,1,0.9,0.9676300578034682,0.2540175713511319,0.2540175713511319,0.3583137484338178,865,15,61
Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,2,0.8,0.7746636771300448,0.16327952661363757,0.1418564640957416,0.2418818844196458,892,15,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,condition_fold,2,0.9,0.9069506726457399,0.15010147405218088,0.15010147405218088,0.3083704335741079,892,15,61
Q2_stressor_family_conformal,capacity_Ah_k1,condition_fold,2,0.9,0.9461883408071748,0.24057284544994406,0.24057284544994406,0.3328756064099923,892,15,61
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,condition_fold,2,0.9,0.9461883408071748,0.24057284544994406,0.24057284544994406,0.3328756064099923,892,15,61
Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,3,0.8,0.8388998035363457,0.18265015069946272,0.11823245081364187,0.3906843487695981,509,15,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,condition_fold,3,0.9,0.831041257367387,0.13836911776651248,0.1383691177665125,0.5287776733913875,509,15,61
Q2_stressor_family_conformal,capacity_Ah_k1,condition_fold,3,0.9,0.9056974459724951,0.223511704651985,0.223511704651985,0.5065527352642668,509,15,61
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,condition_fold,3,0.9,0.9056974459724951,0.223511704651985,0.223511704651985,0.5065527352642668,509,15,61
Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,4,0.8,0.8800557880055788,0.15368829668477366,0.11222774868794261,0.2725133774969245,717,15,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,condition_fold,4,0.9,0.9205020920502092,0.15231822970488018,0.15231822970488018,0.30995723585146173,717,15,61
Q2_stressor_family_conformal,capacity_Ah_k1,condition_fold,4,0.9,0.9511854951185496,0.24589571166649724,0.24589571166649726,0.34347595830735556,717,15,61
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,condition_fold,4,0.9,0.9511854951185496,0.24589571166649724,0.24589571166649726,0.34347595830735556,717,15,61
Q0_hgb_quantile_raw,capacity_Ah_k1,temperature_holdout_fold,1,0.8,0.8194070080862533,0.17934749622644514,0.12831833153673822,0.40836897664599475,742,19,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,temperature_holdout_fold,1,0.9,0.9245283018867925,0.23630976984177643,0.23630976984177643,0.4567413553594036,742,19,19
Q2_stressor_family_conformal,capacity_Ah_k1,temperature_holdout_fold,1,0.9,0.921832884097035,0.22948455274839485,0.22948455274839485,0.45517265942037194,742,19,57
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,temperature_holdout_fold,1,0.9,0.921832884097035,0.22948455274839485,0.22948455274839485,0.45517265942037194,742,19,57
Q0_hgb_quantile_raw,capacity_Ah_k1,temperature_holdout_fold,2,0.8,0.8018867924528302,0.14765626224296782,0.09098182536330346,0.3570508962241985,1060,19,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,temperature_holdout_fold,2,0.9,0.8716981132075472,0.1840870291644654,0.1840870291644654,0.4800252551318274,1060,19,19
Q2_stressor_family_conformal,capacity_Ah_k1,temperature_holdout_fold,2,0.9,0.9047169811320754,0.24201636386957492,0.24201636386957492,0.47188550826342873,1060,19,57
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,temperature_holdout_fold,2,0.9,0.9047169811320754,0.24201636386957492,0.24201636386957492,0.47188550826342873,1060,19,57
Q0_hgb_quantile_raw,capacity_Ah_k1,c_rate_holdout_fold,1,0.8,0.7643312101910829,0.3008720664574549,0.22702485805325567,0.9769478907449355,157,12,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,c_rate_holdout_fold,1,0.9,,,,,0,0,0
Q2_stressor_family_conformal,capacity_Ah_k1,c_rate_holdout_fold,1,0.9,0.7197452229299363,0.22104851935066705,0.22104851935066705,1.021004660032774,157,12,64
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,c_rate_holdout_fold,1,0.9,0.7197452229299363,0.22104851935066705,0.22104851935066705,1.021004660032774,157,12,64
Q0_hgb_quantile_raw,capacity_Ah_k1,profile_holdout_fold,1,0.8,0.8922872340425532,0.2906763093030957,0.2638696467021835,0.44259314641951625,752,12,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,profile_holdout_fold,1,0.9,,,,,0,0,0
Q2_stressor_family_conformal,capacity_Ah_k1,profile_holdout_fold,1,0.9,0.8231382978723404,0.2255804087390851,0.22558040873908514,0.5110892887548926,752,12,64
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,profile_holdout_fold,1,0.9,0.8231382978723404,0.2255804087390851,0.22558040873908514,0.5110892887548926,752,12,64
Q0_hgb_quantile_raw,capacity_Ah_k1,voltage_window_holdout_fold,1,0.8,0.8769911504424779,0.3098202366427755,0.2730469408188003,0.47253936635275867,1130,28,0
Q1_split_conformal_abs_residual,capacity_Ah_k1,voltage_window_holdout_fold,1,0.9,0.7230088495575221,0.2174897672955618,0.2174897672955618,0.7562593188741662,1130,28,48
Q2_stressor_family_conformal,capacity_Ah_k1,voltage_window_holdout_fold,1,0.9,0.6141592920353982,0.16215863809730013,0.16215863809730013,0.8834542048845576,1130,28,48
Q3_replicate_tolerance_hybrid,capacity_Ah_k1,voltage_window_holdout_fold,1,0.9,0.6141592920353982,0.16215863809730013,0.16215863809730013,0.8834542048845576,1130,28,48
Q0_hgb_quantile_raw,capacity_Ah_k1,voltage_window_holdout_fold,2,0.8,0.7724288840262582,0.2592095854649394,0.22150403627859383,0.5552021616754935,1371,32,0
