c_rate_holdout_parameter_sets,c_rate_holdout_rows,cells,diagnostic_family,finite_current_diagnostic_rows,horizon_checkups,missing_or_unobserved_target_rows,parameter_sets,possible_capacity_start_rows,profile_holdout_parameter_sets,profile_holdout_rows,row_count,target_name
12,142,228,eis,3744,1,77,76,3827,12,733,3750,eis_phase_1kHz
12,107,225,eis,3522,2,72,76,3599,12,698,3527,eis_phase_1kHz
7,74,204,eis,3297,3,71,68,3373,12,662,3302,eis_phase_1kHz
4,40,180,eis,2899,5,68,62,2971,11,590,2903,eis_phase_1kHz
12,142,228,eis,3744,1,77,76,3827,12,733,3750,eis_z_abs_1kHz
12,107,225,eis,3522,2,72,76,3599,12,698,3527,eis_z_abs_1kHz
7,74,204,eis,3297,3,71,68,3373,12,662,3302,eis_z_abs_1kHz
4,40,180,eis,2899,5,68,62,2971,11,590,2903,eis_z_abs_1kHz
12,142,228,eis,3744,1,77,76,3827,12,733,3750,nyquist_im_peak_abs
12,107,225,eis,3522,2,72,76,3599,12,698,3527,nyquist_im_peak_abs
7,74,204,eis,3297,3,71,68,3373,12,662,3302,nyquist_im_peak_abs
4,40,180,eis,2899,5,68,62,2971,11,590,2903,nyquist_im_peak_abs
12,142,228,eis,3744,1,77,76,3827,12,733,3750,nyquist_semicircle_width_proxy
12,107,225,eis,3522,2,72,76,3599,12,698,3527,nyquist_semicircle_width_proxy
7,74,204,eis,3297,3,71,68,3373,12,662,3302,nyquist_semicircle_width_proxy
4,40,180,eis,2899,5,68,62,2971,11,590,2903,nyquist_semicircle_width_proxy
12,143,228,pulse,3751,1,75,76,3827,12,734,3752,pulse_10ms_resistance
12,107,225,pulse,3524,2,75,76,3599,12,698,3524,pulse_10ms_resistance
7,74,204,pulse,3299,3,74,68,3373,12,662,3299,pulse_10ms_resistance
4,40,180,pulse,2900,5,71,62,2971,11,590,2900,pulse_10ms_resistance
12,143,228,pulse,3751,1,75,76,3827,12,734,3752,pulse_1s_resistance
12,107,225,pulse,3524,2,75,76,3599,12,698,3524,pulse_1s_resistance
7,74,204,pulse,3299,3,74,68,3373,12,662,3299,pulse_1s_resistance
4,40,180,pulse,2900,5,71,62,2971,11,590,2900,pulse_1s_resistance
