aging_mode,detector_name,knee_checkup_spread,median_knee_checkup_k,n_cells,n_valid_knees,nominal_charge_C_rate,nominal_temperature_C,parameter_set,profile_label,smoothing_policy,voltage_window_family,x_axis
calendar,capacity_threshold_60,,,3,0,0.0,0.0,1,0,none,calendar_soc_10,calendar_days
calendar,capacity_threshold_60,,,3,0,0.0,0.0,1,0,rolling_3,calendar_soc_10,calendar_days
calendar,capacity_threshold_60,,,3,0,0.0,0.0,1,0,none,calendar_soc_10,checkup_index
calendar,capacity_threshold_60,,,3,0,0.0,0.0,1,0,rolling_3,calendar_soc_10,checkup_index
calendar,capacity_threshold_60,,,3,0,0.0,0.0,1,0,none,calendar_soc_10,log_age_efc_cumulative
calendar,capacity_threshold_60,,,3,0,0.0,0.0,1,0,rolling_3,calendar_soc_10,log_age_efc_cumulative
calendar,capacity_threshold_70,,,3,0,0.0,0.0,1,0,none,calendar_soc_10,calendar_days
calendar,capacity_threshold_70,,,3,0,0.0,0.0,1,0,rolling_3,calendar_soc_10,calendar_days
calendar,capacity_threshold_70,,,3,0,0.0,0.0,1,0,none,calendar_soc_10,checkup_index
calendar,capacity_threshold_70,,,3,0,0.0,0.0,1,0,rolling_3,calendar_soc_10,checkup_index
calendar,capacity_threshold_70,,,3,0,0.0,0.0,1,0,none,calendar_soc_10,log_age_efc_cumulative
calendar,capacity_threshold_70,,,3,0,0.0,0.0,1,0,rolling_3,calendar_soc_10,log_age_efc_cumulative
calendar,capacity_threshold_80,,,3,0,0.0,0.0,1,0,none,calendar_soc_10,calendar_days
calendar,capacity_threshold_80,,,3,0,0.0,0.0,1,0,rolling_3,calendar_soc_10,calendar_days
calendar,capacity_threshold_80,,,3,0,0.0,0.0,1,0,none,calendar_soc_10,checkup_index
calendar,capacity_threshold_80,,,3,0,0.0,0.0,1,0,rolling_3,calendar_soc_10,checkup_index
calendar,capacity_threshold_80,,,3,0,0.0,0.0,1,0,none,calendar_soc_10,log_age_efc_cumulative
calendar,capacity_threshold_80,,,3,0,0.0,0.0,1,0,rolling_3,calendar_soc_10,log_age_efc_cumulative
calendar,max_chord_distance,1.0,12.0,3,3,0.0,0.0,1,0,none,calendar_soc_10,calendar_days
calendar,max_chord_distance,1.0,12.0,3,3,0.0,0.0,1,0,rolling_3,calendar_soc_10,calendar_days
calendar,max_chord_distance,1.0,12.0,3,3,0.0,0.0,1,0,none,calendar_soc_10,checkup_index
calendar,max_chord_distance,0.0,12.0,3,3,0.0,0.0,1,0,rolling_3,calendar_soc_10,checkup_index
calendar,max_chord_distance,1.0,13.0,3,3,0.0,0.0,1,0,none,calendar_soc_10,log_age_efc_cumulative
calendar,max_chord_distance,1.0,12.0,3,3,0.0,0.0,1,0,rolling_3,calendar_soc_10,log_age_efc_cumulative
calendar,piecewise_linear_bic,0.0,11.0,3,3,0.0,0.0,1,0,none,calendar_soc_10,calendar_days
calendar,piecewise_linear_bic,1.0,11.0,3,3,0.0,0.0,1,0,rolling_3,calendar_soc_10,calendar_days
calendar,piecewise_linear_bic,0.0,11.0,3,3,0.0,0.0,1,0,none,calendar_soc_10,checkup_index
calendar,piecewise_linear_bic,1.0,11.0,3,3,0.0,0.0,1,0,rolling_3,calendar_soc_10,checkup_index
calendar,piecewise_linear_bic,0.0,12.0,3,3,0.0,0.0,1,0,none,calendar_soc_10,log_age_efc_cumulative
calendar,piecewise_linear_bic,0.0,12.0,3,3,0.0,0.0,1,0,rolling_3,calendar_soc_10,log_age_efc_cumulative
calendar,slope_change_threshold,26.0,27.0,3,3,0.0,0.0,1,0,none,calendar_soc_10,calendar_days
calendar,slope_change_threshold,0.0,1.0,3,3,0.0,0.0,1,0,rolling_3,calendar_soc_10,calendar_days
calendar,slope_change_threshold,0.0,27.0,3,3,0.0,0.0,1,0,none,calendar_soc_10,checkup_index
