aging_mode,checkups_per_replicate,detector_quality_flags,knee_spread_checkups,knee_spread_days,knee_spread_efc,nominal_charge_C_rate,nominal_discharge_C_rate,nominal_temperature_C,parameter_set,profile_label,replicate_knee_checkup_k,trajectory_qa_flags,voltage_window_family
calendar,23;29;29,none,7.0,146.95238425925925,19.173999999999992,0.0,0.0,25.0,12,0,r1:6;r2:8;r3:13,none,calendar_soc_100
calendar,29;29;23,none,8.0,167.93693287037038,19.677699999999994,0.0,0.0,40.0,15,0,r1:19;r2:11;r3:13,none,calendar_soc_90
calendar,23;29;29,none,11.0,230.92749999999998,28.464799999999997,0.0,0.0,40.0,16,0,r1:9;r2:20;r3:13,none,calendar_soc_100
cyclic,25;22;23,none,3.0,62.94871527777781,208.14089999999987,0.33,0.33,0.0,25,0,r1:21;r2:18;r3:19,none,approx_10_90
cyclic,10;9;9,none,5.0,104.95166666666665,502.8675,0.33,1.0,10.0,30,0,r1:7;r2:2;r3:2,none,approx_0_100
cyclic,29;29;29,none,3.0,62.99229166666666,223.59069999999997,0.33,0.33,10.0,37,0,r1:8;r2:6;r3:9,none,approx_10_90
cyclic,21;17;21,none,12.0,252.8510763888889,886.7788000000002,0.33,0.33,25.0,41,0,r1:16;r2:4;r3:16,none,approx_0_100
cyclic,22;13;17,none,9.0,189.05430555555557,943.2185999999999,0.33,1.0,25.0,42,0,r1:12;r2:3;r3:3,none,approx_0_100
cyclic,29;29;29,none,5.0,105.34417824074075,510.7784999999999,0.33,1.0,25.0,46,0,r1:25;r2:22;r3:20,none,approx_10_100
cyclic,17;24;25,none,6.0,125.93965277777778,968.0018,1.0,1.0,25.0,51,0,r1:14;r2:16;r3:20,none,approx_10_90
cyclic,14;11;6,none,6.0,125.83555555555554,1128.2082,1.67,1.0,25.0,52,0,r1:9;r2:7;r3:3,none,approx_10_90
cyclic,15;15;17,none,12.0,251.9519212962963,909.7024,0.33,0.33,40.0,53,0,r1:2;r2:12;r3:14,none,approx_0_100
cyclic,15;17;17,none,12.0,251.9384375,1241.2521000000002,0.33,1.0,40.0,54,0,r1:10;r2:14;r3:2,none,approx_0_100
cyclic,26;29;29,none,19.0,399.57934027777776,3236.6307,1.0,1.0,40.0,63,0,r1:23;r2:4;r3:5,capacity_increase_gt_0p02Ah,approx_10_90
cyclic,17;15;9,none,7.0,146.95113425925928,1323.7012,1.67,1.0,40.0,64,0,r1:13;r2:12;r3:6,none,approx_10_90
profile,19;19;20,none,11.0,231.7867939814815,512.5632999999999,0.0,0.0,0.0,65,2,r1:16;r2:15;r3:5,capacity_increase_gt_0p02Ah,approx_0_100
profile,29;29;29,none,21.0,441.29943287037037,991.1721000000001,0.0,0.0,0.0,66,3,r1:5;r2:26;r3:6,none,approx_0_100
profile,27;26;28,none,3.0,62.92844907407408,135.36230000000012,0.0,0.0,10.0,68,2,r1:23;r2:22;r3:25,none,approx_0_100
profile,28;29;29,none,22.0,462.15506944444445,1592.3183000000001,0.0,0.0,40.0,76,4,r1:25;r2:3;r3:3,none,approx_0_100
