detector_name,knee_spread_checkups,n_replicates,n_valid_knees,parameter_set,replicate_consistent_within_2_checkups,smoothing_policy,x_axis
capacity_threshold_60,,3,0,1,False,none,calendar_days
capacity_threshold_60,,3,0,1,False,rolling_3,calendar_days
capacity_threshold_60,,3,0,1,False,none,checkup_index
capacity_threshold_60,,3,0,1,False,rolling_3,checkup_index
capacity_threshold_60,,3,0,1,False,none,log_age_efc_cumulative
capacity_threshold_60,,3,0,1,False,rolling_3,log_age_efc_cumulative
capacity_threshold_70,,3,0,1,False,none,calendar_days
capacity_threshold_70,,3,0,1,False,rolling_3,calendar_days
capacity_threshold_70,,3,0,1,False,none,checkup_index
capacity_threshold_70,,3,0,1,False,rolling_3,checkup_index
capacity_threshold_70,,3,0,1,False,none,log_age_efc_cumulative
capacity_threshold_70,,3,0,1,False,rolling_3,log_age_efc_cumulative
capacity_threshold_80,,3,0,1,False,none,calendar_days
capacity_threshold_80,,3,0,1,False,rolling_3,calendar_days
capacity_threshold_80,,3,0,1,False,none,checkup_index
capacity_threshold_80,,3,0,1,False,rolling_3,checkup_index
capacity_threshold_80,,3,0,1,False,none,log_age_efc_cumulative
capacity_threshold_80,,3,0,1,False,rolling_3,log_age_efc_cumulative
max_chord_distance,1.0,3,3,1,True,none,calendar_days
max_chord_distance,1.0,3,3,1,True,rolling_3,calendar_days
max_chord_distance,1.0,3,3,1,True,none,checkup_index
max_chord_distance,0.0,3,3,1,True,rolling_3,checkup_index
max_chord_distance,1.0,3,3,1,True,none,log_age_efc_cumulative
max_chord_distance,1.0,3,3,1,True,rolling_3,log_age_efc_cumulative
piecewise_linear_bic,0.0,3,3,1,True,none,calendar_days
piecewise_linear_bic,1.0,3,3,1,True,rolling_3,calendar_days
piecewise_linear_bic,0.0,3,3,1,True,none,checkup_index
piecewise_linear_bic,1.0,3,3,1,True,rolling_3,checkup_index
piecewise_linear_bic,0.0,3,3,1,True,none,log_age_efc_cumulative
piecewise_linear_bic,0.0,3,3,1,True,rolling_3,log_age_efc_cumulative
slope_change_threshold,26.0,3,3,1,False,none,calendar_days
slope_change_threshold,0.0,3,3,1,True,rolling_3,calendar_days
slope_change_threshold,0.0,3,3,1,True,none,checkup_index
slope_change_threshold,0.0,3,3,1,True,rolling_3,checkup_index
slope_change_threshold,0.0,3,3,1,True,none,log_age_efc_cumulative
slope_change_threshold,2.0,3,3,1,True,rolling_3,log_age_efc_cumulative
two_line_l_method,0.0,3,3,1,True,none,calendar_days
two_line_l_method,1.0,3,3,1,True,rolling_3,calendar_days
two_line_l_method,0.0,3,3,1,True,none,checkup_index
two_line_l_method,1.0,3,3,1,True,rolling_3,checkup_index
two_line_l_method,0.0,3,3,1,True,none,log_age_efc_cumulative
two_line_l_method,0.0,3,3,1,True,rolling_3,log_age_efc_cumulative
capacity_threshold_60,,3,0,2,False,none,calendar_days
capacity_threshold_60,,3,0,2,False,rolling_3,calendar_days
capacity_threshold_60,,3,0,2,False,none,checkup_index
capacity_threshold_60,,3,0,2,False,rolling_3,checkup_index
capacity_threshold_60,,3,0,2,False,none,log_age_efc_cumulative
capacity_threshold_60,,3,0,2,False,rolling_3,log_age_efc_cumulative
capacity_threshold_70,,3,0,2,False,none,calendar_days
capacity_threshold_70,,3,0,2,False,rolling_3,calendar_days
capacity_threshold_70,,3,0,2,False,none,checkup_index
capacity_threshold_70,,3,0,2,False,rolling_3,checkup_index
capacity_threshold_70,,3,0,2,False,none,log_age_efc_cumulative
capacity_threshold_70,,3,0,2,False,rolling_3,log_age_efc_cumulative
capacity_threshold_80,,3,0,2,False,none,calendar_days
capacity_threshold_80,,3,0,2,False,rolling_3,calendar_days
capacity_threshold_80,,3,0,2,False,none,checkup_index
capacity_threshold_80,,3,0,2,False,rolling_3,checkup_index
capacity_threshold_80,,3,0,2,False,none,log_age_efc_cumulative
capacity_threshold_80,,3,0,2,False,rolling_3,log_age_efc_cumulative
max_chord_distance,0.0,3,3,2,True,none,calendar_days
max_chord_distance,1.0,3,3,2,True,rolling_3,calendar_days
max_chord_distance,0.0,3,3,2,True,none,checkup_index
max_chord_distance,1.0,3,3,2,True,rolling_3,checkup_index
max_chord_distance,0.0,3,3,2,True,none,log_age_efc_cumulative
max_chord_distance,0.0,3,3,2,True,rolling_3,log_age_efc_cumulative
piecewise_linear_bic,1.0,3,3,2,True,none,calendar_days
piecewise_linear_bic,1.0,3,3,2,True,rolling_3,calendar_days
piecewise_linear_bic,1.0,3,3,2,True,none,checkup_index
piecewise_linear_bic,0.0,3,3,2,True,rolling_3,checkup_index
piecewise_linear_bic,1.0,3,3,2,True,none,log_age_efc_cumulative
piecewise_linear_bic,1.0,3,3,2,True,rolling_3,log_age_efc_cumulative
slope_change_threshold,0.0,3,3,2,True,none,calendar_days
slope_change_threshold,0.0,3,3,2,True,rolling_3,calendar_days
slope_change_threshold,4.0,3,3,2,False,none,checkup_index
slope_change_threshold,16.0,3,3,2,False,rolling_3,checkup_index
slope_change_threshold,4.0,3,3,2,False,none,log_age_efc_cumulative
slope_change_threshold,0.0,3,3,2,True,rolling_3,log_age_efc_cumulative
two_line_l_method,1.0,3,3,2,True,none,calendar_days
