group_field,group_value,insufficient_label_conditions,n_conditions,stable_conditions,stable_fraction,unstable_conditions
aging_mode,calendar,0,16,12,0.75,4
aging_mode,cyclic,13,48,22,0.4583333333333333,13
aging_mode,profile,0,12,6,0.5,6
nominal_temperature_C,0.0,5,19,11,0.5789473684210527,3
nominal_temperature_C,10.0,4,19,11,0.5789473684210527,4
nominal_temperature_C,25.0,3,19,9,0.47368421052631576,7
nominal_temperature_C,40.0,1,19,9,0.47368421052631576,9
nominal_charge_C_rate,0.0,0,28,18,0.6428571428571429,10
nominal_charge_C_rate,0.33,0,24,16,0.6666666666666666,8
nominal_charge_C_rate,1.0,5,12,5,0.4166666666666667,2
nominal_charge_C_rate,1.67,8,12,1,0.08333333333333333,3
voltage_window_family,approx_0_100,7,28,10,0.35714285714285715,11
voltage_window_family,approx_10_100,5,16,9,0.5625,2
voltage_window_family,approx_10_90,1,16,9,0.5625,6
voltage_window_family,calendar_soc_10,0,4,4,1.0,0
voltage_window_family,calendar_soc_100,0,4,2,0.5,2
voltage_window_family,calendar_soc_50,0,4,4,1.0,0
voltage_window_family,calendar_soc_90,0,4,2,0.5,2
profile_label,0,13,64,34,0.53125,17
profile_label,2,0,4,1,0.25,3
profile_label,3,0,4,3,0.75,1
profile_label,4,0,4,2,0.5,2
