aging_mode,event_spread_checkups,median_event_checkup_k,n_reaching_threshold,n_replicates,nominal_charge_C_rate,nominal_discharge_C_rate,nominal_temperature_C,parameter_set,profile_label,replicate_consistent_within_1_checkup,replicate_consistent_within_2_checkups,threshold_label,voltage_window_family
calendar,,,0,3,0.0,0.0,0.0,1,0,False,False,capacity_below_60pct_initial,calendar_soc_10
calendar,,,0,3,0.0,0.0,0.0,2,0,False,False,capacity_below_60pct_initial,calendar_soc_50
calendar,,,0,3,0.0,0.0,0.0,3,0,False,False,capacity_below_60pct_initial,calendar_soc_90
calendar,,,0,3,0.0,0.0,0.0,4,0,False,False,capacity_below_60pct_initial,calendar_soc_100
calendar,,,0,3,0.0,0.0,10.0,5,0,False,False,capacity_below_60pct_initial,calendar_soc_10
calendar,,,0,3,0.0,0.0,10.0,6,0,False,False,capacity_below_60pct_initial,calendar_soc_50
calendar,,,0,3,0.0,0.0,10.0,7,0,False,False,capacity_below_60pct_initial,calendar_soc_90
calendar,,,0,3,0.0,0.0,10.0,8,0,False,False,capacity_below_60pct_initial,calendar_soc_100
calendar,,,0,3,0.0,0.0,25.0,9,0,False,False,capacity_below_60pct_initial,calendar_soc_10
calendar,,,0,3,0.0,0.0,25.0,10,0,False,False,capacity_below_60pct_initial,calendar_soc_50
calendar,,,0,3,0.0,0.0,25.0,11,0,False,False,capacity_below_60pct_initial,calendar_soc_90
calendar,,,0,3,0.0,0.0,25.0,12,0,False,False,capacity_below_60pct_initial,calendar_soc_100
calendar,,,0,3,0.0,0.0,40.0,13,0,False,False,capacity_below_60pct_initial,calendar_soc_10
calendar,,,0,3,0.0,0.0,40.0,14,0,False,False,capacity_below_60pct_initial,calendar_soc_50
calendar,,,0,3,0.0,0.0,40.0,15,0,False,False,capacity_below_60pct_initial,calendar_soc_90
calendar,,,0,3,0.0,0.0,40.0,16,0,False,False,capacity_below_60pct_initial,calendar_soc_100
cyclic,,,0,3,0.33,0.33,0.0,17,0,False,False,capacity_below_60pct_initial,approx_0_100
cyclic,0,6.0,2,3,0.33,1.0,0.0,18,0,True,True,capacity_below_60pct_initial,approx_0_100
cyclic,,,0,3,1.0,1.0,0.0,19,0,False,False,capacity_below_60pct_initial,approx_0_100
cyclic,,,0,3,1.67,1.0,0.0,20,0,False,False,capacity_below_60pct_initial,approx_0_100
cyclic,1,14.5,2,3,0.33,0.33,0.0,21,0,True,True,capacity_below_60pct_initial,approx_10_100
cyclic,1,7.5,2,3,0.33,1.0,0.0,22,0,True,True,capacity_below_60pct_initial,approx_10_100
cyclic,,,0,3,1.0,1.0,0.0,23,0,False,False,capacity_below_60pct_initial,approx_10_100
cyclic,,,0,3,1.67,1.0,0.0,24,0,False,False,capacity_below_60pct_initial,approx_10_100
cyclic,2,22.0,3,3,0.33,0.33,0.0,25,0,False,True,capacity_below_60pct_initial,approx_10_90
cyclic,0,11.0,3,3,0.33,1.0,0.0,26,0,True,True,capacity_below_60pct_initial,approx_10_90
cyclic,0,5.0,2,3,1.0,1.0,0.0,27,0,True,True,capacity_below_60pct_initial,approx_10_90
cyclic,,,0,3,1.67,1.0,0.0,28,0,False,False,capacity_below_60pct_initial,approx_10_90
cyclic,1,13.0,3,3,0.33,0.33,10.0,29,0,True,True,capacity_below_60pct_initial,approx_0_100
cyclic,1,8.0,3,3,0.33,1.0,10.0,30,0,True,True,capacity_below_60pct_initial,approx_0_100
cyclic,,,0,3,1.0,1.0,10.0,31,0,False,False,capacity_below_60pct_initial,approx_0_100
cyclic,,,0,3,1.67,1.0,10.0,32,0,False,False,capacity_below_60pct_initial,approx_0_100
cyclic,0,21.0,3,3,0.33,0.33,10.0,33,0,True,True,capacity_below_60pct_initial,approx_10_100
cyclic,1,15.0,3,3,0.33,1.0,10.0,34,0,True,True,capacity_below_60pct_initial,approx_10_100
cyclic,,,0,3,1.0,1.0,10.0,35,0,False,False,capacity_below_60pct_initial,approx_10_100
cyclic,,,0,3,1.67,1.0,10.0,36,0,False,False,capacity_below_60pct_initial,approx_10_100
cyclic,,,0,3,0.33,0.33,10.0,37,0,False,False,capacity_below_60pct_initial,approx_10_90
cyclic,2,19.0,3,3,0.33,1.0,10.0,38,0,False,True,capacity_below_60pct_initial,approx_10_90
cyclic,0,7.0,2,3,1.0,1.0,10.0,39,0,True,True,capacity_below_60pct_initial,approx_10_90
cyclic,1,4.5,2,3,1.67,1.0,10.0,40,0,True,True,capacity_below_60pct_initial,approx_10_90
cyclic,0,18.0,2,3,0.33,0.33,25.0,41,0,True,True,capacity_below_60pct_initial,approx_0_100
cyclic,7,15.5,2,3,0.33,1.0,25.0,42,0,False,False,capacity_below_60pct_initial,approx_0_100
cyclic,,,0,3,1.0,1.0,25.0,43,0,False,False,capacity_below_60pct_initial,approx_0_100
cyclic,,,0,3,1.67,1.0,25.0,44,0,False,False,capacity_below_60pct_initial,approx_0_100
cyclic,,,0,3,0.33,0.33,25.0,45,0,False,False,capacity_below_60pct_initial,approx_10_100
cyclic,2,25.0,3,3,0.33,1.0,25.0,46,0,False,True,capacity_below_60pct_initial,approx_10_100
cyclic,1,10.5,2,3,1.0,1.0,25.0,47,0,True,True,capacity_below_60pct_initial,approx_10_100
cyclic,,,0,3,1.67,1.0,25.0,48,0,False,False,capacity_below_60pct_initial,approx_10_100
cyclic,,,0,3,0.33,0.33,25.0,49,0,False,False,capacity_below_60pct_initial,approx_10_90
cyclic,,,0,3,0.33,1.0,25.0,50,0,False,False,capacity_below_60pct_initial,approx_10_90
cyclic,1,21.5,2,3,1.0,1.0,25.0,51,0,True,True,capacity_below_60pct_initial,approx_10_90
cyclic,7,9.0,3,3,1.67,1.0,25.0,52,0,False,False,capacity_below_60pct_initial,approx_10_90
cyclic,2,15.0,2,3,0.33,0.33,40.0,53,0,False,True,capacity_below_60pct_initial,approx_0_100
cyclic,2,15.0,2,3,0.33,1.0,40.0,54,0,False,True,capacity_below_60pct_initial,approx_0_100
cyclic,1,7.0,3,3,1.0,1.0,40.0,55,0,True,True,capacity_below_60pct_initial,approx_0_100
cyclic,0.0,5.0,1,3,1.67,1.0,40.0,56,0,True,True,capacity_below_60pct_initial,approx_0_100
cyclic,0,12.0,3,3,0.33,0.33,40.0,57,0,True,True,capacity_below_60pct_initial,approx_10_100
cyclic,1,12.0,3,3,0.33,1.0,40.0,58,0,True,True,capacity_below_60pct_initial,approx_10_100
cyclic,1,6.0,3,3,1.0,1.0,40.0,59,0,True,True,capacity_below_60pct_initial,approx_10_100
cyclic,2,5.0,3,3,1.67,1.0,40.0,60,0,False,True,capacity_below_60pct_initial,approx_10_100
cyclic,,,0,3,0.33,0.33,40.0,61,0,False,False,capacity_below_60pct_initial,approx_10_90
cyclic,,,0,3,0.33,1.0,40.0,62,0,False,False,capacity_below_60pct_initial,approx_10_90
cyclic,4,26.0,2,3,1.0,1.0,40.0,63,0,False,False,capacity_below_60pct_initial,approx_10_90
cyclic,1,14.5,2,3,1.67,1.0,40.0,64,0,True,True,capacity_below_60pct_initial,approx_10_90
profile,0.0,17.0,1,3,0.0,0.0,0.0,65,2,True,True,capacity_below_60pct_initial,approx_0_100
profile,1,28.0,3,3,0.0,0.0,0.0,66,3,True,True,capacity_below_60pct_initial,approx_0_100
profile,1,4.0,3,3,0.0,0.0,0.0,67,4,True,True,capacity_below_60pct_initial,approx_0_100
profile,2,25.0,3,3,0.0,0.0,10.0,68,2,False,True,capacity_below_60pct_initial,approx_0_100
profile,,,0,3,0.0,0.0,10.0,69,3,False,False,capacity_below_60pct_initial,approx_0_100
