heldout_fold,negative_count,parameter_sets,positive_count,positive_rate,row_count,split_name,target
0,802,16,42,0.04976303317535545,844,condition_fold,event_within_1_checkup
1,837,15,28,0.03236994219653179,865,condition_fold,event_within_1_checkup
2,863,15,29,0.032511210762331835,892,condition_fold,event_within_1_checkup
3,471,15,38,0.07465618860510806,509,condition_fold,event_within_1_checkup
4,681,15,36,0.0502092050209205,717,condition_fold,event_within_1_checkup
1,699,19,43,0.057951482479784364,742,temperature_holdout_fold,event_within_1_checkup
2,1011,19,49,0.04622641509433962,1060,temperature_holdout_fold,event_within_1_checkup
1,125,12,32,0.20382165605095542,157,c_rate_holdout_fold,event_within_1_checkup
1,716,12,36,0.047872340425531915,752,profile_holdout_fold,event_within_1_checkup
1,1046,28,84,0.0743362831858407,1130,voltage_window_holdout_fold,event_within_1_checkup
2,1286,32,85,0.06199854121079504,1371,voltage_window_holdout_fold,event_within_1_checkup
3,1322,16,4,0.0030165912518853697,1326,voltage_window_holdout_fold,event_within_1_checkup
0,760,16,84,0.0995260663507109,844,condition_fold,event_within_2_checkups
1,809,15,56,0.06473988439306358,865,condition_fold,event_within_2_checkups
2,834,15,58,0.06502242152466367,892,condition_fold,event_within_2_checkups
3,433,15,76,0.14931237721021612,509,condition_fold,event_within_2_checkups
4,645,15,72,0.100418410041841,717,condition_fold,event_within_2_checkups
1,656,19,86,0.11590296495956873,742,temperature_holdout_fold,event_within_2_checkups
2,962,19,98,0.09245283018867924,1060,temperature_holdout_fold,event_within_2_checkups
1,93,12,64,0.40764331210191085,157,c_rate_holdout_fold,event_within_2_checkups
1,680,12,72,0.09574468085106383,752,profile_holdout_fold,event_within_2_checkups
1,962,28,168,0.1486725663716814,1130,voltage_window_holdout_fold,event_within_2_checkups
2,1201,32,170,0.12399708242159008,1371,voltage_window_holdout_fold,event_within_2_checkups
3,1318,16,8,0.006033182503770739,1326,voltage_window_holdout_fold,event_within_2_checkups
0,719,16,125,0.1481042654028436,844,condition_fold,event_within_3_checkups
1,784,15,81,0.09364161849710982,865,condition_fold,event_within_3_checkups
2,808,15,84,0.09417040358744394,892,condition_fold,event_within_3_checkups
3,404,15,105,0.206286836935167,509,condition_fold,event_within_3_checkups
4,618,15,99,0.13807531380753138,717,condition_fold,event_within_3_checkups
1,626,19,116,0.15633423180592992,742,temperature_holdout_fold,event_within_3_checkups
2,913,19,147,0.13867924528301886,1060,temperature_holdout_fold,event_within_3_checkups
1,77,12,80,0.5095541401273885,157,c_rate_holdout_fold,event_within_3_checkups
1,644,12,108,0.14361702127659576,752,profile_holdout_fold,event_within_3_checkups
1,893,28,237,0.2097345132743363,1130,voltage_window_holdout_fold,event_within_3_checkups
2,1126,32,245,0.1787016776075857,1371,voltage_window_holdout_fold,event_within_3_checkups
3,1314,16,12,0.00904977375565611,1326,voltage_window_holdout_fold,event_within_3_checkups
