contrast_id,contrast_family,endpoint,checkup_k,arm_a_parameter_set,arm_b_parameter_set,arm_a_value,arm_b_value,arm_a_replicates,arm_b_replicates,arm_a_mean,arm_b_mean,effect_b_minus_a,pairwise_positive_fraction,sign_label,sign_stable,support_quality,claim_scope
PC00001_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,18,19,0.33,1,3,3,0.1880679999999999,0.3017846666666668,0.11371666666666691,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00001_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,18,19,0.33,1,3,3,0.48421166666666665,0.9938323333333333,0.5096206666666667,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00002_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,18,20,0.33,1.67,3,3,0.1880679999999999,0.506728,0.31866000000000005,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00002_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,18,20,0.33,1.67,3,3,0.48421166666666665,0.9680043333333335,0.4837926666666668,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00003_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,19,20,1,1.67,3,3,0.3017846666666668,0.506728,0.20494333333333314,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00003_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,19,20,1,1.67,3,3,0.9938323333333333,0.9680043333333335,-0.02582799999999985,0.1111111111111111,arm_a_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00004_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,22,23,0.33,1,3,3,0.09386766666666697,0.15111533333333327,0.057247666666666294,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00004_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,22,23,0.33,1,3,3,0.23324733333333367,0.9710299999999998,0.7377826666666661,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00005_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,22,24,0.33,1.67,3,3,0.09386766666666697,0.3631283333333332,0.26926066666666626,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00005_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,22,24,0.33,1.67,3,1,0.23324733333333367,0.8614799999999998,0.6282326666666661,1.0,arm_b_more_degraded,False,matched_triplets,observed_support_diagnostic_only
PC00006_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,23,24,1,1.67,3,3,0.15111533333333327,0.3631283333333332,0.21201299999999995,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00006_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,23,24,1,1.67,3,1,0.9710299999999998,0.8614799999999998,-0.10955000000000004,0.0,arm_a_more_degraded,False,matched_triplets,observed_support_diagnostic_only
PC00007_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,26,27,0.33,1,3,3,0.05461066666666673,0.08520933333333354,0.03059866666666681,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00007_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,26,27,0.33,1,3,3,0.1486140000000001,0.2219796666666669,0.0733656666666668,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00007_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,26,27,0.33,1,3,3,0.22585266666666678,0.4758353333333334,0.2499826666666666,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00007_charge_c_rate,charge_c_rate,capacity_loss_Ah,4,26,27,0.33,1,3,3,0.2879736666666668,0.8974533333333334,0.6094796666666666,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00007_charge_c_rate,charge_c_rate,capacity_loss_Ah,5,26,27,0.33,1,3,3,0.34256600000000015,1.4784993333333336,1.1359333333333335,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00008_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,26,28,0.33,1.67,3,3,0.05461066666666673,0.12178333333333342,0.06717266666666669,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00008_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,26,28,0.33,1.67,3,3,0.1486140000000001,0.7204546666666668,0.5718406666666667,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00008_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,26,28,0.33,1.67,3,3,0.22585266666666678,0.9063746666666667,0.6805219999999998,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00009_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,27,28,1,1.67,3,3,0.08520933333333354,0.12178333333333342,0.036573999999999884,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00009_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,27,28,1,1.67,3,3,0.2219796666666669,0.7204546666666668,0.4984749999999999,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00009_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,27,28,1,1.67,3,3,0.4758353333333334,0.9063746666666667,0.4305393333333333,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00010_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,30,31,0.33,1,3,3,0.16933866666666667,0.2798583333333333,0.11051966666666665,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00010_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,30,31,0.33,1,3,3,0.4476726666666666,0.7690346666666666,0.32136200000000004,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00011_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,30,32,0.33,1.67,3,3,0.16933866666666667,0.40812099999999996,0.2387823333333333,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00011_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,30,32,0.33,1.67,3,3,0.4476726666666666,1.1128433333333334,0.6651706666666668,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00012_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,31,32,1,1.67,3,3,0.2798583333333333,0.40812099999999996,0.12826266666666664,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00012_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,31,32,1,1.67,3,3,0.7690346666666666,1.1128433333333334,0.34380866666666676,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00013_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,34,35,0.33,1,3,3,0.08346966666666648,0.11826700000000005,0.03479733333333357,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00013_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,34,35,0.33,1,3,3,0.20937199999999997,0.2792803333333332,0.06990833333333321,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00013_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,34,35,0.33,1,3,3,0.301455,0.45431533333333335,0.15286033333333338,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00013_charge_c_rate,charge_c_rate,capacity_loss_Ah,4,34,35,0.33,1,3,2,0.3727546666666666,0.9262480000000001,0.5534933333333334,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00014_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,34,36,0.33,1.67,3,3,0.08346966666666648,0.22153833333333348,0.138068666666667,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00014_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,34,36,0.33,1.67,3,3,0.20937199999999997,1.1143436666666668,0.9049716666666668,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00015_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,35,36,1,1.67,3,3,0.11826700000000005,0.22153833333333348,0.10327133333333342,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00015_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,35,36,1,1.67,3,3,0.2792803333333332,1.1143436666666668,0.8350633333333337,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00016_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,38,39,0.33,1,3,3,0.05003399999999999,0.07655666666666668,0.026522666666666687,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00016_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,38,39,0.33,1,3,3,0.13410066666666673,0.1978696666666666,0.06376899999999988,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00016_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,38,39,0.33,1,3,3,0.2025459999999999,0.29533266666666674,0.09278666666666685,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00016_charge_c_rate,charge_c_rate,capacity_loss_Ah,4,38,39,0.33,1,3,3,0.25637233333333337,0.37628400000000006,0.1199116666666667,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00016_charge_c_rate,charge_c_rate,capacity_loss_Ah,5,38,39,0.33,1,3,3,0.3051213333333333,0.5262136666666667,0.2210923333333334,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00016_charge_c_rate,charge_c_rate,capacity_loss_Ah,6,38,39,0.33,1,3,3,0.3508256666666667,0.9396563333333333,0.5888306666666666,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00016_charge_c_rate,charge_c_rate,capacity_loss_Ah,7,38,39,0.33,1,3,3,0.3940059999999999,1.3667516666666668,0.972745666666667,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00017_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,38,40,0.33,1.67,3,3,0.05003399999999999,0.09380499999999999,0.043771,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00017_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,38,40,0.33,1.67,3,3,0.13410066666666673,0.27578866666666685,0.14168800000000012,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00017_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,38,40,0.33,1.67,3,3,0.2025459999999999,0.600564,0.3980180000000001,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00017_charge_c_rate,charge_c_rate,capacity_loss_Ah,4,38,40,0.33,1.67,3,3,0.25637233333333337,1.050907,0.7945346666666666,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00017_charge_c_rate,charge_c_rate,capacity_loss_Ah,5,38,40,0.33,1.67,3,3,0.3051213333333333,1.545215,1.2400936666666666,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00018_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,39,40,1,1.67,3,3,0.07655666666666668,0.09380499999999999,0.01724833333333331,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00018_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,39,40,1,1.67,3,3,0.1978696666666666,0.27578866666666685,0.07791900000000024,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00018_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,39,40,1,1.67,3,3,0.29533266666666674,0.600564,0.30523133333333324,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00018_charge_c_rate,charge_c_rate,capacity_loss_Ah,4,39,40,1,1.67,3,3,0.37628400000000006,1.050907,0.674623,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00018_charge_c_rate,charge_c_rate,capacity_loss_Ah,5,39,40,1,1.67,3,3,0.5262136666666667,1.545215,1.0190013333333332,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00019_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,42,43,0.33,1,3,3,0.14460133333333328,0.2319279999999999,0.08732666666666664,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00019_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,42,43,0.33,1,3,3,0.320769,0.5341559999999999,0.21338699999999983,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00019_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,42,43,0.33,1,3,3,0.5084186666666666,0.6556676666666664,0.14724899999999985,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00019_charge_c_rate,charge_c_rate,capacity_loss_Ah,4,42,43,0.33,1,3,3,0.5905870000000001,0.9531206666666666,0.36253366666666653,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00020_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,42,44,0.33,1.67,3,3,0.14460133333333328,0.26676133333333335,0.12216000000000007,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00020_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,42,44,0.33,1.67,3,3,0.320769,0.829857,0.509088,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00021_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,43,44,1,1.67,3,3,0.2319279999999999,0.26676133333333335,0.03483333333333344,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00021_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,43,44,1,1.67,3,3,0.5341559999999999,0.829857,0.2957010000000001,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,46,47,0.33,1,3,3,0.06676033333333302,0.09975600000000018,0.03299566666666716,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,46,47,0.33,1,3,3,0.16743999999999973,0.2231826666666666,0.055742666666666885,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,46,47,0.33,1,3,3,0.2359883333333331,0.3027613333333332,0.06677300000000011,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,4,46,47,0.33,1,3,3,0.2848396666666666,0.3596150000000001,0.07477533333333347,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,5,46,47,0.33,1,3,3,0.3232586666666665,0.4058086666666667,0.08255000000000018,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,6,46,47,0.33,1,3,3,0.35415733333333305,0.4427763333333334,0.08861900000000034,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,7,46,47,0.33,1,3,3,0.37980166666666637,0.47774066666666676,0.09793900000000039,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,8,46,47,0.33,1,3,3,0.40254533333333314,0.530608,0.12806266666666682,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,9,46,47,0.33,1,3,3,0.4229673333333331,0.6666823333333333,0.24371500000000018,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,10,46,47,0.33,1,3,3,0.4410836666666665,1.0027116666666667,0.5616280000000002,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00022_charge_c_rate,charge_c_rate,capacity_loss_Ah,11,46,47,0.33,1,3,1,0.4576853333333332,1.399146,0.9414606666666667,1.0,arm_b_more_degraded,False,matched_triplets,observed_support_diagnostic_only
PC00023_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,46,48,0.33,1.67,3,3,0.06676033333333302,0.10944766666666661,0.04268733333333359,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00023_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,46,48,0.33,1.67,3,3,0.16743999999999973,0.25263266666666667,0.08519266666666694,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00023_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,46,48,0.33,1.67,3,3,0.2359883333333331,0.5031163333333334,0.26712800000000025,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00023_charge_c_rate,charge_c_rate,capacity_loss_Ah,4,46,48,0.33,1.67,3,1,0.2848396666666666,0.47242000000000006,0.18758033333333346,1.0,arm_b_more_degraded,False,matched_triplets,observed_support_diagnostic_only
PC00024_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,47,48,1,1.67,3,3,0.09975600000000018,0.10944766666666661,0.009691666666666432,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00024_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,47,48,1,1.67,3,3,0.2231826666666666,0.25263266666666667,0.02945000000000006,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00024_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,47,48,1,1.67,3,3,0.3027613333333332,0.5031163333333334,0.20035500000000017,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00024_charge_c_rate,charge_c_rate,capacity_loss_Ah,4,47,48,1,1.67,3,1,0.3596150000000001,0.47242000000000006,0.11280499999999999,1.0,arm_b_more_degraded,False,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,1,50,51,0.33,1,3,3,0.05248633333333327,0.0645356666666667,0.012049333333333433,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,2,50,51,0.33,1,3,3,0.12850599999999993,0.15913466666666665,0.03062866666666672,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,3,50,51,0.33,1,3,3,0.18523133333333344,0.22912233333333334,0.0438909999999999,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,4,50,51,0.33,1,3,3,0.22911733333333326,0.2828949999999999,0.05377766666666664,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,5,50,51,0.33,1,3,3,0.26427266666666666,0.32572599999999996,0.061453333333333304,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,6,50,51,0.33,1,3,3,0.2928313333333333,0.3617563333333334,0.06892500000000013,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,7,50,51,0.33,1,3,3,0.31676366666666667,0.3988426666666666,0.08207899999999996,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,8,50,51,0.33,1,3,3,0.3381799999999999,0.43751733333333337,0.09933733333333344,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,9,50,51,0.33,1,3,3,0.35667099999999996,0.4713279999999999,0.11465699999999995,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,10,50,51,0.33,1,3,3,0.3739326666666667,0.49993299999999996,0.12600033333333327,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,11,50,51,0.33,1,3,3,0.3888370000000001,0.5342753333333333,0.14543833333333323,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,12,50,51,0.33,1,3,3,0.40172133333333315,0.564842,0.1631206666666668,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,13,50,51,0.33,1,3,3,0.4158220000000001,0.609541,0.19371899999999992,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,14,50,51,0.33,1,3,3,0.4275529999999999,0.6558770000000002,0.22832400000000025,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,15,50,51,0.33,1,3,3,0.4399493333333333,0.7221153333333333,0.28216600000000003,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,16,50,51,0.33,1,3,3,0.4467100000000001,0.8229486666666667,0.37623866666666655,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,17,50,51,0.33,1,3,2,0.46046766666666655,0.7612574999999999,0.30078983333333337,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
PC00025_charge_c_rate,charge_c_rate,capacity_loss_Ah,18,50,51,0.33,1,3,2,0.47047933333333347,0.8443339999999999,0.37385466666666645,1.0,arm_b_more_degraded,True,matched_triplets,observed_support_diagnostic_only
