split_name,target,horizon_checkups,model_level,feature_group,contrast_family,effect_threshold_label,effect_threshold_Ah,pairwise_rows,unique_contrasts,sign_evaluable_rows,sign_correct_rows,sign_accuracy,median_abs_observed_effect_Ah,mean_effect_abs_error,claim_scope
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,ge_0.005Ah,0.005,51,25,51,39,0.7647058823529411,0.3138460000000003,0.35047084967320263,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,ge_0.01Ah,0.01,49,24,49,37,0.7551020408163265,0.3393093333333339,0.36473602721088433,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,ge_0.02Ah,0.02,49,24,49,37,0.7551020408163265,0.3393093333333339,0.36473602721088433,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,ge_0.05Ah,0.05,46,24,46,36,0.782608695652174,0.38328574999999976,0.3864626956521739,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,ge_0Ah,0.0,52,25,52,39,0.75,0.3132523333333337,0.34435897435897433,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,ge_0.005Ah,0.005,32,15,32,25,0.78125,0.3773449166666669,0.35914329166666664,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,ge_0.01Ah,0.01,31,15,31,24,0.7741935483870968,0.41538049999999993,0.3707141182795699,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,ge_0.02Ah,0.02,31,15,31,24,0.7741935483870968,0.41538049999999993,0.3707141182795699,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,ge_0.05Ah,0.05,29,15,29,23,0.7931034482758621,0.418625,0.3949092873563218,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,ge_0Ah,0.0,33,15,33,25,0.7575757575757576,0.3393093333333339,0.34924965656565654,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,voltage_window,ge_0.005Ah,0.005,19,10,19,14,0.7368421052631579,0.3028763333333335,0.3358646315789474,prospective_supported_contrast_diagnostic
