contrast_id,contrast_family,varied_field,match_key,arm_a_parameter_set,arm_b_parameter_set,arm_a_value,arm_b_value,arm_a_cells,arm_b_cells,arm_a_interval_rows,arm_b_interval_rows,arm_a_min_checkup_k,arm_a_max_checkup_k,arm_b_min_checkup_k,arm_b_max_checkup_k,common_checkup_count,has_triplet_support,support_quality,schema_version
PC00001_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""0"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_0_100""}",18,19,0.33,1,3,3,17,6,0,6,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00002_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""0"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_0_100""}",18,20,0.33,1.67,3,3,17,6,0,6,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00003_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""0"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_0_100""}",19,20,1,1.67,3,3,6,6,0,2,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00004_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""0"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_10_100""}",22,23,0.33,1,3,3,22,6,0,8,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00005_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""0"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_10_100""}",22,24,0.33,1.67,3,3,22,4,0,8,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00006_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""0"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_10_100""}",23,24,1,1.67,3,3,6,4,0,2,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00007_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""0"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_10_90""}",26,27,0.33,1,3,3,33,15,0,11,0,5,6,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00008_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""0"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_10_90""}",26,28,0.33,1.67,3,3,33,9,0,11,0,3,4,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00009_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""0"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_10_90""}",27,28,1,1.67,3,3,15,9,0,5,0,3,4,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00010_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""10"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_0_100""}",30,31,0.33,1,3,3,25,6,0,9,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00011_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""10"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_0_100""}",30,32,0.33,1.67,3,3,25,6,0,9,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00012_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""10"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_0_100""}",31,32,1,1.67,3,3,6,6,0,2,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00013_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""10"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_10_100""}",34,35,0.33,1,3,3,44,11,0,15,0,4,5,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00014_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""10"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_10_100""}",34,36,0.33,1.67,3,3,44,6,0,15,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
PC00015_charge_c_rate,charge_c_rate,nominal_charge_C_rate,"{""aging_mode"": ""cyclic"", ""nominal_discharge_C_rate"": ""1"", ""nominal_temperature_C"": ""10"", ""profile_label"": ""0"", ""voltage_window_family"": ""approx_10_100""}",35,36,1,1.67,3,3,11,6,0,4,0,2,3,True,matched_triplets,gate72.policy_contrast_registry.v1
