method_id,split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,reference_label,candidate_condition_mae,reference_condition_mae,condition_mae_gain,relative_degradation,row_count,quality_flagged_rows,severe_qa_flag_rows,monotonicity_unclean_rows,support_score,low_support_flag,failure_role
targeted_router_D2_F4,profile_holdout_fold,1,71,profile,25.0,approx_0_100,0.0,0.0,2,F4_direct_capacity,0.07301440712436527,0.03876988175079682,-0.03424452537356845,0.8832764978155921,84,84,19,19,,,hotspot
targeted_router_D2_F4,profile_holdout_fold,1,75,profile,40.0,approx_0_100,0.0,0.0,3,F4_direct_capacity,0.06293991925794355,0.03441494136472424,-0.02852497789321931,0.8288544673348704,84,84,17,17,,,hotspot
targeted_router_D2_F4,profile_holdout_fold,1,69,profile,10.0,approx_0_100,0.0,0.0,3,F4_direct_capacity,0.11157021816672423,0.06195782628011829,-0.04961239188660594,0.8007445526300866,84,84,22,22,,,hotspot
targeted_router_D2_F4,profile_holdout_fold,1,72,profile,25.0,approx_0_100,0.0,0.0,3,F4_direct_capacity,0.07679837656591176,0.045723501012273945,-0.031074875553637818,0.6796259005909483,84,84,14,14,,,hotspot
targeted_router_D2_F4,profile_holdout_fold,1,74,profile,40.0,approx_0_100,0.0,0.0,2,F4_direct_capacity,0.10114139599840287,0.06334803239655461,-0.03779336360184826,0.5965988551193546,48,48,11,11,,,hotspot
targeted_router_D2_F4,profile_holdout_fold,1,65,profile,0.0,approx_0_100,0.0,0.0,2,F4_direct_capacity,0.17749020768298213,0.1123825881297979,-0.06510761955318423,0.5793390296189588,55,55,18,18,,,hotspot
targeted_router_D2_F4,profile_holdout_fold,1,68,profile,10.0,approx_0_100,0.0,0.0,2,F4_direct_capacity,0.1153889312146902,0.07387409807704666,-0.041514833137643536,0.5619673771765826,78,78,26,26,,,hotspot
targeted_router_D2_F4,profile_holdout_fold,1,66,profile,0.0,approx_0_100,0.0,0.0,3,F4_direct_capacity,0.13308189031705983,0.0926139126672301,-0.040467977649829734,0.43695354709000067,84,84,27,27,,,hotspot
targeted_router_D2_F4,profile_holdout_fold,1,76,profile,40.0,approx_0_100,0.0,0.0,4,F4_direct_capacity,0.07310247291246713,0.07347808145397675,0.0003756085415096144,-0.005111844703578415,83,83,42,42,,,offsetting_or_neutral
targeted_router_D2_F4,profile_holdout_fold,1,70,profile,10.0,approx_0_100,0.0,0.0,4,F4_direct_capacity,0.1366039013371756,0.1400542032931488,0.003450301955973206,-0.024635475943205688,18,18,8,8,,,offsetting_or_neutral
