method_id,eval_target,candidate_setting,candidate_feature_group,candidate_path,reference_label,reference_setting,reference_feature_group,reference_path,split_name,condition_rows,candidate_condition_mean_mae,reference_condition_mean_mae,condition_mean_mae_gain,relative_degradation,passes_guardrail,failure_class
adaptive_R2_F8_conservative,capacity_Ah_k1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,F4_direct_capacity,R0_reference_hgb50,F4_state_log_age_scalar,direct_capacity,condition_fold,76,0.04269142728458609,0.053868977082656096,0.011177549798070008,-0.20749511877530682,True,passes
adaptive_R2_F8_conservative,capacity_Ah_k1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,F4_direct_capacity,R0_reference_hgb50,F4_state_log_age_scalar,direct_capacity,profile_holdout_fold,12,0.08269291452361344,0.08436802390070613,0.0016751093770926984,-0.019854789760918867,True,passes
adaptive_R2_F8_conservative,capacity_Ah_k1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,F4_direct_capacity,R0_reference_hgb50,F4_state_log_age_scalar,direct_capacity,temperature_holdout_fold,38,0.047573245909515116,0.06929389733378724,0.021720651424272125,-0.3134569169871368,True,passes
adaptive_R2_F8_conservative,capacity_Ah_k1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,F4_direct_capacity,R0_reference_hgb50,F4_state_log_age_scalar,direct_capacity,voltage_window_holdout_fold,76,0.12330072058255237,0.09168270073941973,-0.031618019843132644,0.34486353028579814,False,fails_outside_split_guardrail
adaptive_R2_F8_conservative,capacity_Ah_k1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,stress_direct_capacity,R0_reference_hgb50,F8_timestamp_weighted_stress,direct_capacity,condition_fold,76,0.04269142728458609,0.05348028630709126,0.01078885902250517,-0.20173525176275306,True,passes
adaptive_R2_F8_conservative,capacity_Ah_k1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,stress_direct_capacity,R0_reference_hgb50,F8_timestamp_weighted_stress,direct_capacity,profile_holdout_fold,12,0.08269291452361344,0.09760217173253728,0.014909257208923846,-0.15275538386359083,True,passes
adaptive_R2_F8_conservative,capacity_Ah_k1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,stress_direct_capacity,R0_reference_hgb50,F8_timestamp_weighted_stress,direct_capacity,temperature_holdout_fold,38,0.047573245909515116,0.06426764374153761,0.016694397832022492,-0.2597636518177269,True,passes
adaptive_R2_F8_conservative,capacity_Ah_k1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,stress_direct_capacity,R0_reference_hgb50,F8_timestamp_weighted_stress,direct_capacity,voltage_window_holdout_fold,76,0.12330072058255237,0.15063112043290702,0.027330399850354653,-0.18143926548384107,True,passes
targeted_router_D2_F4,capacity_Ah_k1,R6_train_only_arm_selector_hgb,train_only_arm_selector,capacity_from_delta,F4_direct_capacity,D0_R0_F4_reference,F4_state_log_age_scalar,direct_capacity,condition_fold,76,0.04456738407968357,0.053868977082656096,0.009301593002972529,-0.1726706818416144,True,passes
targeted_router_D2_F4,capacity_Ah_k1,R6_train_only_arm_selector_hgb,train_only_arm_selector,capacity_from_delta,F4_direct_capacity,D0_R0_F4_reference,F4_state_log_age_scalar,direct_capacity,profile_holdout_fold,12,0.10915767923739267,0.08436802390070613,-0.024789655336686534,0.2938276160866564,False,fails_outside_split_guardrail
targeted_router_D2_F4,capacity_Ah_k1,R6_train_only_arm_selector_hgb,train_only_arm_selector,capacity_from_delta,F4_direct_capacity,D0_R0_F4_reference,F4_state_log_age_scalar,direct_capacity,temperature_holdout_fold,38,0.048574767662347605,0.06929389733378724,0.020719129671439636,-0.2990036708663683,True,passes
targeted_router_D2_F4,capacity_Ah_k1,R6_train_only_arm_selector_hgb,train_only_arm_selector,capacity_from_delta,F4_direct_capacity,D0_R0_F4_reference,F4_state_log_age_scalar,direct_capacity,voltage_window_holdout_fold,76,0.08168356148760307,0.09168270073941973,0.009999139251816655,-0.10906244221836545,True,passes
