parameter_set,checkup_k_next,target,tolerance_low,tolerance_high,replicate_spread,n_replicates
1,1,capacity_Ah_k1,2.940421,2.962058,0.021636999999999684,3
1,1,delta_capacity_Ah,-0.0067749999999997534,-0.004391000000000034,0.0023839999999997197,3
1,2,capacity_Ah_k1,2.929775,2.951028,0.02125300000000019,3
1,2,delta_capacity_Ah,-0.01144899999999982,-0.010646000000000377,0.000802999999999443,3
1,3,capacity_Ah_k1,2.915631,2.936992,0.021361000000000185,3
1,3,delta_capacity_Ah,-0.014377000000000084,-0.014035999999999937,0.00034100000000014674,3
1,4,capacity_Ah_k1,2.89971,2.921269,0.021559000000000328,3
1,4,delta_capacity_Ah,-0.016399000000000274,-0.01572299999999993,0.000676000000000343,3
1,5,capacity_Ah_k1,2.887496,2.909088,0.021592000000000056,3
1,5,delta_capacity_Ah,-0.012213999999999725,-0.01175499999999996,0.00045899999999976515,3
1,6,capacity_Ah_k1,2.875017,2.898087,0.023069999999999702,3
1,6,delta_capacity_Ah,-0.012561999999999962,-0.01100100000000026,0.0015609999999997015,3
1,7,capacity_Ah_k1,2.863818,2.887123,0.023304999999999687,3
1,7,delta_capacity_Ah,-0.011198999999999959,-0.010346999999999884,0.0008520000000000749,3
1,8,capacity_Ah_k1,2.852884,2.877668,0.024783999999999917,3
1,8,delta_capacity_Ah,-0.010934000000000221,-0.009454999999999991,0.0014790000000002301,3
1,9,capacity_Ah_k1,2.843688,2.868131,0.02444299999999977,3
1,9,delta_capacity_Ah,-0.009564999999999824,-0.00919599999999976,0.0003690000000000637,3
1,10,capacity_Ah_k1,2.834379,2.860309,0.025929999999999787,3
1,10,delta_capacity_Ah,-0.009535000000000071,-0.007821999999999996,0.0017130000000000756,3
1,11,capacity_Ah_k1,2.826108,2.85176,0.025652000000000008,3
1,11,delta_capacity_Ah,-0.008548999999999918,-0.00827100000000014,0.0002779999999997784,3
1,12,capacity_Ah_k1,2.818115,2.84417,0.02605499999999994,3
1,12,delta_capacity_Ah,-0.007992999999999917,-0.007555999999999674,0.00043700000000024275,3
1,13,capacity_Ah_k1,2.81066,2.837403,0.026743000000000183,3
1,13,delta_capacity_Ah,-0.007881999999999945,-0.0067669999999999675,0.0011149999999999771,3
1,14,capacity_Ah_k1,2.803529,2.830775,0.02724599999999988,3
1,14,delta_capacity_Ah,-0.007130999999999776,-0.006604999999999972,0.0005259999999998044,3
1,15,capacity_Ah_k1,2.797071,2.824084,0.027013000000000176,3
1,15,delta_capacity_Ah,-0.007189000000000334,-0.006458000000000297,0.0007310000000000372,3
1,16,capacity_Ah_k1,2.790555,2.818419,0.02786400000000011,3
1,16,delta_capacity_Ah,-0.006693999999999978,-0.005665000000000031,0.0010289999999999466,3
1,17,capacity_Ah_k1,2.784509,2.81212,0.027611000000000274,3
1,17,delta_capacity_Ah,-0.0062989999999998325,-0.006045999999999996,0.0002529999999998367,3
1,18,capacity_Ah_k1,2.778899,2.80716,0.02826100000000009,3
1,18,delta_capacity_Ah,-0.005609999999999893,-0.0049600000000000755,0.0006499999999998174,3
1,19,capacity_Ah_k1,2.773406,2.801914,0.028507999999999978,3
1,19,delta_capacity_Ah,-0.00549299999999997,-0.005246000000000084,0.0002469999999998862,3
1,20,capacity_Ah_k1,2.768087,2.796607,0.02851999999999988,3
1,20,delta_capacity_Ah,-0.005319000000000074,-0.0049559999999999604,0.00036300000000011323,3
1,21,capacity_Ah_k1,2.764535,2.791652,0.027117000000000058,3
1,21,delta_capacity_Ah,-0.004954999999999821,-0.0035519999999999996,0.001402999999999821,3
1,22,capacity_Ah_k1,2.759735,2.787177,0.027441999999999744,3
1,22,delta_capacity_Ah,-0.0047999999999999154,-0.004475000000000229,0.00032499999999968665,3
1,23,capacity_Ah_k1,2.754779,2.783095,0.028315999999999786,3
1,23,delta_capacity_Ah,-0.0049559999999999604,-0.004081999999999919,0.0008740000000000414,3
1,24,capacity_Ah_k1,2.751109,2.778974,0.027864999999999807,3
1,24,delta_capacity_Ah,-0.004121000000000041,-0.003670000000000062,0.0004509999999999792,3
1,25,capacity_Ah_k1,2.746802,2.775629,0.028826999999999714,3
1,25,delta_capacity_Ah,-0.004306999999999839,-0.0033449999999999314,0.0009619999999999074,3
1,26,capacity_Ah_k1,2.742716,2.772182,0.02946599999999977,3
1,26,delta_capacity_Ah,-0.004086000000000034,-0.003446999999999978,0.0006390000000000562,3
1,27,capacity_Ah_k1,2.734963,2.764446,0.029482999999999926,3
1,27,delta_capacity_Ah,-0.00821100000000019,-0.007735999999999965,0.00047500000000022524,3
1,28,capacity_Ah_k1,2.734031,2.764057,0.03002600000000033,3
1,28,delta_capacity_Ah,-0.0009320000000001549,-0.00038899999999975066,0.0005430000000004043,3
2,1,capacity_Ah_k1,2.923469,2.935001,0.01153200000000032,3
2,1,delta_capacity_Ah,-0.018021000000000065,-0.01113900000000001,0.006882000000000055,3
2,2,capacity_Ah_k1,2.907476,2.919281,0.011804999999999843,3
2,2,delta_capacity_Ah,-0.015992999999999924,-0.015098000000000056,0.0008949999999998681,3
2,3,capacity_Ah_k1,2.89123,2.904043,0.012812999999999963,3
2,3,delta_capacity_Ah,-0.01624599999999976,-0.013423999999999658,0.002822000000000102,3
2,4,capacity_Ah_k1,2.87259,2.886845,0.014254999999999907,3
2,4,delta_capacity_Ah,-0.01863999999999999,-0.01610200000000006,0.002537999999999929,3
2,5,capacity_Ah_k1,2.859497,2.875579,0.01608199999999993,3
2,5,delta_capacity_Ah,-0.013093000000000021,-0.011063000000000045,0.0020299999999999763,3
2,6,capacity_Ah_k1,2.845157,2.862741,0.017584000000000266,3
2,6,delta_capacity_Ah,-0.014340000000000241,-0.012837999999999905,0.0015020000000003364,3
2,7,capacity_Ah_k1,2.832963,2.852529,0.019566000000000194,3
2,7,delta_capacity_Ah,-0.012194000000000038,-0.010180999999999774,0.0020130000000002646,3
2,8,capacity_Ah_k1,2.821547,2.841437,0.019890000000000185,3
2,8,delta_capacity_Ah,-0.011416000000000093,-0.0105900000000001,0.0008259999999999934,3
2,9,capacity_Ah_k1,2.811601,2.832853,0.02125200000000005,3
2,9,delta_capacity_Ah,-0.009945999999999788,-0.008583999999999925,0.0013619999999998633,3
2,10,capacity_Ah_k1,2.801309,2.822262,0.020953,3
2,10,delta_capacity_Ah,-0.010591000000000239,-0.010236999999999608,0.0003540000000006316,3
2,11,capacity_Ah_k1,2.79175,2.813515,0.021765000000000256,3
2,11,delta_capacity_Ah,-0.009558999999999873,-0.008746999999999616,0.000812000000000257,3
2,12,capacity_Ah_k1,2.781679,2.804417,0.022737999999999925,3
2,12,delta_capacity_Ah,-0.010070999999999941,-0.009098000000000273,0.0009729999999996686,3
2,13,capacity_Ah_k1,2.775542,2.797815,0.022272999999999765,3
2,13,delta_capacity_Ah,-0.007179999999999964,-0.006136999999999837,0.0010430000000001272,3
2,14,capacity_Ah_k1,2.769058,2.791183,0.022125000000000394,3
2,14,delta_capacity_Ah,-0.006631999999999749,-0.006072000000000077,0.0005599999999996719,3
2,15,capacity_Ah_k1,2.762204,2.784986,0.022781999999999858,3
2,15,delta_capacity_Ah,-0.0069949999999998624,-0.00619700000000023,0.0007979999999996323,3
2,16,capacity_Ah_k1,2.755927,2.778075,0.022148000000000057,3
2,16,delta_capacity_Ah,-0.007129000000000385,-0.00627700000000031,0.0008520000000000749,3
2,17,capacity_Ah_k1,2.749131,2.771507,0.02237599999999995,3
2,17,delta_capacity_Ah,-0.00679599999999958,-0.006500999999999646,0.0002949999999999342,3
2,18,capacity_Ah_k1,2.743334,2.766653,0.023318999999999868,3
2,18,delta_capacity_Ah,-0.006032000000000259,-0.004854000000000358,0.0011779999999999013,3
2,19,capacity_Ah_k1,2.737787,2.760516,0.022729,3
2,19,delta_capacity_Ah,-0.006136999999999837,-0.004655000000000076,0.0014819999999997613,3
2,20,capacity_Ah_k1,2.732109,2.754418,0.022308999999999912,3
2,20,delta_capacity_Ah,-0.006098000000000159,-0.005488999999999855,0.0006090000000003037,3
2,21,capacity_Ah_k1,2.726588,2.748676,0.022088000000000108,3
2,21,delta_capacity_Ah,-0.006823999999999941,-0.005520999999999887,0.0013030000000000541,3
2,22,capacity_Ah_k1,2.722496,2.744149,0.021653000000000144,3
2,22,delta_capacity_Ah,-0.004685999999999968,-0.0040919999999999845,0.0005939999999999834,3
2,23,capacity_Ah_k1,2.718606,2.745059,0.02645300000000006,3
2,23,delta_capacity_Ah,-0.003890000000000171,0.004144999999999843,0.008035000000000014,3
2,24,capacity_Ah_k1,2.71444,2.737396,0.022955999999999754,3
2,24,delta_capacity_Ah,-0.007662999999999975,-0.00416599999999967,0.0034970000000003054,3
2,25,capacity_Ah_k1,2.710171,2.7323,0.022129000000000065,3
2,25,delta_capacity_Ah,-0.005380999999999858,-0.003960999999999881,0.0014199999999999768,3
2,26,capacity_Ah_k1,2.70592,2.72824,0.022320000000000118,3
2,26,delta_capacity_Ah,-0.004630000000000134,-0.0040599999999999525,0.0005700000000001815,3
2,27,capacity_Ah_k1,2.69718,2.719469,0.022289000000000225,3
2,27,delta_capacity_Ah,-0.009457999999999966,-0.00873999999999997,0.0007179999999999964,3
2,28,capacity_Ah_k1,2.697403,2.717647,0.02024399999999993,3
2,28,delta_capacity_Ah,-0.0018220000000002123,0.00022300000000008424,0.0020450000000002966,3
3,1,capacity_Ah_k1,2.913443,2.93018,0.016737000000000002,3
3,1,delta_capacity_Ah,-0.02891900000000014,-0.026670000000000194,0.0022489999999999455,3
3,2,capacity_Ah_k1,2.891916,2.907777,0.01586099999999968,3
3,2,delta_capacity_Ah,-0.023740000000000094,-0.021526999999999852,0.0022130000000002426,3
3,3,capacity_Ah_k1,2.870004,2.886974,0.016969999999999708,3
3,3,delta_capacity_Ah,-0.02191199999999993,-0.020802999999999905,0.0011090000000000266,3
3,4,capacity_Ah_k1,2.84863,2.865458,0.016827999999999843,3
3,4,delta_capacity_Ah,-0.02151600000000009,-0.02089300000000005,0.0006230000000000402,3
3,5,capacity_Ah_k1,2.831865,2.84953,0.017665000000000042,3
3,5,delta_capacity_Ah,-0.01676499999999992,-0.015654000000000057,0.001110999999999862,3
3,6,capacity_Ah_k1,2.814933,2.832912,0.017978999999999967,3
3,6,delta_capacity_Ah,-0.01693200000000017,-0.016443999999999903,0.000488000000000266,3
3,7,capacity_Ah_k1,2.800718,2.818504,0.01778600000000008,3
3,7,delta_capacity_Ah,-0.014407999999999976,-0.013884000000000007,0.0005239999999999689,3
3,8,capacity_Ah_k1,2.787321,2.805488,0.018167000000000044,3
3,8,delta_capacity_Ah,-0.013396999999999881,-0.013015999999999917,0.0003809999999999647,3
3,9,capacity_Ah_k1,2.77478,2.793774,0.018994000000000177,3
3,9,delta_capacity_Ah,-0.012541000000000135,-0.011714000000000002,0.0008270000000001332,3
3,10,capacity_Ah_k1,2.763402,2.782946,0.019543999999999784,3
3,10,delta_capacity_Ah,-0.011433999999999944,-0.01082800000000006,0.0006059999999998844,3
3,11,capacity_Ah_k1,2.752943,2.772455,0.019511999999999752,3
3,11,delta_capacity_Ah,-0.010572999999999944,-0.010458999999999996,0.00011399999999994748,3
