parameter_set,checkup_k_next,target,n_replicates,n_intervals,condition_mean,condition_median,condition_std,replicate_spread,tolerance_low,tolerance_high,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,c_rate_holdout_fold,profile_holdout_fold
1,1,capacity_Ah_k1,3,3,2.950763333333333,2.949811,0.010849891535556011,0.021636999999999684,2.940421,2.962058,calendar,0.0,calendar_soc_10,0.0,0,0
1,1,delta_capacity_Ah,3,3,-0.005617333333333363,-0.005686000000000302,0.001193482439474091,0.0023839999999997197,-0.0067749999999997534,-0.004391000000000034,calendar,0.0,calendar_soc_10,0.0,0,0
1,2,capacity_Ah_k1,3,3,2.939721666666667,2.938362,0.01069153975502757,0.02125300000000019,2.929775,2.951028,calendar,0.0,calendar_soc_10,0.0,0,0
1,2,delta_capacity_Ah,3,3,-0.011041666666666691,-0.011029999999999873,0.0004016271073186076,0.000802999999999443,-0.01144899999999982,-0.010646000000000377,calendar,0.0,calendar_soc_10,0.0,0,0
1,3,capacity_Ah_k1,3,3,2.9255359999999997,2.923985,0.010764631020151216,0.021361000000000185,2.915631,2.936992,calendar,0.0,calendar_soc_10,0.0,0,0
1,3,delta_capacity_Ah,3,3,-0.014185666666666652,-0.014143999999999934,0.00017427660007402466,0.00034100000000014674,-0.014377000000000084,-0.014035999999999937,calendar,0.0,calendar_soc_10,0.0,0,0
1,4,capacity_Ah_k1,3,3,2.9095216666666666,2.907586,0.010909066153128654,0.021559000000000328,2.89971,2.921269,calendar,0.0,calendar_soc_10,0.0,0,0
1,4,delta_capacity_Ah,3,3,-0.016014333333333425,-0.015921000000000074,0.00034753033440759095,0.000676000000000343,-0.016399000000000274,-0.01572299999999993,calendar,0.0,calendar_soc_10,0.0,0,0
1,5,capacity_Ah_k1,3,3,2.8974716666666667,2.895831,0.010889098049578504,0.021592000000000056,2.887496,2.909088,calendar,0.0,calendar_soc_10,0.0,0,0
1,5,delta_capacity_Ah,3,3,-0.012049999999999894,-0.012180999999999997,0.00025600976543867693,0.00045899999999976515,-0.012213999999999725,-0.01175499999999996,calendar,0.0,calendar_soc_10,0.0,0,0
1,6,capacity_Ah_k1,3,3,2.885457666666667,2.883269,0.011689692952910705,0.023069999999999702,2.875017,2.898087,calendar,0.0,calendar_soc_10,0.0,0,0
1,6,delta_capacity_Ah,3,3,-0.012014000000000044,-0.012478999999999907,0.0008782647664569448,0.0015609999999997015,-0.012561999999999962,-0.01100100000000026,calendar,0.0,calendar_soc_10,0.0,0,0
1,7,capacity_Ah_k1,3,3,2.874621,2.872922,0.011745029033595297,0.023304999999999687,2.863818,2.887123,calendar,0.0,calendar_soc_10,0.0,0,0
1,7,delta_capacity_Ah,3,3,-0.010836666666666606,-0.010963999999999974,0.00044004128594186693,0.0008520000000000749,-0.011198999999999959,-0.010346999999999884,calendar,0.0,calendar_soc_10,0.0,0,0
1,8,capacity_Ah_k1,3,3,2.864588,2.863212,0.012449164469955365,0.024783999999999917,2.852884,2.877668,calendar,0.0,calendar_soc_10,0.0,0,0
1,8,delta_capacity_Ah,3,3,-0.010033000000000106,-0.009710000000000107,0.0007906370848879843,0.0014790000000002301,-0.010934000000000221,-0.009454999999999991,calendar,0.0,calendar_soc_10,0.0,0,0
1,9,capacity_Ah_k1,3,3,2.8551553333333337,2.853647,0.012291109157977998,0.02444299999999977,2.843688,2.868131,calendar,0.0,calendar_soc_10,0.0,0,0
1,9,delta_capacity_Ah,3,3,-0.009432666666666497,-0.009536999999999907,0.00020543693273936182,0.0003690000000000637,-0.009564999999999824,-0.00919599999999976,calendar,0.0,calendar_soc_10,0.0,0,0
1,10,capacity_Ah_k1,3,3,2.8462666666666667,2.844112,0.013098594059414577,0.025929999999999787,2.834379,2.860309,calendar,0.0,calendar_soc_10,0.0,0,0
1,10,delta_capacity_Ah,3,3,-0.008888666666666692,-0.009309000000000012,0.000930646191274315,0.0017130000000000756,-0.009535000000000071,-0.007821999999999996,calendar,0.0,calendar_soc_10,0.0,0,0
1,11,capacity_Ah_k1,3,3,2.837887,2.835793,0.012953567192090397,0.025652000000000008,2.826108,2.85176,calendar,0.0,calendar_soc_10,0.0,0,0
1,11,delta_capacity_Ah,3,3,-0.008379666666666749,-0.008319000000000187,0.00014859789141603895,0.0002779999999997784,-0.008548999999999918,-0.00827100000000014,calendar,0.0,calendar_soc_10,0.0,0,0
