artifact,split_name,target,horizon_checkups,model_level,feature_group,contrast_family,retention_fraction,rows_retained,contrasts_retained,sign_evaluable_rows,sign_correct_rows,sign_accuracy,mean_effect_abs_error,mean_support_score,median_nearest_distance,claim_scope
policy_contrast,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,1.0,52,25,52,39,0.75,0.34435897435897433,0.5988023952095809,0.6699999999999999,prospective_supported_contrast_diagnostic
policy_contrast,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,0.9,47,24,47,35,0.7446808510638298,0.3424685390070922,0.5988023952095809,0.6699999999999999,prospective_supported_contrast_diagnostic
policy_contrast,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,0.75,39,22,39,28,0.717948717948718,0.3652051538461538,0.5988023952095809,0.6699999999999999,prospective_supported_contrast_diagnostic
policy_contrast,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,0.5,26,17,26,18,0.6923076923076923,0.46495455128205126,0.5988023952095809,0.6699999999999999,prospective_supported_contrast_diagnostic
policy_contrast,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,0.25,13,10,13,8,0.6153846153846154,0.38430366666666654,0.5988023952095809,0.6699999999999999,prospective_supported_contrast_diagnostic
policy_contrast,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,1.0,33,15,33,25,0.7575757575757576,0.34924965656565654,0.5988023952095809,0.6699999999999999,prospective_supported_contrast_diagnostic
policy_contrast,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,0.9,30,15,30,22,0.7333333333333333,0.35834058888888887,0.5988023952095809,0.6699999999999999,prospective_supported_contrast_diagnostic
policy_contrast,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,0.75,25,15,25,20,0.8,0.4134162,0.5988023952095809,0.6699999999999999,prospective_supported_contrast_diagnostic
policy_contrast,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,0.5,17,11,17,12,0.7058823529411765,0.46945688235294114,0.5988023952095809,0.6699999999999999,prospective_supported_contrast_diagnostic
policy_contrast,c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,0.25,9,6,9,6,0.6666666666666666,0.41981381481481467,0.5988023952095809,0.6699999999999999,prospective_supported_contrast_diagnostic
