split_name,heldout_fold,parameter_set,aging_mode,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,nominal_discharge_C_rate,profile_label,train_conditions,exact_nominal_match_count,same_stressor_support_count,nearest_distance,nearest_parameter_set,support_score,claim_scope
condition_fold,2,1,calendar,0.0,calendar_soc_10,0.0,0.0,0,61,0,11,0.25,5,0.8,train_only_support_diagnostic
condition_fold,4,2,calendar,0.0,calendar_soc_50,0.0,0.0,0,61,0,13,0.25,6,0.8,train_only_support_diagnostic
condition_fold,1,3,calendar,0.0,calendar_soc_90,0.0,0.0,0,61,0,12,0.25,7,0.8,train_only_support_diagnostic
condition_fold,4,4,calendar,0.0,calendar_soc_100,0.0,0.0,0,61,0,13,0.25,8,0.8,train_only_support_diagnostic
condition_fold,1,5,calendar,10.0,calendar_soc_10,0.0,0.0,0,61,0,12,0.25,1,0.8,train_only_support_diagnostic
condition_fold,2,6,calendar,10.0,calendar_soc_50,0.0,0.0,0,61,0,11,0.25,2,0.8,train_only_support_diagnostic
condition_fold,3,7,calendar,10.0,calendar_soc_90,0.0,0.0,0,61,0,14,0.25,3,0.8,train_only_support_diagnostic
condition_fold,0,8,calendar,10.0,calendar_soc_100,0.0,0.0,0,60,0,14,0.25,4,0.8,train_only_support_diagnostic
condition_fold,2,9,calendar,25.0,calendar_soc_10,0.0,0.0,0,61,0,11,0.375,5,0.7272727272727273,train_only_support_diagnostic
condition_fold,1,10,calendar,25.0,calendar_soc_50,0.0,0.0,0,61,0,12,0.375,6,0.7272727272727273,train_only_support_diagnostic
condition_fold,1,11,calendar,25.0,calendar_soc_90,0.0,0.0,0,61,0,12,0.375,7,0.7272727272727273,train_only_support_diagnostic
condition_fold,3,12,calendar,25.0,calendar_soc_100,0.0,0.0,0,61,0,14,0.375,8,0.7272727272727273,train_only_support_diagnostic
condition_fold,2,13,calendar,40.0,calendar_soc_10,0.0,0.0,0,61,0,11,0.75,5,0.5714285714285714,train_only_support_diagnostic
