method_id,eval_target,split_name,candidate_setting,candidate_feature_group,candidate_path,reference_label,reference_setting,reference_feature_group,reference_path,condition_rows,candidate_condition_mean_mae,reference_condition_mean_mae,condition_mean_mae_gain,paired_p05,relative_degradation,passes_gain_guardrail
adaptive_R2_F8_conservative,capacity_Ah_k1,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,F4_capacity_from_delta,R0_reference_hgb50,F4_state_log_age_scalar,capacity_from_delta,12,0.08108915098979329,0.10113277130259181,0.02004362031279852,0.007498572292517846,-0.19819115064915507,True
adaptive_R2_F8_conservative,capacity_Ah_k1,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,F4_direct_capacity,R0_reference_hgb50,F4_state_log_age_scalar,direct_capacity,12,0.08108915098979329,0.12518636786777063,0.04409721687797734,0.0207746407190345,-0.3522525465756421,True
adaptive_R2_F8_conservative,capacity_Ah_k1,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,stress_capacity_from_delta,R0_reference_hgb50,F8_timestamp_weighted_stress,capacity_from_delta,12,0.08108915098979329,0.1025157883233301,0.021426637333536808,0.004656955608478567,-0.20900817019480136,True
adaptive_R2_F8_conservative,capacity_Ah_k1,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,capacity_from_delta,stress_direct_capacity,R0_reference_hgb50,F8_timestamp_weighted_stress,direct_capacity,12,0.08108915098979329,0.12244211150469492,0.04135296051490163,0.020620471239752317,-0.33773478753930175,True
adaptive_R2_F8_conservative,capacity_Ah_k1,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,direct_capacity,F4_capacity_from_delta,R0_reference_hgb50,F4_state_log_age_scalar,capacity_from_delta,12,0.1304566767334516,0.10113277130259181,-0.02932390543085979,-0.051243586320143725,0.2899545325730462,False
adaptive_R2_F8_conservative,capacity_Ah_k1,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,direct_capacity,F4_direct_capacity,R0_reference_hgb50,F4_state_log_age_scalar,direct_capacity,12,0.1304566767334516,0.12518636786777063,-0.005270308865680973,-0.016621401018817494,0.04209970267088338,False
adaptive_R2_F8_conservative,capacity_Ah_k1,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,direct_capacity,stress_capacity_from_delta,R0_reference_hgb50,F8_timestamp_weighted_stress,capacity_from_delta,12,0.1304566767334516,0.1025157883233301,-0.027940888410121503,-0.04243285076099868,0.2725520514166776,False
adaptive_R2_F8_conservative,capacity_Ah_k1,c_rate_holdout_fold,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,direct_capacity,stress_direct_capacity,R0_reference_hgb50,F8_timestamp_weighted_stress,direct_capacity,12,0.1304566767334516,0.12244211150469492,-0.008014565228756682,-0.016176482044434302,0.0654559540852852,False
targeted_router_D2_F4,capacity_Ah_k1,c_rate_holdout_fold,R6_train_only_arm_selector_hgb,train_only_arm_selector,capacity_from_delta,F4_capacity_from_delta,D0_R0_F4_reference,F4_state_log_age_scalar,capacity_from_delta,12,0.0904967149458784,0.10113277130259181,0.010636056356713414,0.005943972301469538,-0.10516923663537375,True
targeted_router_D2_F4,capacity_Ah_k1,c_rate_holdout_fold,R6_train_only_arm_selector_hgb,train_only_arm_selector,capacity_from_delta,F4_direct_capacity,D0_R0_F4_reference,F4_state_log_age_scalar,direct_capacity,12,0.0904967149458784,0.12518636786777063,0.03468965292189223,0.012068586804542049,-0.2771040770072787,True
targeted_router_D2_F4,capacity_Ah_k1,c_rate_holdout_fold,R6_train_only_arm_selector_hgb,train_only_arm_selector,direct_capacity,F4_capacity_from_delta,D0_R0_F4_reference,F4_state_log_age_scalar,capacity_from_delta,12,0.12518636786777063,0.10113277130259181,-0.024053596565178817,-0.04795681667546581,0.23784176242149885,False
