method_id,eval_target,target_path,split_name,heldout_fold,model_setting_id,feature_group,source_artifact,row_count,condition_count,condition_mean_mae
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,c_rate_holdout_fold,1,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,157,12,0.10113277130259181
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,c_rate_holdout_fold,1,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,157,12,0.1025157883233301
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,c_rate_holdout_fold,1,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,157,12,0.0904967149458784
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,c_rate_holdout_fold,1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,157,12,0.08108915098979329
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,0,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,844,16,0.038752218090424374
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,0,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,844,16,0.04088863554975263
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,0,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,844,16,0.04284825228773235
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,0,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,844,16,0.03685296510451023
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,1,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,865,15,0.042799950401701946
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,1,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,865,15,0.03778654425497253
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,1,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,865,15,0.041039897402367916
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,1,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,865,15,0.037833708738518795
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,2,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,892,15,0.0331936997650011
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,2,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,892,15,0.032679277424501704
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,2,R5_train_only_stressor_selected_hgb,F4_state_log_age_scalar,adaptive_boundary_predictions,892,15,0.035576771704949564
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,2,R5_train_only_stressor_selected_hgb,F8_timestamp_weighted_stress,adaptive_boundary_predictions,892,15,0.034056478828228015
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,3,R0_reference_hgb50,F4_state_log_age_scalar,adaptive_boundary_predictions,509,15,0.06214658171231007
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,condition_fold,3,R0_reference_hgb50,F8_timestamp_weighted_stress,adaptive_boundary_predictions,509,15,0.059239548718747266
