method_id,eval_target,candidate_path,reference_label,reference_path,reference_feature_group,outside_split_rows,max_other_split_relative_degradation,passes_guardrail
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,outside_direct_reference,direct_capacity,F8_timestamp_weighted_stress,4,-0.15275538386359083,True
adaptive_R2_F8_conservative,capacity_Ah_k1,capacity_from_delta,outside_derived_reference,capacity_from_delta,F8_timestamp_weighted_stress,4,0.025276921622657437,True
adaptive_R2_F8_conservative,capacity_Ah_k1,direct_capacity,outside_direct_reference,direct_capacity,F8_timestamp_weighted_stress,4,0.01023662912864047,True
targeted_router_D2_F4,capacity_Ah_k1,capacity_from_delta,outside_direct_reference,direct_capacity,F4_state_log_age_scalar,4,0.2938276160866564,False
targeted_router_D2_F4,capacity_Ah_k1,capacity_from_delta,outside_derived_reference,capacity_from_delta,F4_state_log_age_scalar,4,0.0,True
targeted_router_D2_F4,capacity_Ah_k1,direct_capacity,outside_direct_reference,direct_capacity,F4_state_log_age_scalar,4,0.0,True
adaptive_R2_F8_conservative,delta_capacity_Ah,delta_from_capacity,outside_direct_reference,direct_delta,F8_timestamp_weighted_stress,4,0.3336192893216073,False
adaptive_R2_F8_conservative,delta_capacity_Ah,delta_from_capacity,outside_derived_reference,delta_from_capacity,F8_timestamp_weighted_stress,4,0.01023662912864047,True
adaptive_R2_F8_conservative,delta_capacity_Ah,direct_delta,outside_direct_reference,direct_delta,F8_timestamp_weighted_stress,4,0.025276921622657437,True
targeted_router_D2_F4,delta_capacity_Ah,delta_from_capacity,outside_direct_reference,direct_delta,F4_state_log_age_scalar,4,0.42654099378224974,False
targeted_router_D2_F4,delta_capacity_Ah,delta_from_capacity,outside_derived_reference,delta_from_capacity,F4_state_log_age_scalar,4,0.0,True
targeted_router_D2_F4,delta_capacity_Ah,direct_delta,outside_direct_reference,direct_delta,F4_state_log_age_scalar,4,0.0,True
