cell_id,source_archive,source_file,reason
P000_0,cfg.zip,cell_cfg_P000_0_S20_C00.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C01.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C02.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C03.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C04.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C05.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C06.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C07.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C08.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C09.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C10.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cfg.zip,cell_cfg_P000_0_S20_C11.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C00.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C01.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C02.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C03.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C04.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C05.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C06.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C07.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C08.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C09.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C10.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eocv2.zip,cell_eocv2_P000_0_S20_C11.csv,Auxiliary cell outside expected 228-cell cohort
P000_0,cell_eisv2.zip,cell_eisv2_P000_0_S20_C00.csv,Auxiliary cell outside expected 228-cell cohort
