aging_mode,c_rate_holdout_fold,cell_id,checkup_k,missing_reason,nominal_charge_C_rate,nominal_temperature_C,parameter_set,profile_holdout_fold,replicate_id,voltage_window_family
cyclic,0,P021_1,14,missing_pulse_k1,0.33,0.0,21,0,1,approx_10_100
cyclic,0,P022_1,7,missing_pulse_k1,0.33,0.0,22,0,1,approx_10_100
cyclic,0,P022_3,6,missing_pulse_k1,0.33,0.0,22,0,3,approx_10_100
cyclic,0,P025_1,23,missing_pulse_k1,0.33,0.0,25,0,1,approx_10_90
cyclic,0,P026_1,10,missing_pulse_k1,0.33,0.0,26,0,1,approx_10_90
cyclic,0,P026_2,10,missing_pulse_k1,0.33,0.0,26,0,2,approx_10_90
cyclic,0,P026_3,10,missing_pulse_k1,0.33,0.0,26,0,3,approx_10_90
cyclic,0,P027_1,4,missing_pulse_k1,1.0,0.0,27,0,1,approx_10_90
cyclic,0,P027_2,4,missing_pulse_k1,1.0,0.0,27,0,2,approx_10_90
cyclic,0,P030_1,8,missing_pulse_k1,0.33,10.0,30,0,1,approx_0_100
cyclic,0,P033_1,21,missing_pulse_k1,0.33,10.0,33,0,1,approx_10_100
cyclic,0,P033_2,22,missing_pulse_k1,0.33,10.0,33,0,2,approx_10_100
cyclic,0,P033_3,21,missing_pulse_k1,0.33,10.0,33,0,3,approx_10_100
cyclic,0,P034_1,14,missing_pulse_k1,0.33,10.0,34,0,1,approx_10_100
cyclic,0,P038_3,18,missing_pulse_k1,0.33,10.0,38,0,3,approx_10_90
cyclic,0,P039_3,6,missing_pulse_k1,1.0,10.0,39,0,3,approx_10_90
cyclic,1,P040_2,4,missing_pulse_k1,1.67,10.0,40,0,2,approx_10_90
cyclic,1,P040_3,4,missing_pulse_k1,1.67,10.0,40,0,3,approx_10_90
cyclic,0,P041_1,19,missing_pulse_k1,0.33,25.0,41,0,1,approx_0_100
cyclic,0,P041_2,15,missing_pulse_k1,0.33,25.0,41,0,2,approx_0_100
cyclic,0,P041_3,19,missing_pulse_k1,0.33,25.0,41,0,3,approx_0_100
cyclic,0,P042_1,20,missing_pulse_k1,0.33,25.0,42,0,1,approx_0_100
cyclic,0,P042_2,11,missing_pulse_k1,0.33,25.0,42,0,2,approx_0_100
cyclic,0,P042_3,15,missing_pulse_k1,0.33,25.0,42,0,3,approx_0_100
cyclic,1,P044_2,1,missing_pulse_k1,1.67,25.0,44,0,2,approx_0_100
cyclic,0,P051_1,15,missing_pulse_k1,1.0,25.0,51,0,1,approx_10_90
cyclic,0,P051_2,22,missing_pulse_k1,1.0,25.0,51,0,2,approx_10_90
cyclic,0,P051_3,23,missing_pulse_k1,1.0,25.0,51,0,3,approx_10_90
cyclic,1,P052_2,9,missing_pulse_k1,1.67,25.0,52,0,2,approx_10_90
cyclic,1,P052_3,4,missing_pulse_k1,1.67,25.0,52,0,3,approx_10_90
cyclic,0,P053_1,13,missing_pulse_k1,0.33,40.0,53,0,1,approx_0_100
cyclic,0,P053_2,13,missing_pulse_k1,0.33,40.0,53,0,2,approx_0_100
cyclic,0,P053_3,15,missing_pulse_k1,0.33,40.0,53,0,3,approx_0_100
cyclic,0,P054_1,13,missing_pulse_k1,0.33,40.0,54,0,1,approx_0_100
cyclic,0,P054_2,15,missing_pulse_k1,0.33,40.0,54,0,2,approx_0_100
cyclic,0,P054_3,15,missing_pulse_k1,0.33,40.0,54,0,3,approx_0_100
cyclic,0,P055_1,6,missing_pulse_k1,1.0,40.0,55,0,1,approx_0_100
cyclic,0,P055_2,6,missing_pulse_k1,1.0,40.0,55,0,2,approx_0_100
cyclic,1,P056_1,3,missing_pulse_k1,1.67,40.0,56,0,1,approx_0_100
cyclic,1,P056_2,3,missing_pulse_k1,1.67,40.0,56,0,2,approx_0_100
cyclic,1,P056_3,4,missing_pulse_k1,1.67,40.0,56,0,3,approx_0_100
cyclic,0,P057_1,11,missing_pulse_k1,0.33,40.0,57,0,1,approx_10_100
cyclic,0,P057_2,11,missing_pulse_k1,0.33,40.0,57,0,2,approx_10_100
cyclic,0,P057_3,11,missing_pulse_k1,0.33,40.0,57,0,3,approx_10_100
cyclic,0,P058_1,13,missing_pulse_k1,0.33,40.0,58,0,1,approx_10_100
cyclic,0,P058_2,11,missing_pulse_k1,0.33,40.0,58,0,2,approx_10_100
cyclic,0,P058_3,11,missing_pulse_k1,0.33,40.0,58,0,3,approx_10_100
cyclic,0,P059_1,5,missing_pulse_k1,1.0,40.0,59,0,1,approx_10_100
cyclic,0,P059_2,6,missing_pulse_k1,1.0,40.0,59,0,2,approx_10_100
cyclic,0,P059_3,5,missing_pulse_k1,1.0,40.0,59,0,3,approx_10_100
cyclic,1,P060_1,5,missing_pulse_k1,1.67,40.0,60,0,1,approx_10_100
cyclic,1,P060_2,3,missing_pulse_k1,1.67,40.0,60,0,2,approx_10_100
cyclic,1,P060_3,5,missing_pulse_k1,1.67,40.0,60,0,3,approx_10_100
cyclic,0,P063_1,24,missing_pulse_k1,1.0,40.0,63,0,1,approx_10_90
cyclic,1,P064_1,15,missing_pulse_k1,1.67,40.0,64,0,1,approx_10_90
cyclic,1,P064_2,13,missing_pulse_k1,1.67,40.0,64,0,2,approx_10_90
cyclic,1,P064_3,7,missing_pulse_k1,1.67,40.0,64,0,3,approx_10_90
profile,0,P065_1,17,missing_pulse_k1,0.0,0.0,65,1,1,approx_0_100
profile,0,P065_3,18,missing_pulse_k1,0.0,0.0,65,1,3,approx_0_100
profile,0,P066_2,27,missing_pulse_k1,0.0,0.0,66,1,2,approx_0_100
profile,0,P067_1,4,missing_pulse_k1,0.0,0.0,67,1,1,approx_0_100
profile,0,P067_2,4,missing_pulse_k1,0.0,0.0,67,1,2,approx_0_100
profile,0,P067_3,4,missing_pulse_k1,0.0,0.0,67,1,3,approx_0_100
profile,0,P068_1,25,missing_pulse_k1,0.0,10.0,68,1,1,approx_0_100
profile,0,P068_2,24,missing_pulse_k1,0.0,10.0,68,1,2,approx_0_100
profile,0,P068_3,26,missing_pulse_k1,0.0,10.0,68,1,3,approx_0_100
profile,0,P070_1,5,missing_pulse_k1,0.0,10.0,70,1,1,approx_0_100
profile,0,P070_3,6,missing_pulse_k1,0.0,10.0,70,1,3,approx_0_100
profile,0,P073_1,10,missing_pulse_k1,0.0,25.0,73,1,1,approx_0_100
profile,0,P073_2,10,missing_pulse_k1,0.0,25.0,73,1,2,approx_0_100
profile,0,P073_3,11,missing_pulse_k1,0.0,25.0,73,1,3,approx_0_100
profile,0,P073_3,12,missing_pulse_k,0.0,25.0,73,1,3,approx_0_100
profile,0,P074_1,16,missing_pulse_k1,0.0,40.0,74,1,1,approx_0_100
profile,0,P074_2,14,missing_pulse_k1,0.0,40.0,74,1,2,approx_0_100
profile,0,P074_3,15,missing_pulse_k1,0.0,40.0,74,1,3,approx_0_100
profile,0,P076_1,26,missing_pulse_k1,0.0,40.0,76,1,1,approx_0_100
