group_value,grouping,missing_cells,missing_parameter_sets,missing_rows
21,parameter_set,1,1,1
22,parameter_set,2,1,2
25,parameter_set,1,1,1
26,parameter_set,3,1,3
27,parameter_set,2,1,2
30,parameter_set,1,1,1
33,parameter_set,3,1,3
34,parameter_set,1,1,1
38,parameter_set,1,1,1
39,parameter_set,1,1,1
40,parameter_set,2,1,2
41,parameter_set,3,1,3
42,parameter_set,3,1,3
44,parameter_set,1,1,1
51,parameter_set,3,1,3
52,parameter_set,2,1,2
53,parameter_set,3,1,3
54,parameter_set,3,1,3
55,parameter_set,2,1,2
56,parameter_set,3,1,3
57,parameter_set,3,1,3
58,parameter_set,3,1,3
59,parameter_set,3,1,3
60,parameter_set,3,1,3
63,parameter_set,1,1,1
64,parameter_set,3,1,3
65,parameter_set,2,1,2
66,parameter_set,1,1,1
67,parameter_set,3,1,3
68,parameter_set,3,1,3
70,parameter_set,2,1,2
73,parameter_set,3,1,4
74,parameter_set,3,1,3
76,parameter_set,1,1,1
