cell_id,checkup_k,checkup_k_next,duration_delta_h,event_count,event_duration_h,interval_duration_h,max_gap_s,parameter_set,replicate_id
P001_1,0,1,-3.7508333333333326,261,164.60833333333332,168.35916666666665,30.0,1,1
P001_1,1,2,-2.450277777777785,294,497.31666666666666,499.76694444444445,30.0,1,1
P001_1,2,3,-2.5719444444442274,308,502.7666666666669,505.3386111111111,30.0,1,1
P001_1,3,4,-3.3174999999999386,398,499.1083333333334,502.42583333333334,30.0,1,1
P001_1,4,5,-2.6172222222221535,314,501.1916666666667,503.8088888888889,30.0,1,1
P001_1,5,6,-2.4219444444445344,291,501.4666666666666,503.8886111111111,30.0,1,1
P001_1,6,7,-2.5983333333333007,312,501.15000000000003,503.74833333333333,30.0,1,1
P001_1,7,8,-2.4488888888888596,294,501.6166666666667,504.06555555555553,30.0,1,1
P001_1,8,9,-2.6288888888888096,315,501.50000000000006,504.12888888888887,30.0,1,1
P001_1,9,10,-2.5674999999999955,308,501.10833333333335,503.67583333333334,30.0,1,1
P001_1,10,11,-2.55944444444458,307,501.5833333333332,504.1427777777778,30.0,1,1
P001_1,11,12,-2.3405555555554542,281,505.16666666666674,507.5072222222222,30.0,1,1
P001_1,12,13,-2.5447222222222194,306,497.10833333333335,499.65305555555557,30.0,1,1
P001_1,13,14,-2.5158333333332052,302,501.6750000000001,504.19083333333333,30.0,1,1
P001_1,14,15,-2.5977777777777646,311,500.73333333333335,503.3311111111111,30.0,1,1
P001_1,15,16,-2.582500000000209,310,523.3833333333331,525.9658333333333,30.0,1,1
P001_1,16,17,-2.5241666666667584,303,480.31666666666655,482.8408333333333,30.0,1,1
P001_1,17,18,-2.6991666666667697,324,500.76666666666654,503.4658333333333,30.0,1,1
P001_1,18,19,-2.4680555555556225,296,501.50833333333327,503.9763888888889,30.0,1,1
P001_1,19,20,-2.5802777777778942,310,501.19166666666655,503.77194444444444,30.0,1,1
P001_1,20,21,-2.408055555555677,289,500.73333333333323,503.1413888888889,30.0,1,1
P001_1,21,22,-2.360833333333346,283,510.56666666666666,512.9275,30.0,1,1
P001_1,22,23,-2.511111111111177,301,508.3583333333333,510.86944444444447,30.0,1,1
P001_1,23,24,-2.351111111111095,283,494.98333333333335,497.33444444444444,30.0,1,1
P001_1,24,25,-2.6538888888888437,318,501.3083333333334,503.96222222222224,30.0,1,1
P001_1,25,26,-2.5477777777780375,306,501.5499999999997,504.09777777777776,30.0,1,1
P001_1,26,27,-2.7324999999999022,328,500.18333333333345,502.91583333333335,30.0,1,1
P001_1,27,28,-3.6897222222220307,442,995.4583333333335,999.1480555555555,30.0,1,1
P001_2,0,1,-3.6077777777778124,243,164.74999999999997,168.35777777777778,30.0,1,2
P001_2,1,2,-2.398611111111279,288,497.3666666666665,499.7652777777778,30.0,1,2
P001_2,2,3,-2.5783333333334326,310,502.7583333333332,505.33666666666664,30.0,1,2
P001_2,3,4,-3.156944444444264,379,499.2666666666668,502.4236111111111,30.0,1,2
P001_2,4,5,-2.6419444444445617,317,501.1666666666666,503.80861111111113,30.0,1,2
P001_2,5,6,-2.4033333333333644,288,501.4833333333333,503.88666666666666,30.0,1,2
P001_2,6,7,-2.4733333333334144,297,501.2749999999999,503.74833333333333,30.0,1,2
P001_2,7,8,-2.447499999999991,293,501.6166666666667,504.06416666666667,30.0,1,2
P001_2,8,9,-2.670000000000016,321,501.4583333333333,504.12833333333333,30.0,1,2
P001_2,9,10,-2.5891666666665856,311,501.0833333333334,503.6725,30.0,1,2
P001_2,10,11,-2.701944444444564,324,501.44166666666655,504.1436111111111,30.0,1,2
P001_2,11,12,-2.7808333333332484,333,504.7250000000001,507.5058333333333,30.0,1,2
P001_2,12,13,-2.5266666666665856,304,497.12500000000006,499.65166666666664,30.0,1,2
P001_2,13,14,-2.506944444444514,301,501.6833333333333,504.1902777777778,30.0,1,2
P001_2,14,15,-2.5466666666665674,305,500.7833333333334,503.33,30.0,1,2
P001_2,15,16,-2.656944444444548,319,523.3083333333333,525.9652777777778,30.0,1,2
P001_2,16,17,-2.4733333333334144,297,480.36666666666656,482.84,30.0,1,2
P001_2,17,18,-2.5663888888889232,308,500.9,503.4663888888889,30.0,1,2
P001_2,18,19,-2.425277777777808,291,501.54999999999995,503.97527777777776,30.0,1,2
P001_2,19,20,-2.512777777777842,301,501.25833333333327,503.7711111111111,30.0,1,2
P001_2,20,21,-2.5188888888888528,303,500.62500000000006,503.1438888888889,30.0,1,2
P001_2,21,22,-2.484444444444364,298,510.4416666666668,512.9261111111111,30.0,1,2
P001_2,22,23,-2.6008333333333553,312,508.26666666666665,510.8675,30.0,1,2
P001_2,23,24,-2.443888888888864,293,494.8916666666667,497.3355555555556,30.0,1,2
P001_2,24,25,-2.4027777777777715,288,501.55833333333334,503.9611111111111,30.0,1,2
P001_2,25,26,-2.4441666666667743,294,501.6499999999999,504.0941666666667,30.0,1,2
P001_2,26,27,-2.5713888888889755,308,500.3416666666666,502.91305555555556,30.0,1,2
P001_2,27,28,-3.7966666666666242,456,995.325,999.1216666666667,30.0,1,2
P001_3,0,1,-4.0505555555555475,297,164.33333333333334,168.3838888888889,30.0,1,3
P001_3,1,2,-2.6655555555556134,319,497.09999999999997,499.7655555555556,30.0,1,3
P001_3,2,3,-2.480000000000018,298,502.8583333333333,505.3383333333333,30.0,1,3
P001_3,3,4,-3.1750000000000114,381,499.25,502.425,30.0,1,3
P001_3,4,5,-2.673888888888939,321,501.13333333333327,503.8072222222222,30.0,1,3
P001_3,5,6,-2.759722222222308,331,501.1249999999999,503.8847222222222,30.0,1,3
P001_3,6,7,-2.589444444444382,311,501.1583333333334,503.7477777777778,30.0,1,3
P001_3,7,8,-2.3383333333333667,280,501.72499999999997,504.06333333333333,30.0,1,3
P001_3,8,9,-2.4183333333334076,291,501.70833333333326,504.12666666666667,30.0,1,3
P001_3,9,10,-2.4747222222222263,297,501.2,503.6747222222222,30.0,1,3
P001_3,10,11,-2.38250000000005,285,501.75833333333327,504.1408333333333,30.0,1,3
P001_3,11,12,-2.60638888888883,313,504.90000000000003,507.50638888888886,30.0,1,3
P001_3,12,13,-2.6605555555554474,320,496.9916666666668,499.65222222222224,30.0,1,3
P001_3,13,14,-2.5558333333332257,306,501.63333333333344,504.18916666666667,30.0,1,3
P001_3,14,15,-2.546666666666681,306,500.7833333333333,503.33,30.0,1,3
P001_3,15,16,-2.5150000000001,302,523.4499999999999,525.965,30.0,1,3
P001_3,16,17,-2.548333333333346,305,480.29166666666663,482.84,30.0,1,3
P001_3,17,18,-2.550833333333344,307,500.91666666666663,503.4675,30.0,1,3
P001_3,18,19,-2.4655555555557385,295,501.50833333333316,503.9738888888889,30.0,1,3
P001_3,19,20,-2.605000000000075,313,501.1666666666666,503.77166666666665,30.0,1,3
P001_3,20,21,-2.5341666666665787,304,500.6083333333334,503.1425,30.0,1,3
P001_3,21,22,-2.6677777777778715,320,510.25833333333327,512.9261111111111,30.0,1,3
P001_3,22,23,-2.54388888888883,305,508.32500000000005,510.8688888888889,30.0,1,3
P001_3,23,24,-2.509166666666829,302,494.8249999999998,497.33416666666665,30.0,1,3
P001_3,24,25,-2.5277777777778283,303,501.4333333333333,503.9611111111111,30.0,1,3
P001_3,25,26,-2.669999999999959,320,501.42500000000007,504.095,30.0,1,3
P001_3,26,27,-2.487500000000182,299,500.42499999999984,502.9125,30.0,1,3
P001_3,27,28,-3.8091666666666697,457,995.3083333333333,999.1175,30.0,1,3
P002_1,0,1,-4.032222222222231,294,165.44166666666666,169.4738888888889,30.0,2,1
P002_1,1,2,-2.4186111111113178,291,497.3499999999998,499.7686111111111,30.0,2,1
P002_1,2,3,-2.569166666666888,308,502.84166666666647,505.41083333333336,30.0,2,1
P002_1,3,4,-3.5288888888889574,423,498.79999999999995,502.3288888888889,30.0,2,1
P002_1,4,5,-2.593055555555793,312,501.2083333333331,503.8013888888889,30.0,2,1
P002_1,5,6,-2.5944444444446617,311,501.28333333333313,503.8777777777778,30.0,2,1
P002_1,6,7,-2.5158333333333758,302,501.22499999999997,503.74083333333334,30.0,2,1
P002_1,7,8,-2.5241666666666447,303,501.53333333333336,504.0575,30.0,2,1
P002_1,8,9,-2.523333333333426,302,501.5999999999999,504.12333333333333,30.0,2,1
