model_level,feature_group,target,split_name,base_run_scope,corrected_run_scope,base_condition_mean_mae,corrected_condition_mean_mae,condition_mean_mae_gain,base_worst_condition_mae,corrected_worst_condition_mae
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,c_rate_holdout_fold,primary,primary_bias_corrected,0.14943589800373405,0.1494358980056449,-1.910860358833588e-12,0.2365752948733748,0.2365752948769081
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,c_rate_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.14255465756071545,0.14255465755868788,2.0275725542973078e-12,0.23602988026247268,0.23602988026085922
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,primary,primary_bias_corrected,0.05902281093399744,0.059164125978656903,-0.0001413150446594666,0.27342579377671494,0.27342579377752524
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.059526196664365684,0.05970005129815781,-0.00017385463379212401,0.2539046514955032,0.2539046514985546
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,temperature_holdout_fold,primary,primary_bias_corrected,0.06682598048255377,0.06682598048248468,6.908362770730037e-14,0.31487679693593024,0.31487679693746945
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,temperature_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.06990606561204722,0.0699060656120476,-3.7470027081099033e-16,0.3075655810325566,0.30756558103245213
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,voltage_window_holdout_fold,primary,primary_bias_corrected,0.07424356969971271,0.07424356969850508,1.2076312172482062e-12,0.32905074020661546,0.32905074020661546
L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,voltage_window_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.08050172835816195,0.08050172835637666,1.785294134748483e-12,0.36151240523001227,0.3615124052300122
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,c_rate_holdout_fold,primary,primary_bias_corrected,0.16264014634352023,0.16264014634238477,1.1354528428597632e-12,0.2755153042492415,0.275515304247012
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,c_rate_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.14486552308873227,0.14486552308711995,1.6123213875118836e-12,0.2467749459012188,0.24677494589763715
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,primary,primary_bias_corrected,0.057580191832087346,0.058043583525629036,-0.00046339169354168985,0.30566130193804414,0.30566130193804414
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.06070581042755448,0.06082527533064082,-0.0001194649030863415,0.263930707892988,0.2639307078928536
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,temperature_holdout_fold,primary,primary_bias_corrected,0.06483565088114773,0.06483565088183316,-6.85423939827956e-13,0.31343553331259505,0.3134355333231167
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,temperature_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.06827437550377526,0.06827437550415666,-3.814032423221647e-13,0.2976409428491578,0.29764094285269804
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,voltage_window_holdout_fold,primary,primary_bias_corrected,0.08140906419658339,0.08140906419581108,7.723127692926823e-13,0.32828738109708727,0.32828738109708727
L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,voltage_window_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.08675265259841065,0.08675265259752708,8.835709941479308e-13,0.3381634506888671,0.33816345068886716
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,c_rate_holdout_fold,primary,primary_bias_corrected,0.14745233908994057,0.1474523390897044,2.361721929133864e-13,0.257372002410076,0.2573720024087787
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,c_rate_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.12541353621601078,0.12541353621565213,3.586575481051568e-13,0.22379259866202578,0.22379259865981985
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,condition_fold,primary,primary_bias_corrected,0.06109161608993583,0.06123106012292314,-0.00013944403298730979,0.2848644305372829,0.2848644305372829
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,condition_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.05991553715813872,0.06006050248236526,-0.00014496532422653835,0.3000221162726698,0.3000221162726698
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,temperature_holdout_fold,primary,primary_bias_corrected,0.06137048908570336,0.06137048908636717,-6.63809285317285e-13,0.29354322549431633,0.29354322549431633
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,temperature_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.06472304006571522,0.06472304006643036,-7.151362835244868e-13,0.2912864397330017,0.2912864397330017
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,voltage_window_holdout_fold,primary,primary_bias_corrected,0.06245099440568108,0.06245099440603603,-3.5494523986656645e-13,0.3244342402970414,0.3244342402970414
L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,voltage_window_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.07340120605028866,0.07340120605003549,2.5317248297795913e-13,0.3570647377749947,0.3570647377749947
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,primary,primary_bias_corrected,0.10113277130259181,0.10113277130214215,4.496542027609962e-13,0.193505570859936,0.193505570859936
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.10052211375194971,0.10052211375187108,7.863154571907671e-14,0.16649660093158541,0.16649660093137744
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,primary,primary_bias_corrected,0.044644919626207015,0.044595407745266186,4.951188094082931e-05,0.18312179107343562,0.18312179107343562
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.046984927396475064,0.04692980158981439,5.5125806660671905e-05,0.19244805545008023,0.19366548907873052
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,primary,primary_bias_corrected,0.04857476766234761,0.04857476766233559,1.2025103135471227e-14,0.16868537789777535,0.1686853778956331
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.05519999870066669,0.055199998701062264,-3.955724636739433e-13,0.16409531815666922,0.16409531815314185
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,primary,primary_bias_corrected,0.07084470672683431,0.07084470672777743,-9.431205816312627e-13,0.2315662886975436,0.2315662886975436
L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.07947246586188239,0.07947246586099767,8.847228505359794e-13,0.2520737403140132,0.25207374031319624
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,c_rate_holdout_fold,primary,primary_bias_corrected,0.10251578832333012,0.10251578832114454,2.185585046277083e-12,0.21193834940315578,0.21193834939865785
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,c_rate_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.1089032652103799,0.10890326521069188,-3.119865477074768e-13,0.20816885544458505,0.20816885544512986
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,primary,primary_bias_corrected,0.04170028239886194,0.0417472785033162,-4.699610445425828e-05,0.1901932227892993,0.18995076345990408
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.04571657712822278,0.045704395839022395,1.2181289200385859e-05,0.23083744051912822,0.23085684437670817
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,temperature_holdout_fold,primary,primary_bias_corrected,0.048683704783932746,0.04868370478433141,-3.98660271461182e-13,0.14762688345553496,0.14762688345554723
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,temperature_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.05636650439803925,0.05636650439773107,3.0818403384813564e-13,0.17861220372332187,0.17861220372908737
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,voltage_window_holdout_fold,primary,primary_bias_corrected,0.12657196344726485,0.12657196344762492,-3.600730824615539e-13,0.22343841235845485,0.22343841235845485
L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,voltage_window_holdout_fold,sensitivity_excluding_monotonicity,sensitivity_excluding_monotonicity_bias_corrected,0.15737592961637142,0.15737592961806843,-1.6970036487151674e-12,0.32041346540567134,0.32041346541239696
