run_scope,model_level,feature_group,target,split_name,heldout_fold,worst_condition_mae,condition_mean_mae,condition_median_mae,test_parameter_sets
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.193505570859936,0.10113277130259181,0.08979647569805231,12
primary_bias_corrected,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.193505570859936,0.10113277130214215,0.08979647569710467,12
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.21193834940315578,0.10251578832333012,0.07764103216483734,12
primary_bias_corrected,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.21193834939865785,0.10251578832114454,0.07764103216183871,12
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,c_rate_holdout_fold,1,0.2365752948733748,0.14943589800373405,0.15363988381781568,12
primary_bias_corrected,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,c_rate_holdout_fold,1,0.2365752948769081,0.1494358980056449,0.15363988381958232,12
primary,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,c_rate_holdout_fold,1,0.2755153042492415,0.16264014634352023,0.1667349223059155,12
primary_bias_corrected,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,c_rate_holdout_fold,1,0.275515304247012,0.16264014634238477,0.16673492230554393,12
primary,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,c_rate_holdout_fold,1,0.257372002410076,0.14745233908994057,0.12718452763010485,12
primary_bias_corrected,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,c_rate_holdout_fold,1,0.2573720024087787,0.1474523390897044,0.12718452763010485,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.09655420082542654,0.03875221809042437,0.03524321148453827,16
primary_bias_corrected,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.09655420082542654,0.03857144271392297,0.03498704751386915,16
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,0,0.1901932227892993,0.04088863554975263,0.027596487703603546,16
primary_bias_corrected,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,0,0.18995076345990408,0.040730664920126454,0.027469305138576334,16
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,0,0.17939468125444616,0.04857348064300349,0.04561394347780612,16
primary_bias_corrected,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,0,0.17588494340993432,0.04837195111460197,0.046000400171046806,16
primary,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,0,0.14872668986086549,0.04915454593966934,0.050799725655645805,16
primary_bias_corrected,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,0,0.14792218312306085,0.04912428021281151,0.05117179939601295,16
primary,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,condition_fold,0,0.21613641814757883,0.055639195427204836,0.036903448493063484,16
primary_bias_corrected,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,condition_fold,0,0.2163382788930286,0.05562709893659582,0.03681509840646806,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,1,0.18312179107343562,0.042799950401701946,0.023219245620823056,15
primary_bias_corrected,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,1,0.18312179107343562,0.04273485550809944,0.021525017035911684,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,1,0.1379582379271618,0.03778654425497253,0.02180368512713403,15
primary_bias_corrected,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,1,0.1379582379271618,0.03768736851029597,0.020595168320428757,15
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,1,0.15758257708586118,0.045218921612762655,0.025358473611503295,15
primary_bias_corrected,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,1,0.15758257708282375,0.045915896636358984,0.031034839100763923,15
primary,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,1,0.18614994104924804,0.046397387367940114,0.023249859069769924,15
primary_bias_corrected,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,1,0.18614994105148294,0.04747552758022464,0.035521049646004166,15
primary,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,condition_fold,1,0.20866872426868477,0.053548510881525166,0.01848917486378546,15
primary_bias_corrected,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,condition_fold,1,0.20866872426812652,0.053911340584620784,0.0232642101819916,15
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,2,0.11771900013221459,0.0331936997650011,0.026183212321047214,15
primary_bias_corrected,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,2,0.11771900013751257,0.03359166320734539,0.026879019106441766,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,2,0.08825716991140387,0.0326792774245017,0.02637705202122708,15
primary_bias_corrected,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,2,0.08825716991602957,0.03335224188420346,0.037718778342194725,15
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,2,0.16271125557114705,0.05116111869657849,0.01729181644802383,15
