grouping,group_value,row_count,parameter_set_count,total_intervals,mean_best_model_error,mean_persistence_error,mean_error_improvement_vs_persistence,max_best_model_error
temperature,0,3,3,19,0.12868860304512544,0.3961885185185185,0.2674999154733931,0.193505570859936
temperature,10,3,3,27,0.11701301576868933,0.4742121666666667,0.35719915089797744,0.1409193254875654
temperature,25,3,3,44,0.07151982810863353,0.24385089761904763,0.1723310695104141,0.09652645435327967
temperature,40,3,3,67,0.08730963828791895,0.22516440300269905,0.13785476471478011,0.1284056043481307
voltage_window_family,approx_0_100,4,4,31,0.12748858889237102,0.43965016025641024,0.3121615713640392,0.193505570859936
voltage_window_family,approx_10_100,4,4,36,0.11717799680967818,0.3478285020833333,0.23065050527365516,0.1409193254875654
voltage_window_family,approx_10_90,4,4,90,0.05873172820572622,0.2170833270154553,0.1583515988097291,0.07326388850505909
target,delta_capacity_Ah,12,12,157,0.10113277130259181,0.33485399645173297,0.23372122514914118,0.193505570859936
parameter_set,20,1,1,6,0.193505570859936,0.48400216666666673,0.2904965958067307,0.193505570859936
parameter_set,24,1,1,4,0.14044288099486807,0.4024384999999999,0.26199561900513185,0.14044288099486807
parameter_set,28,1,1,9,0.052117357280572235,0.3021248888888889,0.2500075316083167,0.052117357280572235
parameter_set,32,1,1,6,0.1368558333134435,0.5564216666666667,0.41956583335322317,0.1368558333134435
parameter_set,36,1,1,6,0.1409193254875654,0.5571718333333334,0.41625250784576806,0.1409193254875654
parameter_set,40,1,1,15,0.07326388850505909,0.309043,0.2357791114949409,0.07326388850505909
parameter_set,44,1,1,6,0.09652645435327967,0.4149285,0.3184020456467203,0.09652645435327967
parameter_set,48,1,1,10,0.058944176408148564,0.16491580000000003,0.10597162359185147,0.058944176408148564
parameter_set,52,1,1,28,0.059088853564472354,0.15170839285714285,0.0926195392926705,0.059088853564472354
parameter_set,56,1,1,13,0.08306649704282495,0.30324830769230765,0.2201818106494827,0.08306649704282495
parameter_set,60,1,1,16,0.1284056043481307,0.266787875,0.1383822706518693,0.1284056043481307
parameter_set,64,1,1,38,0.05045681347280119,0.10545702631578949,0.0550002128429883,0.05045681347280119
interval_count_bucket,11-20,3,3,44,0.0949119966320049,0.2930263942307692,0.19811439759876429,0.1284056043481307
interval_count_bucket,6-10,6,6,43,0.11314478628382423,0.4132608092592593,0.3001160229754351,0.193505570859936
interval_count_bucket,<=5,1,1,4,0.14044288099486807,0.4024384999999999,0.26199561900513185,0.14044288099486807
interval_count_bucket,>20,2,2,66,0.05477283351863677,0.12858270958646617,0.0738098760678294,0.059088853564472354
capacity_Ah_k_range,2.4-2.6,1,1,9,0.052117357280572235,0.3021248888888889,0.2500075316083167,0.052117357280572235
capacity_Ah_k_range,2.6-2.8,5,5,39,0.12256299172384422,0.3822052882051282,0.259642296481284,0.193505570859936
capacity_Ah_k_range,<2.4,4,4,97,0.07780378997261583,0.20824907354323308,0.13044528357061724,0.1284056043481307
capacity_Ah_k_range,>=2.8,2,2,12,0.11872288992042253,0.48605016666666667,0.3673272767462442,0.1409193254875654
delta_capacity_Ah_range,-0.4--0.2,5,5,100,0.05877421784621069,0.20664982161236428,0.14787560376615355,0.07326388850505909
delta_capacity_Ah_range,-0.6--0.4,7,7,57,0.13138888091429263,0.42642840705128204,0.29503952613698947,0.193505570859936
