run_scope,model_level,feature_group,target,split_name,heldout_fold,worst_condition_mae,condition_mean_mae,condition_median_mae,test_parameter_sets
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.193505570859936,0.10113277130259181,0.08979647569805231,12
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.21193834940315578,0.10251578832333012,0.07764103216483734,12
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,c_rate_holdout_fold,1,0.2365752948733748,0.14943589800373405,0.15363988381781568,12
primary,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,c_rate_holdout_fold,1,0.2755153042492415,0.16264014634352023,0.1667349223059155,12
primary,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,c_rate_holdout_fold,1,0.257372002410076,0.14745233908994057,0.12718452763010485,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.09655420082542654,0.03875221809042437,0.03524321148453827,16
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,0,0.1901932227892993,0.04088863554975263,0.027596487703603546,16
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,0,0.17939468125444616,0.04857348064300349,0.04561394347780612,16
primary,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,condition_fold,0,0.14872668986086549,0.04915454593966934,0.050799725655645805,16
primary,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,condition_fold,0,0.21613641814757883,0.055639195427204836,0.036903448493063484,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,1,0.18312179107343562,0.042799950401701946,0.023219245620823056,15
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,condition_fold,1,0.1379582379271618,0.03778654425497253,0.02180368512713403,15
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,condition_fold,1,0.15758257708586118,0.045218921612762655,0.025358473611503295,15
