run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,q10_q90_interval_coverage,q10_q90_interval_width_mean,pinball_loss_q10,pinball_loss_q50,pinball_loss_q90,test_rows,test_parameter_sets
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_Ah,c_rate_holdout_fold,1,0.12111337027387402,0.19135379033828928,0.14943589800373405,0.15363988381781568,0.2365752948733748,,,,,,157,12
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_per_day_target,c_rate_holdout_fold,1,0.12706250834259772,0.20274257536935078,0.16457448321894874,0.17307246499778395,0.2926418569289998,,,,,,157,12
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,delta_capacity_per_efc_target,c_rate_holdout_fold,1,0.22853597380751176,0.6022574582023794,0.24116564437648536,0.19956618368131446,0.6147276501077258,,,,,,157,12
primary,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_Ah,c_rate_holdout_fold,1,0.12690012428420208,0.19314806507357954,0.16264014634352023,0.1667349223059155,0.2755153042492415,,,,,,157,12
primary,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_per_day_target,c_rate_holdout_fold,1,0.12195612055057656,0.19845828248156058,0.16475410873474167,0.15696182576654655,0.31056259710775924,,,,,,157,12
primary,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,delta_capacity_per_efc_target,c_rate_holdout_fold,1,0.22531080823142213,0.6021996028506665,0.2387385496684895,0.22119005751873094,0.6140937896627369,,,,,,157,12
primary,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_Ah,c_rate_holdout_fold,1,0.12026113927618795,0.1812268481233665,0.14745233908994057,0.12718452763010485,0.257372002410076,,,,,,157,12
primary,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_per_day_target,c_rate_holdout_fold,1,0.12470025756052591,0.19246893298073264,0.1558541374405085,0.1436738833722355,0.28763760572130226,,,,,,157,12
primary,L2_hist_gradient_boosting,F13_sparse_c_rate_context,delta_capacity_per_efc_target,c_rate_holdout_fold,1,0.4698375593668537,0.7802824959629249,0.5835367620073731,0.5172908693576976,1.268337521782381,,,,,,157,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.08173421578436833,0.12616470780674297,0.10113277130259181,0.08979647569805231,0.193505570859936,,,,,,157,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_per_day_target,c_rate_holdout_fold,1,0.10071580902187305,0.17775610053532956,0.13238399121809843,0.11529727721896499,0.3379984083414586,,,,,,157,12
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_per_efc_target,c_rate_holdout_fold,1,0.30773947258841033,0.6470594419348884,0.4339322030142802,0.29436354884284655,1.2820788840834636,,,,,,157,12
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_Ah,c_rate_holdout_fold,1,0.07625761784761585,0.12285078545765196,0.10251578832333012,0.07764103216483734,0.21193834940315578,,,,,,157,12
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_per_day_target,c_rate_holdout_fold,1,0.08614753187877473,0.13474205856651128,0.12127104644413574,0.11680998045326366,0.23655844460746467,,,,,,157,12
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,delta_capacity_per_efc_target,c_rate_holdout_fold,1,0.2811137483128539,0.4505550121757221,0.38320912722989964,0.2676266736132106,0.8092030255777933,,,,,,157,12
