grouping,group_value,row_count,parameter_set_count,total_intervals,mean_best_model_error,mean_persistence_error,mean_error_improvement_vs_persistence,max_best_model_error
temperature,0,9,3,57,0.19112718335917486,,,0.6140937896627369
temperature,10,9,3,81,0.17748335409031962,,,0.3334937875613399
temperature,25,9,3,132,0.1109323290705678,,,0.34696861141421326
temperature,40,9,3,201,0.1353136233668938,,,0.3036305889597462
voltage_window_family,approx_0_100,12,4,93,0.17847223429209025,,,0.3124043566342965
voltage_window_family,approx_10_100,12,4,108,0.18311096233077126,,,0.6140937896627369
voltage_window_family,approx_10_90,12,4,270,0.09955917079235553,,,0.34696861141421326
target,delta_capacity_Ah,12,12,157,0.10113277130259181,,,0.193505570859936
target,delta_capacity_per_day_target,12,12,157,0.12127104644413574,,,0.23655844460746467
target,delta_capacity_per_efc_target,12,12,157,0.2387385496684895,,,0.6140937896627369
parameter_set,20,3,1,18,0.1856801848766594,,,0.24553513482868694
parameter_set,24,3,1,12,0.32825594619964704,,,0.6140937896627369
parameter_set,28,3,1,27,0.059445419001218115,,,0.06561669444464407
parameter_set,32,3,1,18,0.22860621151840155,,,0.3124043566342965
parameter_set,36,3,1,18,0.2102105900531673,,,0.3334937875613399
parameter_set,40,3,1,45,0.09363326069939,,,0.12312219552773293
parameter_set,44,3,1,18,0.12487040492464524,,,0.20410121460159045
parameter_set,48,3,1,30,0.0541120482941857,,,0.07359883294568445
parameter_set,52,3,1,84,0.15381453399287245,,,0.34696861141421326
parameter_set,56,3,1,39,0.17473213584865485,,,0.3036305889597462
parameter_set,60,3,1,48,0.13986526477608496,,,0.17557007801495222
parameter_set,64,3,1,114,0.0913434694759415,,,0.19684498020877497
interval_count_bucket,11-20,9,3,132,0.13607688710804325,,,0.3036305889597462
interval_count_bucket,6-10,18,6,129,0.14382080977804623,,,0.3334937875613399
interval_count_bucket,<=5,3,1,12,0.32825594619964704,,,0.6140937896627369
interval_count_bucket,>20,6,2,198,0.12257900173440699,,,0.34696861141421326
capacity_Ah_k_range,2.4-2.6,3,1,27,0.059445419001218115,,,0.06561669444464407
capacity_Ah_k_range,2.6-2.8,15,5,117,0.1942773053475097,,,0.6140937896627369
capacity_Ah_k_range,<2.4,12,4,291,0.11966413223607224,,,0.34696861141421326
capacity_Ah_k_range,>=2.8,6,2,36,0.1675404974889063,,,0.3334937875613399
delta_capacity_Ah_range,-0.4--0.2,15,5,300,0.09046974629272156,,,0.34696861141421326
delta_capacity_Ah_range,-0.6--0.4,21,7,171,0.1988886768853229,,,0.6140937896627369
