run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.14943589800373405,0.16264014634352023,-0.013204248339786173,0.2365752948733748,0.2755153042492415,-0.03894000937586667
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.16264014634352023,0.14745233908994057,0.015187807253579655,0.2755153042492415,0.257372002410076,0.01814330183916546
primary,L2_hist_gradient_boosting,delta_capacity_per_day_target,c_rate_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.16457448321894874,0.16475410873474167,-0.00017962551579292496,0.2926418569289998,0.31056259710775924,-0.017920740178759442
primary,L2_hist_gradient_boosting,delta_capacity_per_day_target,c_rate_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.16475410873474167,0.1558541374405085,0.008899971294233172,0.31056259710775924,0.28763760572130226,0.022924991386456983
primary,L2_hist_gradient_boosting,delta_capacity_per_efc_target,c_rate_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.24116564437648536,0.2387385496684895,0.002427094707995847,0.6147276501077258,0.6140937896627369,0.0006338604449889207
primary,L2_hist_gradient_boosting,delta_capacity_per_efc_target,c_rate_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.2387385496684895,0.5835367620073731,-0.34479821233888364,0.6140937896627369,1.268337521782381,-0.654243732119644
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.14255465756071545,0.14486552308873227,-0.00231086552801682,0.23602988026247268,0.2467749459012188,-0.01074506563874611
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.14486552308873227,0.12541353621601078,0.019451986872721483,0.2467749459012188,0.22379259866202578,0.022982347239193013
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_per_day_target,c_rate_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.17143543395059244,0.16810802026225022,0.003327413688342218,0.277234141949774,0.3254938151961536,-0.048259673246379586
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_per_day_target,c_rate_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.16810802026225022,0.1601146973062852,0.007993322955965027,0.3254938151961536,0.3854903291324362,-0.05999651393628258
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_per_efc_target,c_rate_holdout_fold,F11_minimal_cold_current,F12_voltage_cold_current_interactions,0.33772336603558717,0.35648136864556773,-0.018758002609980562,0.7399920588785931,0.7635727171342566,-0.023580658255663467
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,delta_capacity_per_efc_target,c_rate_holdout_fold,F12_voltage_cold_current_interactions,F13_sparse_c_rate_context,0.35648136864556773,0.365723095199465,-0.009241726553897267,0.7635727171342566,0.8643343156056174,-0.10076159847136079
