run_scope,model_level,feature_group,split_name,direct_delta_condition_mean_mae,rate_target,rate_target_condition_mean_mae,rate_minus_direct_condition_mean_mae,rate_target_better
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,c_rate_holdout_fold,0.14943589800373405,delta_capacity_per_day_target,0.16457448321894874,0.01513858521521469,False
primary,L2_hist_gradient_boosting,F11_minimal_cold_current,c_rate_holdout_fold,0.14943589800373405,delta_capacity_per_efc_target,0.24116564437648536,0.0917297463727513,False
primary,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,c_rate_holdout_fold,0.16264014634352023,delta_capacity_per_day_target,0.16475410873474167,0.002113962391221441,False
primary,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,c_rate_holdout_fold,0.16264014634352023,delta_capacity_per_efc_target,0.2387385496684895,0.07609840332496928,False
primary,L2_hist_gradient_boosting,F13_sparse_c_rate_context,c_rate_holdout_fold,0.14745233908994057,delta_capacity_per_day_target,0.1558541374405085,0.008401798350567924,False
primary,L2_hist_gradient_boosting,F13_sparse_c_rate_context,c_rate_holdout_fold,0.14745233908994057,delta_capacity_per_efc_target,0.5835367620073731,0.43608442291743255,False
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,c_rate_holdout_fold,0.10113277130259181,delta_capacity_per_day_target,0.13238399121809843,0.031251219915506626,False
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,c_rate_holdout_fold,0.10113277130259181,delta_capacity_per_efc_target,0.4339322030142802,0.3327994317116884,False
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,c_rate_holdout_fold,0.10251578832333012,delta_capacity_per_day_target,0.12127104644413574,0.018755258120805612,False
primary,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,c_rate_holdout_fold,0.10251578832333012,delta_capacity_per_efc_target,0.38320912722989964,0.2806933389065695,False
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,F11_minimal_cold_current,c_rate_holdout_fold,0.14255465756071545,delta_capacity_per_day_target,0.17143543395059244,0.02888077638987699,False
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,F11_minimal_cold_current,c_rate_holdout_fold,0.14255465756071545,delta_capacity_per_efc_target,0.33772336603558717,0.19516870847487172,False
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,c_rate_holdout_fold,0.14486552308873227,delta_capacity_per_day_target,0.16810802026225022,0.02324249717351795,False
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,F12_voltage_cold_current_interactions,c_rate_holdout_fold,0.14486552308873227,delta_capacity_per_efc_target,0.35648136864556773,0.21161584555683546,False
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,F13_sparse_c_rate_context,c_rate_holdout_fold,0.12541353621601078,delta_capacity_per_day_target,0.1601146973062852,0.03470116109027441,False
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,F13_sparse_c_rate_context,c_rate_holdout_fold,0.12541353621601078,delta_capacity_per_efc_target,0.365723095199465,0.2403095589834542,False
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,F4_state_log_age_scalar,c_rate_holdout_fold,0.10052211375194971,delta_capacity_per_day_target,0.13508153937115577,0.034559425619206066,False
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,F4_state_log_age_scalar,c_rate_holdout_fold,0.10052211375194971,delta_capacity_per_efc_target,0.33138718123612115,0.23086506748417146,False
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,c_rate_holdout_fold,0.1089032652103799,delta_capacity_per_day_target,0.1452276575470917,0.036324392336711794,False
sensitivity_excluding_monotonicity,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,c_rate_holdout_fold,0.1089032652103799,delta_capacity_per_efc_target,0.3276370172462209,0.218733752035841,False
