target,split_name,best_model_level,best_feature_group,best_condition_mean_mae,best_worst_condition_mae,worst_parameter_set,worst_parameter_set_mae,l0_condition_mean_mae,condition_mean_mae_improvement_vs_l0
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.12518636786777063,0.2764345999580851,36,0.2764345999580851,,
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.05392666527617392,0.2588867309972366,23,0.2588867309972366,,
capacity_Ah_k1,profile_holdout_fold,L2_hist_gradient_boosting,F1_state_time,0.06219213938855079,0.13545936324349583,70,0.13545936324349583,,
capacity_Ah_k1,temperature_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.06929389733378725,0.2782085808786395,23,0.2782085808786395,,
capacity_Ah_k1,voltage_window_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.08441287861354206,0.3603624225203877,36,0.3603624225203877,,
delta_capacity_Ah,c_rate_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.10113277130259181,0.193505570859936,20,0.193505570859936,,
delta_capacity_Ah,condition_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.044644919626207015,0.18312179107343562,20,0.18312179107343562,,
delta_capacity_Ah,profile_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,0.0650826641509208,0.17430907284748218,67,0.17430907284748218,,
delta_capacity_Ah,temperature_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.04857476766234761,0.16868537789777535,67,0.16868537789777535,,
delta_capacity_Ah,voltage_window_holdout_fold,L3_quantile_hist_gradient_boosting,F1_state_time,0.06851198014348868,0.42694303598665995,32,0.42694303598665995,,
