run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F1_state_time,F2_state_exposure,0.17537887078150827,0.15775702015989046,0.017621850621617807,0.37740056985348036,0.33337699803296356,0.044023571820516805
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F2_state_exposure,F3_state_nominal,0.15775702015989046,0.14267590930052018,0.015081110859370278,0.33337699803296356,0.3083325294492451,0.02504446858371845
primary,L2_hist_gradient_boosting,capacity_Ah_k1,c_rate_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.14267590930052018,0.12518636786777063,0.017489541432749556,0.3083325294492451,0.2764345999580851,0.03189792949115999
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F1_state_time,F2_state_exposure,0.06619406701938871,0.06480584703522926,0.0013882199841594445,0.35401426642213435,0.31697521916394716,0.037039047258187185
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F2_state_exposure,F3_state_nominal,0.06480584703522926,0.058884071437993325,0.0059217755972359384,0.31697521916394716,0.2999985501688513,0.016976668995095867
primary,L2_hist_gradient_boosting,capacity_Ah_k1,condition_fold,F3_state_nominal,F4_state_log_age_scalar,0.058884071437993325,0.05392666527617392,0.004957406161819403,0.2999985501688513,0.2588867309972366,0.041111819171614716
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,F1_state_time,F2_state_exposure,0.06219213938855079,0.0776565246064758,-0.015464385217925015,0.13545936324349583,0.14105553168830898,-0.005596168444813143
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,F2_state_exposure,F3_state_nominal,0.0776565246064758,0.06644186098184054,0.01121466362463526,0.14105553168830898,0.1580103438088215,-0.01695481212051253
primary,L2_hist_gradient_boosting,capacity_Ah_k1,profile_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.06644186098184054,0.08436802390070613,-0.01792616291886559,0.1580103438088215,0.17718560597321364,-0.019175262164392137
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F1_state_time,F2_state_exposure,0.07975317067032925,0.07872216947875957,0.0010310011915696804,0.3440093014744156,0.3462002804824456,-0.002190979008030003
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F2_state_exposure,F3_state_nominal,0.07872216947875957,0.07170671270242643,0.00701545677633314,0.3462002804824456,0.3182386216423407,0.02796165884010493
primary,L2_hist_gradient_boosting,capacity_Ah_k1,temperature_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.07170671270242643,0.06929389733378725,0.0024128153686391735,0.3182386216423407,0.2782085808786395,0.0400300407637012
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F1_state_time,F2_state_exposure,0.0992474365313142,0.09006994509636024,0.009177491434953958,0.39871326647119054,0.3662957305808392,0.032417535890351346
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F2_state_exposure,F3_state_nominal,0.09006994509636024,0.10213032656830191,-0.012060381471941675,0.3662957305808392,0.387563884770157,-0.021268154189317823
primary,L2_hist_gradient_boosting,capacity_Ah_k1,voltage_window_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.10213032656830191,0.08441287861354206,0.017717447954759852,0.387563884770157,0.3603624225203877,0.027201462249769326
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F1_state_time,F2_state_exposure,0.16743206459603113,0.15389466565639037,0.01353739893964076,0.4235905869056001,0.3676817242162314,0.05590886268936868
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F2_state_exposure,F3_state_nominal,0.15389466565639037,0.1407785330676917,0.013116132588698676,0.3676817242162314,0.2026889873578226,0.16499273685840882
primary,L2_hist_gradient_boosting,delta_capacity_Ah,c_rate_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.1407785330676917,0.10113277130259181,0.03964576176509989,0.2026889873578226,0.193505570859936,0.009183416497886593
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F1_state_time,F2_state_exposure,0.06475348813382095,0.061090738881867925,0.0036627492519530278,0.3808866147733853,0.31407618998403136,0.06681042478935395
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F2_state_exposure,F3_state_nominal,0.061090738881867925,0.057879711308457725,0.0032110275734101995,0.31407618998403136,0.23058788065845467,0.08348830932557669
primary,L2_hist_gradient_boosting,delta_capacity_Ah,condition_fold,F3_state_nominal,F4_state_log_age_scalar,0.057879711308457725,0.044644919626207015,0.01323479168225071,0.23058788065845467,0.18312179107343562,0.04746608958501905
primary,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,F1_state_time,F2_state_exposure,0.06590311598026138,0.10419015006530961,-0.03828703408504823,0.13594522362540945,0.1513652847113749,-0.015420061085965442
primary,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,F2_state_exposure,F3_state_nominal,0.10419015006530961,0.07389967545399152,0.03029047461131809,0.1513652847113749,0.163117940750562,-0.011752656039187098
primary,L2_hist_gradient_boosting,delta_capacity_Ah,profile_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.07389967545399152,0.10915767923739267,-0.035258003783401146,0.163117940750562,0.17749020768298213,-0.014372266932420136
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F1_state_time,F2_state_exposure,0.07622958492155693,0.07078194168612735,0.005447643235429581,0.3536118288790326,0.319260838906343,0.034350989972689594
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F2_state_exposure,F3_state_nominal,0.07078194168612735,0.06777243264243474,0.0030095090436926125,0.319260838906343,0.33485478162618065,-0.015593942719837661
primary,L2_hist_gradient_boosting,delta_capacity_Ah,temperature_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.06777243264243474,0.04857476766234761,0.019197664980087126,0.33485478162618065,0.16868537789777535,0.1661694037284053
