model_level,feature_group,target,split_name,heldout_fold,primary_mae,sensitivity_mae,primary_minus_sensitivity_mae,primary_condition_mean_mae,sensitivity_condition_mean_mae,primary_minus_sensitivity_condition_mean_mae
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,c_rate_holdout_fold,1,0.12264578030959815,0.13300719218572934,-0.010361411876131196,0.17537887078150827,0.17976927849733793,-0.004390407715829658
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,0,0.04039352610418403,0.04206056567839237,-0.0016670395742083427,0.06367759585343692,0.06779823076029529,-0.004120634906858364
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,1,0.02679048517122434,0.02709412093080731,-0.00030363575958296946,0.052452556714452515,0.05163711030455965,0.0008154464098928671
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,2,0.025355202573613456,0.02681524933171783,-0.001460046758104374,0.051851958174854246,0.05492047694153549,-0.0030685187666812455
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,3,0.0535904094934977,0.05779480508882032,-0.004204395595322617,0.09650592187579438,0.10016605434804467,-0.003660132472250291
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,4,0.028172542538493318,0.031096619884907122,-0.0029240773464138045,0.06648230247840552,0.06703322523462332,-0.000550922756217806
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,profile_holdout_fold,1,0.048410470888720074,0.047694625868474796,0.0007158450202452774,0.06219213938855079,0.06459174477835451,-0.002399605389803723
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,temperature_holdout_fold,1,0.03976724446436511,0.04547926454520655,-0.005712020080841443,0.09424401154044407,0.09906674578215753,-0.004822734241713464
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,temperature_holdout_fold,2,0.03869080807290152,0.0411093692350908,-0.0024185611621892825,0.06526232980021443,0.07118429106514192,-0.005921961264927486
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,voltage_window_holdout_fold,1,0.09969078342771347,0.09802319000121366,0.0016675934264998027,0.1406827568956856,0.13099968303230797,0.009683073863377634
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,voltage_window_holdout_fold,2,0.0436817689823957,0.043616248688712535,6.552029368316753e-05,0.08490345067783872,0.08566597726058989,-0.0007625265827511662
L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,voltage_window_holdout_fold,3,0.07253874363074472,0.07318656613945135,-0.0006478225087066247,0.07215610202041828,0.07363958967621012,-0.001483487655791843
L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,c_rate_holdout_fold,1,0.11596877398552866,0.12141131029045978,-0.00544253630493112,0.16743206459603113,0.15733143590181517,0.010100628694215963
L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,condition_fold,0,0.039763990968274814,0.04313206499387031,-0.0033680740255954966,0.06393927834054466,0.0722593145596825,-0.008320036219137836
L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,condition_fold,1,0.024645764868683098,0.024866423634154637,-0.0002206587654715389,0.04886545101386142,0.04428909738251942,0.004576353631342005
