run_scope,model_level,feature_group,target,split_name,heldout_fold,worst_condition_mae,condition_mean_mae,condition_median_mae,test_parameter_sets
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,0,0.14998802525920504,0.06367759585343692,0.05605476486432834,16
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,condition_fold,0,0.14866804515620458,0.06393927834054466,0.052635955048346804,16
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,condition_fold,0,0.15615229353984347,0.059404150544723776,0.04905261021160197,16
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,condition_fold,0,0.15861661213999959,0.06025968992354716,0.040520220660564335,16
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,0,0.1158881021326147,0.04969181424059862,0.04927936921901126,16
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,0,0.12266524034991641,0.050356633954495626,0.04955479929619551,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,0.10158600719528497,0.049542362568819345,0.04718412255773119,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.09655420082542654,0.03875221809042437,0.03524321148453827,16
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,0,0.2034758921101475,0.057098688197740784,0.03994228588483617,16
primary,L3_quantile_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,condition_fold,0,0.1958079035970022,0.052119239146007475,0.0348350442964841,16
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,condition_fold,0,0.2178795015351359,0.05604041598972183,0.042505377155895044,16
primary,L3_quantile_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,condition_fold,0,0.18721614996822541,0.05006068699338376,0.03414888144723984,16
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,0,0.1959463527134182,0.052695934739433965,0.03428224612569526,16
primary,L3_quantile_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,0,0.15119994000333078,0.048227948786572,0.03789385919070986,16
primary,L3_quantile_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,0.1660722514276639,0.04939575572309951,0.035994727645417876,16
