comparison_id,run_scope,candidate_model_level,reference_model_level,feature_group,target,split_name,reference_condition_mean_mae,candidate_condition_mean_mae,condition_mean_mae_gain,relative_degradation,candidate_q10_q90_coverage,candidate_q10_q90_width
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,0.34378030360613,0.34379616377094085,-1.586016481086583e-05,4.613459422921699e-05,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,0.12518636786777063,0.12482586816186868,0.00036049970590194824,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,0.12518636786777063,0.12482586816186868,0.00036049970590194824,0.0,0.5987261146496815,0.11584730000000042
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0.07822447316765377,0.07729649858941837,0.0009279745782354021,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0.05392666527617392,0.053863304935388934,6.336034078498892e-05,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0.05392666527617392,0.053863304935388934,6.336034078498892e-05,0.0,0.8732157473763209,0.12668122000000012
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,0.35163524217827047,0.3516246698920625,1.0572286207988224e-05,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,0.08436802390070613,0.0842173641960768,0.00015065970462933842,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,0.08436802390070613,0.0842173641960768,0.00015065970462933842,0.0,0.6117021276595744,0.1282945
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,0.13338504459541128,0.1330006214679384,0.0003844231274728882,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,0.06929389733378725,0.06910921431042408,0.00018468302336317743,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,0.06929389733378725,0.06910921431042408,0.00018468302336317743,0.0,0.8386118598382749,0.11529794999999998
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,0.13522878771493013,0.1349505792353767,0.00027820847955342676,0.0,,
