run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,q10_q90_interval_coverage,q10_q90_interval_width_mean,pinball_loss_q10,pinball_loss_q50,pinball_loss_q90,test_rows,test_parameter_sets
primary,H0_global_train_mean,global_mean,capacity_Ah_k1,c_rate_holdout_fold,1,0.3318018325274649,0.4506139579312551,0.32518507752787973,0.33299413816984574,0.4842492890463215,,,,,,157,12
primary,H0_global_train_mean,global_mean,capacity_Ah_k1,condition_fold,5,0.24674702257939107,0.31872056230620815,0.27396532086480085,0.2778144976729316,0.5529402599758891,,,,,,3827,76
primary,H0_global_train_mean,global_mean,capacity_Ah_k1,profile_holdout_fold,1,0.25147676968950006,0.33578479788619375,0.2834181619245596,0.27841757298887826,0.558545345300813,,,,,,752,12
primary,H0_global_train_mean,global_mean,capacity_Ah_k1,temperature_holdout_fold,2,0.249112699413443,0.31981048349292784,0.2756153575030539,0.2739631470711785,0.5500396053808753,,,,,,1802,38
primary,H0_global_train_mean,global_mean,capacity_Ah_k1,voltage_window_holdout_fold,3,0.2993949984451078,0.37010440935089356,0.32037379230834695,0.3214266684314598,0.5662123635150168,,,,,,3827,76
primary,H0_global_train_mean,global_mean,delta_capacity_Ah,c_rate_holdout_fold,1,0.1996475980631389,0.3015127753897517,0.28426336141745107,0.25495652360092225,0.5059827030881018,,,,,,157,12
primary,H0_global_train_mean,global_mean,delta_capacity_Ah,condition_fold,5,0.06311076112844634,0.11419908245653079,0.11782033610452738,0.0759873624720075,0.5035925159734781,,,,,,3827,76
primary,H0_global_train_mean,global_mean,delta_capacity_Ah,profile_holdout_fold,1,0.05616073699489708,0.1022250753172915,0.08104920569484055,0.05485583185517733,0.2915388770731707,,,,,,752,12
primary,H0_global_train_mean,global_mean,delta_capacity_Ah,temperature_holdout_fold,2,0.06523591871838338,0.12909153615431748,0.12528208665168108,0.07067229978228284,0.441645836358725,,,,,,1802,38
primary,H0_global_train_mean,global_mean,delta_capacity_Ah,voltage_window_holdout_fold,3,0.06785805326855676,0.11507197261883884,0.11715247054009331,0.07738687953817142,0.5102712413137894,,,,,,3827,76
primary,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.35708173182685987,0.3970276180799993,0.34378030360613,0.3740615277140612,0.4865321189286631,,,,,,157,12
primary,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,5,0.04493946786837425,0.08517052192890968,0.07822447316765377,0.060181070342115214,0.29879310931275505,,,,,,3827,76
primary,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,1,0.3081467510344086,0.3293726562816448,0.35163524217827047,0.27614527595982064,0.6508320669283774,,,,,,752,12
primary,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.10241449750323765,0.1323459508718377,0.13338504459541128,0.10918095945760722,0.29726865412938264,,,,,,1802,38
primary,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,3,0.12318695594370545,0.16068654483108477,0.13522878771493013,0.12195681548741555,0.6545400640007218,,,,,,3827,76
primary,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.3563784323741585,0.39670855085705187,0.34247677959954875,0.37419979426330485,0.48426990727952407,,,,,,157,12
primary,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,5,0.04492621286598043,0.08519406623162354,0.07821549678359259,0.06009741835704975,0.2988801556670517,,,,,,3827,76
primary,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,1,0.30762187693521453,0.3288495196983102,0.3510764439894509,0.2756584997573473,0.6496135163519909,,,,,,752,12
primary,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,2,0.09913607088666027,0.1295016772659838,0.13039805119250397,0.10659552617079657,0.2974133109408022,,,,,,1802,38
primary,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,3,0.12315508981723443,0.160885778585373,0.1353345814753925,0.12180355374444866,0.6530750705396834,,,,,,3827,76
primary,H2_partial_pooling_ridge,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.35709301101947766,0.39704733398660397,0.34379616377094085,0.37418882760983896,0.48666317667680153,,,,,,157,12
primary,H2_partial_pooling_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,5,0.044560169610341205,0.08447388566184373,0.07729649858941837,0.06148631869923862,0.29879310931275505,,,,,,3827,76
primary,H2_partial_pooling_ridge,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,1,0.3081199185571817,0.32935636359431353,0.3516246698920625,0.27599699265359456,0.6513613042249681,,,,,,752,12
primary,H2_partial_pooling_ridge,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.10284021197770041,0.13247822986787972,0.1330006214679384,0.10918938025692654,0.29726865412938264,,,,,,1802,38
primary,H2_partial_pooling_ridge,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,3,0.12341475772544368,0.16020303698068836,0.1349505792353767,0.12313318292960629,0.6550922873660496,,,,,,3827,76
primary,H2_partial_pooling_ridge,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.3563939159008609,0.3967284190010107,0.34250189074158716,0.37432718493466555,0.48440338181471176,,,,,,157,12
primary,H2_partial_pooling_ridge,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,5,0.044547582900879255,0.08450036161477892,0.07728991528301019,0.06140145255082526,0.2988801556670517,,,,,,3827,76
primary,H2_partial_pooling_ridge,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,1,0.30759443067770104,0.32883251468021135,0.3510651516387237,0.2755049245943982,0.6501410158833824,,,,,,752,12
primary,H2_partial_pooling_ridge,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,2,0.09955739487288429,0.12962683566855457,0.13000346829873943,0.10660390493602093,0.2974133109408022,,,,,,1802,38
primary,H2_partial_pooling_ridge,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,3,0.12338651811109196,0.1604078508510923,0.13506208374091608,0.12322480823031672,0.6536234133555929,,,,,,3827,76
primary,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.09184040307093654,0.15916538230897417,0.12518636786777063,0.11979160891693752,0.2764345999580851,,,,,,157,12
primary,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,5,0.030995424062215438,0.07218590001186348,0.05392666527617392,0.04475224925416543,0.2588867309972366,,,,,,3827,76
primary,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,1,0.07006006630902376,0.10819020685237836,0.08436802390070613,0.07367608976551171,0.17718560597321364,,,,,,752,12
primary,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.03871997782735417,0.09228357738144016,0.06929389733378725,0.05925269097387954,0.2782085808786395,,,,,,1802,38
primary,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,3,0.06239438477866092,0.09793486716838541,0.08441287861354206,0.07963764587076089,0.3603624225203877,,,,,,3827,76
primary,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.08173421578436833,0.12616470780674297,0.10113277130259181,0.08979647569805231,0.193505570859936,,,,,,157,12
primary,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,5,0.026415232316391646,0.06338160048814606,0.044644919626207015,0.037842726786889436,0.18312179107343562,,,,,,3827,76
primary,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,1,0.10086052487805526,0.13749674052456434,0.10915767923739267,0.10635580708256355,0.17749020768298213,,,,,,752,12
primary,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,2,0.02841401828990739,0.0775029685431727,0.04857476766234761,0.04784279126059907,0.16868537789777535,,,,,,1802,38
primary,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,3,0.05918880560915315,0.0807328445305194,0.07084470672683431,0.061544839778507214,0.2315662886975436,,,,,,3827,76
primary,H4_hgb_residual_partial_pooling,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,0.09164480795079806,0.15884006430560627,0.12482586816186868,0.1197914555919737,0.27477410124388385,,,,,,157,12
primary,H4_hgb_residual_partial_pooling,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,5,0.030955864688517947,0.07216492379538969,0.053863304935388934,0.044903133981050565,0.2573754846593449,,,,,,3827,76
primary,H4_hgb_residual_partial_pooling,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,1,0.06985397883464105,0.10807306866675014,0.0842173641960768,0.07366004895807166,0.17726484638281312,,,,,,752,12
primary,H4_hgb_residual_partial_pooling,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,2,0.03869068890280425,0.09229367417918227,0.06910921431042408,0.0591923017100954,0.2757579601000549,,,,,,1802,38
primary,H4_hgb_residual_partial_pooling,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,3,0.06241110463268946,0.09789562049685196,0.08439267965748255,0.08011153719216536,0.3603624225203877,,,,,,3827,76
primary,H4_hgb_residual_partial_pooling,F4_state_log_age_scalar,delta_capacity_Ah,c_rate_holdout_fold,1,0.08167493287469751,0.12607994819881135,0.10103212664861022,0.0899258208061894,0.19350557085993603,,,,,,157,12
