comparison_id,run_scope,candidate_model_level,reference_model_level,feature_group,target,split_name,heldout_fold,parameter_set,candidate_condition_mae,reference_condition_mae,condition_mae_gain,row_count
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,20,0.42317411579267944,0.4230294780712552,-0.00014463772142425668,6
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,20,0.17619318004946125,0.17642527061430222,0.0002320905648409699,6
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,20,0.17619318004946125,0.17642527061430222,0.0002320905648409699,6
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,24,0.41423893447843607,0.41409195159253587,-0.00014698288590020425,4
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,24,0.15281271925328044,0.15435262638693859,0.0015399071336581471,4
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,24,0.15281271925328044,0.15435262638693859,0.0015399071336581471,4
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,28,0.48666317667680153,0.4865321189286631,-0.00013105774813843007,9
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,28,0.08102527337171798,0.08104773569256121,2.2462320843227856e-05,9
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,28,0.08102527337171798,0.08104773569256121,2.2462320843227856e-05,9
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,c_rate_holdout_fold,1,32,0.2605724271799269,0.26090881097720164,0.0003363837972747419,6
