comparison_id,run_scope,candidate_model_level,reference_model_level,feature_group,target,split_name,reference_condition_mean_mae,candidate_condition_mean_mae,condition_mean_mae_gain,relative_degradation,candidate_q10_q90_coverage,candidate_q10_q90_width
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0.07822447316765377,0.07729649858941837,0.0009279745782354021,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0.05392666527617392,0.053863304935388934,6.336034078498892e-05,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0.05392666527617392,0.053863304935388934,6.336034078498892e-05,0.0,0.8732157473763209,0.12668122000000012
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,0.35163524217827047,0.3516246698920625,1.0572286207988224e-05,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,0.08436802390070613,0.0842173641960768,0.00015065970462933842,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,profile_holdout_fold,0.08436802390070613,0.0842173641960768,0.00015065970462933842,0.0,0.6117021276595744,0.1282945
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,0.13338504459541128,0.1330006214679384,0.0003844231274728882,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,0.06929389733378725,0.06910921431042408,0.00018468302336317743,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,temperature_holdout_fold,0.06929389733378725,0.06910921431042408,0.00018468302336317743,0.0,0.8386118598382749,0.11529794999999998
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,0.13522878771493013,0.1349505792353767,0.00027820847955342676,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,0.08441287861354206,0.08439267965748255,2.019895605950839e-05,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,capacity_Ah_k1,voltage_window_holdout_fold,0.08441287861354206,0.08439267965748255,2.019895605950839e-05,0.0,0.6895169769005767,0.13243280000000013
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0.07821549678359259,0.07728991528301019,0.0009255815005824036,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0.044644919626207015,0.044599824056946145,4.509556926086955e-05,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0.044644919626207015,0.044599824056946145,4.509556926086955e-05,0.0,0.763005018757744,0.052602674707348265
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,0.3510764439894509,0.3510651516387237,1.1292350727221123e-05,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,0.10915767923739267,0.10886503514062956,0.0002926440967631061,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,profile_holdout_fold,0.10915767923739267,0.10886503514062956,0.0002926440967631061,0.0,0.15159574468085107,0.04776161988565738
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,0.13039805119250397,0.13000346829873943,0.00039458289376453903,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,0.04857476766234761,0.04853870342861089,3.60642337367198e-05,0.0,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,temperature_holdout_fold,0.04857476766234761,0.04853870342861089,3.60642337367198e-05,0.0,0.7797843665768194,0.04750039739705247
ridge_partial_pooling_vs_ridge,primary,H2_partial_pooling_ridge,H1_state_time_ridge,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,0.1353345814753925,0.13506208374091608,0.00027249773447643455,0.0,,
hgb_partial_pooling_vs_hgb,primary,H4_hgb_residual_partial_pooling,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,0.07084470672683431,0.07103987164471412,-0.0001951649178798115,0.0027548270985486008,,
replicate_interval_vs_hgb,primary,H5_replicate_variance_interval,H3_hgb_reference,F4_state_log_age_scalar,delta_capacity_Ah,voltage_window_holdout_fold,0.07084470672683431,0.07103987164471412,-0.0001951649178798115,0.0027548270985486008,0.4286737442058624,0.05332171237861766
