feature_group,horizon_checkups,mean_condition_mean_mae,mean_mae,mean_rmse,mean_worst_condition_mae,metric_rows,model_level,split_name,target,total_test_rows
persistence,1,0.14814665451795436,0.07891953097560689,0.14299590204138607,0.4455759425213675,12,MH0_persistence,all,capacity_Ah_kh,10365
prior_slope,1,0.09153932377533948,0.0430479791862089,0.09908491895051709,0.31973998669871795,12,MH1_prior_slope_linear,all,capacity_Ah_kh,10365
K0_prior_capacity,1,0.1183844278669322,0.07079596517537746,0.11855928462158771,0.36671022242658274,12,MH2_ridge,all,capacity_Ah_kh,10365
K1_prior_state_time,1,0.08878783784754828,0.04864031454739892,0.09810425139945445,0.3157507889919896,12,MH2_ridge,all,capacity_Ah_kh,10365
K2_nominal_condition,1,0.08584212369489956,0.05089137789139986,0.09479727711266224,0.2756277944684457,12,MH2_ridge,all,capacity_Ah_kh,10365
K3_oracle_exposure_diagnostic,1,0.11217669346983877,0.08472277680137334,0.12731332900954043,0.3035095485619239,12,MH2_ridge,all,capacity_Ah_kh,10365
K0_prior_capacity,1,0.09519245046585673,0.05429726333069023,0.1085354389687795,0.30166338436301593,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,10365
K1_prior_state_time,1,0.08999309194710059,0.0527355110300354,0.10283959109396866,0.28339242108541635,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,10365
K2_nominal_condition,1,0.07802938448942826,0.04670397143405882,0.09384155017011452,0.2391216432178168,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,10365
K3_oracle_exposure_diagnostic,1,0.07049771312736992,0.04247658515254634,0.08854881819772499,0.2227519816077921,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,10365
persistence,2,0.2864704461719895,0.13545881613719338,0.22415784902240357,0.8880281630555555,12,MH0_persistence,all,capacity_Ah_kh,9723
prior_slope,2,0.21616671412891375,0.07934276166153398,0.16798743118821305,0.8460663630555557,12,MH1_prior_slope_linear,all,capacity_Ah_kh,9723
K0_prior_capacity,2,0.22860726723821165,0.11242432115689278,0.18140984804605853,0.7688845657544169,12,MH2_ridge,all,capacity_Ah_kh,9723
K1_prior_state_time,2,0.20160079368081762,0.09076504144644164,0.16253111935085027,0.7260808577693695,12,MH2_ridge,all,capacity_Ah_kh,9723
K2_nominal_condition,2,0.17169418134358147,0.09306841334653655,0.14920837618841926,0.5333763871460694,12,MH2_ridge,all,capacity_Ah_kh,9723
K3_oracle_exposure_diagnostic,2,0.2505613993326891,0.2466346803564736,0.3078829173838128,0.48146770269574435,12,MH2_ridge,all,capacity_Ah_kh,9723
K0_prior_capacity,2,0.19838783499266788,0.095520865170647,0.17463975941615392,0.6874958092850901,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9723
K1_prior_state_time,2,0.18844673914372387,0.08643401956938267,0.16231289312145072,0.6845938343059629,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9723
K2_nominal_condition,2,0.1403077794168874,0.0773609496377813,0.14327199561655776,0.44146587345767174,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9723
K3_oracle_exposure_diagnostic,2,0.11839491603845535,0.06967592185954964,0.12879064908997254,0.34095458112212135,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9723
persistence,3,0.2892065157069269,0.16619467913951227,0.2582612539332681,0.8342088747053872,12,MH0_persistence,all,capacity_Ah_kh,9089
prior_slope,3,0.1874776156873855,0.09323291675860935,0.18236844128478744,0.6480419185185186,12,MH1_prior_slope_linear,all,capacity_Ah_kh,9089
K0_prior_capacity,3,0.2118140518355601,0.12693101242806323,0.19995470779500288,0.664479847013549,12,MH2_ridge,all,capacity_Ah_kh,9089
K1_prior_state_time,3,0.1827093301449374,0.10719415808490866,0.18153898982133934,0.5581753041328885,12,MH2_ridge,all,capacity_Ah_kh,9089
K2_nominal_condition,3,0.1607256493256943,0.10477792060480538,0.16770491169796733,0.48081752639117475,12,MH2_ridge,all,capacity_Ah_kh,9089
K3_oracle_exposure_diagnostic,3,0.2905306072327149,0.2805133178502464,0.34064211121050136,0.5524225955815124,12,MH2_ridge,all,capacity_Ah_kh,9089
K0_prior_capacity,3,0.1724687864432862,0.10662032589749454,0.1829565292867897,0.4869817796779248,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9089
K1_prior_state_time,3,0.16740066884050733,0.10029740469424285,0.17621071339071878,0.49199864006365507,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9089
K2_nominal_condition,3,0.15325094231913616,0.09353041291001336,0.168529454985768,0.47744840400836774,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9089
K3_oracle_exposure_diagnostic,3,0.11358154917130824,0.07749826697632219,0.1360167203673657,0.3052400212040982,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,9089
persistence,5,0.4508759875411789,0.2204815185860078,0.32160974227196193,1.4352063991161617,12,MH0_persistence,all,capacity_Ah_kh,7975
prior_slope,5,0.340875127498706,0.13151539633829687,0.24826359467150574,1.375645525378788,12,MH1_prior_slope_linear,all,capacity_Ah_kh,7975
K0_prior_capacity,5,0.33440998907116976,0.1532284472664159,0.24184045590894696,1.2299864674999184,12,MH2_ridge,all,capacity_Ah_kh,7975
K1_prior_state_time,5,0.30877577256058314,0.1419052423804503,0.23148231614001405,1.157639715444428,12,MH2_ridge,all,capacity_Ah_kh,7975
K2_nominal_condition,5,0.25994648199350306,0.13757074962039492,0.21354258808457394,0.9137575116483719,12,MH2_ridge,all,capacity_Ah_kh,7975
K3_oracle_exposure_diagnostic,5,0.48906996896132676,0.48697085843517646,0.5576983918151793,0.8906938746860477,12,MH2_ridge,all,capacity_Ah_kh,7975
K0_prior_capacity,5,0.2839848446211592,0.1349153579243794,0.22781595475342178,1.0853828409896458,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,7975
K1_prior_state_time,5,0.2780369509218295,0.12506433131925523,0.21956881374340342,1.0887998465139483,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,7975
K2_nominal_condition,5,0.261421330151915,0.12376108550995611,0.21410968488105017,0.9720445043679485,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,7975
K3_oracle_exposure_diagnostic,5,0.17633902048308603,0.09607237455279767,0.16230634375351846,0.5616706101827164,12,MH3_hist_gradient_boosting,all,capacity_Ah_kh,7975
persistence,1,0.14814665451795436,0.07891953097560689,0.14299590204138607,0.4455759425213675,12,MH0_persistence,all,delta_capacity_Ah_h,10365
prior_slope,1,0.09153932377533948,0.0430479791862089,0.09908491895051709,0.31973998669871795,12,MH1_prior_slope_linear,all,delta_capacity_Ah_h,10365
K0_prior_capacity,1,0.118417233344296,0.07083429884153335,0.1185786620193069,0.36674557148819287,12,MH2_ridge,all,delta_capacity_Ah_h,10365
K1_prior_state_time,1,0.08869580969952583,0.048502522790017745,0.09807476222926054,0.31601749148670427,12,MH2_ridge,all,delta_capacity_Ah_h,10365
K2_nominal_condition,1,0.08580936034530556,0.05081002529111615,0.09478966190640697,0.27569498425830635,12,MH2_ridge,all,delta_capacity_Ah_h,10365
K3_oracle_exposure_diagnostic,1,0.10996192093733913,0.08196879086061533,0.1248707535093828,0.3017514847391588,12,MH2_ridge,all,delta_capacity_Ah_h,10365
K0_prior_capacity,1,0.08819474134713608,0.0502829592067618,0.10471429415221062,0.2630772430048486,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,10365
K1_prior_state_time,1,0.07772446200424732,0.04072722209256372,0.09122679608400049,0.260190210398134,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,10365
K2_nominal_condition,1,0.07202668694810176,0.03977666439242468,0.08808439431539589,0.21253504798195036,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,10365
K3_oracle_exposure_diagnostic,1,0.06725859149829455,0.03757822351863361,0.08382064467239325,0.2071694573284091,12,MH3_hist_gradient_boosting,all,delta_capacity_Ah_h,10365
persistence,2,0.2864704461719895,0.13545881613719338,0.22415784902240357,0.8880281630555555,12,MH0_persistence,all,delta_capacity_Ah_h,9723
prior_slope,2,0.21616671412891375,0.07934276166153398,0.16798743118821305,0.8460663630555557,12,MH1_prior_slope_linear,all,delta_capacity_Ah_h,9723
