aging_mode,feature_group,horizon_checkups,mae,mean_checkup_k,mean_soh_k,model_level,n_rows,nominal_charge_C_rate,nominal_discharge_C_rate,nominal_temperature_C,parameter_set,profile_label,target,voltage_window_family
cyclic,persistence,1,0.48400216666666673,0.5,0.9141837551665942,MH0_persistence,6,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,prior_slope,1,0.27608983333333326,0.5,0.9141837551665942,MH1_prior_slope_linear,6,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K0_prior_capacity,1,0.3957755830694029,0.5,0.9141837551665942,MH2_ridge,6,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K1_prior_state_time,1,0.4425951229845711,0.5,0.9141837551665942,MH2_ridge,6,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K2_nominal_condition,1,0.41183075881443126,0.5,0.9141837551665942,MH2_ridge,6,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K3_oracle_exposure_diagnostic,1,0.41716966356847784,0.5,0.9141837551665942,MH2_ridge,6,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K0_prior_capacity,1,0.3603440086776047,0.5,0.9141837551665942,MH3_hist_gradient_boosting,6,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K1_prior_state_time,1,0.27922937963637257,0.5,0.9141837551665942,MH3_hist_gradient_boosting,6,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K2_nominal_condition,1,0.2051047016482425,0.5,0.9141837551665942,MH3_hist_gradient_boosting,6,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,K3_oracle_exposure_diagnostic,1,0.1896667703044347,0.5,0.9141837551665942,MH3_hist_gradient_boosting,6,1.67,1.0,0.0,20,0,capacity_Ah_kh,approx_0_100
cyclic,persistence,1,0.4024384999999999,0.25,0.9710066151403997,MH0_persistence,4,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,prior_slope,1,0.31716075,0.25,0.9710066151403997,MH1_prior_slope_linear,4,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K0_prior_capacity,1,0.34105987438042695,0.25,0.9710066151403997,MH2_ridge,4,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K1_prior_state_time,1,0.2513101253786032,0.25,0.9710066151403997,MH2_ridge,4,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K2_nominal_condition,1,0.19181325516102854,0.25,0.9710066151403997,MH2_ridge,4,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K3_oracle_exposure_diagnostic,1,0.14341636761887816,0.25,0.9710066151403997,MH2_ridge,4,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K0_prior_capacity,1,0.2854834181609134,0.25,0.9710066151403997,MH3_hist_gradient_boosting,4,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K1_prior_state_time,1,0.24609324737888771,0.25,0.9710066151403997,MH3_hist_gradient_boosting,4,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K2_nominal_condition,1,0.19089124826116777,0.25,0.9710066151403997,MH3_hist_gradient_boosting,4,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,K3_oracle_exposure_diagnostic,1,0.15333236601958644,0.25,0.9710066151403997,MH3_hist_gradient_boosting,4,1.67,1.0,0.0,24,0,capacity_Ah_kh,approx_10_100
cyclic,persistence,1,0.3021248888888889,1.0,0.9048513217484163,MH0_persistence,9,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
cyclic,prior_slope,1,0.33714088888888893,1.0,0.9048513217484163,MH1_prior_slope_linear,9,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
cyclic,K0_prior_capacity,1,0.22086427253815177,1.0,0.9048513217484163,MH2_ridge,9,1.67,1.0,0.0,28,0,capacity_Ah_kh,approx_10_90
