bias,condition_mean_mae,condition_median_mae,feature_group,heldout_fold,horizon_checkups,mae,model_level,n_test,n_train,oracle_exposure_feature_group,rmse,split_name,target,test_conditions,train_conditions,worst_condition_mae
0.057864078199052135,0.1110837766877153,0.07639529369202228,persistence,0,1,0.06039788862559242,MH0_persistence,844,2983,False,0.1072881223998726,condition_fold,capacity_Ah_kh,16,60,0.4024384999999999
0.00997441232227488,0.06457643340501935,0.035918075602968474,prior_slope,0,1,0.029585213270142185,MH1_prior_slope_linear,844,2983,False,0.06963370348665776,condition_fold,capacity_Ah_kh,16,60,0.31716075
-0.022287928503713146,0.08404104822590662,0.07138062216803848,K0_prior_capacity,0,1,0.056816067998967025,MH2_ridge,844,2983,False,0.08271538772837796,condition_fold,capacity_Ah_kh,16,60,0.323629217653978
-0.016382320518900925,0.06064328484640977,0.048757581679173115,K1_prior_state_time,0,1,0.035952314775765645,MH2_ridge,844,2983,False,0.0672337038492036,condition_fold,capacity_Ah_kh,16,60,0.22873036197246044
-0.004943709455914281,0.05956497051867146,0.06085234781195928,K2_nominal_condition,0,1,0.04000240489325569,MH2_ridge,844,2983,False,0.06840509454183859,condition_fold,capacity_Ah_kh,16,60,0.1476707054296923
-0.004151568531835828,0.055165119196643436,0.05886360992837285,K3_oracle_exposure_diagnostic,0,1,0.03669447134537488,MH2_ridge,844,2983,True,0.06611911287862267,condition_fold,capacity_Ah_kh,16,60,0.1267740586717514
-0.016978482764806107,0.07392383685963594,0.052083524763881284,K0_prior_capacity,0,1,0.041967979004975016,MH3_hist_gradient_boosting,844,2983,False,0.08738550019466672,condition_fold,capacity_Ah_kh,16,60,0.22393551737643458
-0.015149549129173701,0.06160887620555935,0.053223422859091464,K1_prior_state_time,0,1,0.032917975145157284,MH3_hist_gradient_boosting,844,2983,False,0.07712851441956924,condition_fold,capacity_Ah_kh,16,60,0.21738314859016783
-0.012173852617465737,0.0515460316386112,0.048032723853220764,K2_nominal_condition,0,1,0.02922636024408068,MH3_hist_gradient_boosting,844,2983,False,0.07264283103030579,condition_fold,capacity_Ah_kh,16,60,0.14621417704091433
-0.007021670785698131,0.042969776738258934,0.04274167831449391,K3_oracle_exposure_diagnostic,0,1,0.02642729298395911,MH3_hist_gradient_boosting,844,2983,True,0.06934885375391484,condition_fold,capacity_Ah_kh,16,60,0.11592610955750915
0.057864078199052135,0.1110837766877153,0.07639529369202228,persistence,0,1,0.06039788862559242,MH0_persistence,844,2983,False,0.1072881223998726,condition_fold,delta_capacity_Ah_h,16,60,0.4024384999999999
0.00997441232227488,0.06457643340501935,0.035918075602968474,prior_slope,0,1,0.029585213270142185,MH1_prior_slope_linear,844,2983,False,0.06963370348665776,condition_fold,delta_capacity_Ah_h,16,60,0.31716075
-0.02232981029690103,0.08407458754994733,0.07140956594439549,K0_prior_capacity,0,1,0.056849229602334114,MH2_ridge,844,2983,False,0.08273688583937266,condition_fold,delta_capacity_Ah_h,16,60,0.3236726519891576
-0.01607133920086004,0.06042971831780512,0.04858325790414064,K1_prior_state_time,0,1,0.03559236710273151,MH2_ridge,844,2983,False,0.06713084155032066,condition_fold,delta_capacity_Ah_h,16,60,0.22920584283245915
-0.004614712859807436,0.059519793061288344,0.06100923755979171,K2_nominal_condition,0,1,0.04001527101140945,MH2_ridge,844,2983,False,0.06829052066128954,condition_fold,delta_capacity_Ah_h,16,60,0.14846970678569582
-0.0036940325218349436,0.055255985260214545,0.05916918704848463,K3_oracle_exposure_diagnostic,0,1,0.036821020575591605,MH2_ridge,844,2983,True,0.06606080348644346,condition_fold,delta_capacity_Ah_h,16,60,0.12842639247372353
-0.019801815177510357,0.07307044660417432,0.04822486342995516,K0_prior_capacity,0,1,0.04168910390653127,MH3_hist_gradient_boosting,844,2983,False,0.08592187605265712,condition_fold,delta_capacity_Ah_h,16,60,0.21269796346271436
-0.01919484074980071,0.060717633025599245,0.05538968520293668,K1_prior_state_time,0,1,0.03222072494586479,MH3_hist_gradient_boosting,844,2983,False,0.08306547880667554,condition_fold,delta_capacity_Ah_h,16,60,0.21729524450516322
-0.014929176690933488,0.04903571282877707,0.04488221460787876,K2_nominal_condition,0,1,0.026932456284081422,MH3_hist_gradient_boosting,844,2983,False,0.07129586390936005,condition_fold,delta_capacity_Ah_h,16,60,0.1474166934862352
-0.011903711376038595,0.04563469097908871,0.040633918554611737,K3_oracle_exposure_diagnostic,0,1,0.026940323893088678,MH3_hist_gradient_boosting,844,2983,True,0.07372366277589411,condition_fold,delta_capacity_Ah_h,16,60,0.13999277844133023
0.10618576507537689,0.2149738431123239,0.1362334970735786,persistence,0,2,0.10756734296482412,MH0_persistence,796,2803,False,0.17973125855702232,condition_fold,capacity_Ah_kh,16,60,0.8614799999999998
0.023842393216080403,0.14347066282085164,0.0722728557692308,prior_slope,0,2,0.055418395728643224,MH1_prior_slope_linear,796,2803,False,0.12312196082068544,condition_fold,capacity_Ah_kh,16,60,0.8614799999999998
-0.020679994878965165,0.15481801817978813,0.12214501970629493,K0_prior_capacity,0,2,0.08898701888404682,MH2_ridge,796,2803,False,0.1313328011097866,condition_fold,capacity_Ah_kh,16,60,0.7287045040311408
-0.023603800151407568,0.1310268216790538,0.0800164141181226,K1_prior_state_time,0,2,0.06646945608766984,MH2_ridge,796,2803,False,0.11408784406224669,condition_fold,capacity_Ah_kh,16,60,0.6796947642322886
0.0043858438778899755,0.12042138460334481,0.10784110795313623,K2_nominal_condition,0,2,0.07837953421356016,MH2_ridge,796,2803,False,0.11567623038549109,condition_fold,capacity_Ah_kh,16,60,0.37692560506153017
-0.007881152445838875,0.07266960734895003,0.0827086969113035,K3_oracle_exposure_diagnostic,0,2,0.05383281409025876,MH2_ridge,796,2803,True,0.08982709717135699,condition_fold,capacity_Ah_kh,16,60,0.13371996924965104
-0.023424376260798522,0.13857599892765887,0.1219655009885102,K0_prior_capacity,0,2,0.07346432121973882,MH3_hist_gradient_boosting,796,2803,False,0.13219030611116822,condition_fold,capacity_Ah_kh,16,60,0.6340812019763584
-0.021219193434476636,0.1203144270164789,0.08924032638603856,K1_prior_state_time,0,2,0.05973888245793001,MH3_hist_gradient_boosting,796,2803,False,0.11084334243381849,condition_fold,capacity_Ah_kh,16,60,0.622095911579569
-0.021494440123280455,0.08810278147677529,0.06351744673337276,K2_nominal_condition,0,2,0.056801031894074934,MH3_hist_gradient_boosting,796,2803,False,0.10777299928590323,condition_fold,capacity_Ah_kh,16,60,0.2028668193702016
-0.022399193440594455,0.07391390625916747,0.07436010554232095,K3_oracle_exposure_diagnostic,0,2,0.04991039328676139,MH3_hist_gradient_boosting,796,2803,True,0.09857168913589819,condition_fold,capacity_Ah_kh,16,60,0.18003168363389577
0.10618576507537689,0.2149738431123239,0.1362334970735786,persistence,0,2,0.10756734296482412,MH0_persistence,796,2803,False,0.17973125855702232,condition_fold,delta_capacity_Ah_h,16,60,0.8614799999999998
0.023842393216080403,0.14347066282085164,0.0722728557692308,prior_slope,0,2,0.055418395728643224,MH1_prior_slope_linear,796,2803,False,0.12312196082068544,condition_fold,delta_capacity_Ah_h,16,60,0.8614799999999998
-0.020726124476366913,0.15484556196015542,0.1222273767917487,K0_prior_capacity,0,2,0.08901949598588292,MH2_ridge,796,2803,False,0.13134410348591344,condition_fold,delta_capacity_Ah_h,16,60,0.7287778163987785
-0.02331326600979482,0.13077841321653982,0.07978787870516489,K1_prior_state_time,0,2,0.06615294568142592,MH2_ridge,796,2803,False,0.11399376574391698,condition_fold,delta_capacity_Ah_h,16,60,0.6783172565343318
0.004694930789622685,0.12039480305501418,0.10708481460552068,K2_nominal_condition,0,2,0.07847863459722708,MH2_ridge,796,2803,False,0.11563523482258789,condition_fold,delta_capacity_Ah_h,16,60,0.3760430093825601
-0.007408095408278249,0.07279737875379762,0.0821017712226225,K3_oracle_exposure_diagnostic,0,2,0.05377253946999015,MH2_ridge,796,2803,True,0.08987649526644068,condition_fold,delta_capacity_Ah_h,16,60,0.13331088292209153
-0.024178738998353256,0.13416284266706904,0.1206569589402195,K0_prior_capacity,0,2,0.07115896787806958,MH3_hist_gradient_boosting,796,2803,False,0.12901717086108289,condition_fold,delta_capacity_Ah_h,16,60,0.6397625285916182
-0.01957109017584302,0.11667720324306843,0.08145797513833665,K1_prior_state_time,0,2,0.055024348424066276,MH3_hist_gradient_boosting,796,2803,False,0.1075059157525882,condition_fold,delta_capacity_Ah_h,16,60,0.617115141956925
-0.02356789847212268,0.07851482374822075,0.07942736866403335,K2_nominal_condition,0,2,0.053333436420429696,MH3_hist_gradient_boosting,796,2803,False,0.10826153505096842,condition_fold,delta_capacity_Ah_h,16,60,0.2059181018634998
-0.011780698456242477,0.07522463780024148,0.0707422169371498,K3_oracle_exposure_diagnostic,0,2,0.04617333475123213,MH3_hist_gradient_boosting,796,2803,True,0.1087224484288697,condition_fold,delta_capacity_Ah_h,16,60,0.20594179775547466
0.14290753866666667,0.23986104987095733,0.17710818367346937,persistence,0,3,0.14402977066666667,MH0_persistence,750,2623,False,0.22700368785693914,condition_fold,capacity_Ah_kh,15,53,0.593300090909091
0.026668826666666666,0.13524773707001098,0.09953965789473691,prior_slope,0,3,0.07766132266666671,MH1_prior_slope_linear,750,2623,False,0.1597498271151824,condition_fold,capacity_Ah_kh,15,53,0.3241519166666668
-0.013057781858995577,0.1595347071263027,0.1522754154177951,K0_prior_capacity,0,3,0.10921245769785361,MH2_ridge,750,2623,False,0.1607388127282938,condition_fold,capacity_Ah_kh,15,53,0.36275919554892955
-0.021963362012052803,0.12984740607450415,0.1130355147849959,K1_prior_state_time,0,3,0.08641609285478392,MH2_ridge,750,2623,False,0.14273549711469222,condition_fold,capacity_Ah_kh,15,53,0.2802489919152495
0.006046423400082963,0.12381095399163299,0.13368130827211094,K2_nominal_condition,0,3,0.08836165144173731,MH2_ridge,750,2623,False,0.13603131309994335,condition_fold,capacity_Ah_kh,15,53,0.2386348217534562
