run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,test_rows,test_parameter_sets
primary,L0_persistence,persistence,capacity_Ah_k1,c_rate_holdout_fold,1,0.249394025477707,0.3373742796551262,0.33485399645173297,0.30614565384615383,0.5571718333333334,157,12
primary,L0_persistence,persistence,capacity_Ah_k1,condition_fold,5,0.0631849458967956,0.12890650906938048,0.13801071921543,0.09979883387368098,0.5571718333333334,3827,76
primary,L0_persistence,persistence,capacity_Ah_k1,profile_holdout_fold,1,0.06011867952127659,0.11714484749216005,0.09615964607551501,0.057079845695970695,0.35136106666666667,752,12
primary,L0_persistence,persistence,capacity_Ah_k1,temperature_holdout_fold,2,0.06901586637466307,0.14518594941652144,0.15025633253369464,0.11219685688405796,0.49691616666666666,1802,38
primary,L0_persistence,persistence,capacity_Ah_k1,voltage_window_holdout_fold,3,0.06118840149166497,0.10884241772313374,0.1187266501812217,0.08425694273524414,0.5571718333333334,3827,76
primary,L0_persistence,persistence,delta_capacity_Ah,c_rate_holdout_fold,1,0.249394025477707,0.3373742796551262,0.33485399645173297,0.30614565384615383,0.5571718333333334,157,12
primary,L0_persistence,persistence,delta_capacity_Ah,condition_fold,5,0.0631849458967956,0.12890650906938048,0.13801071921543,0.09979883387368098,0.5571718333333334,3827,76
primary,L0_persistence,persistence,delta_capacity_Ah,profile_holdout_fold,1,0.06011867952127659,0.11714484749216005,0.09615964607551501,0.057079845695970695,0.35136106666666667,752,12
primary,L0_persistence,persistence,delta_capacity_Ah,temperature_holdout_fold,2,0.06901586637466307,0.14518594941652144,0.15025633253369464,0.11219685688405796,0.49691616666666666,1802,38
primary,L0_persistence,persistence,delta_capacity_Ah,voltage_window_holdout_fold,3,0.06118840149166497,0.10884241772313374,0.1187266501812217,0.08425694273524414,0.5571718333333334,3827,76
