grouping,group_value,row_count,parameter_set_count,total_intervals,mean_best_model_error,mean_persistence_error,mean_error_improvement_vs_persistence,max_best_model_error
temperature,0,6,3,38,0.15438414238660436,0.3961885185185185,0.24180437613191416,0.2993844679926547
temperature,10,6,3,54,0.18422583236360313,0.4742121666666667,0.2899863343030636,0.3186053676316352
temperature,25,6,3,88,0.17395065868809312,0.24385089761904763,0.0699002389309545,0.19919465182514284
temperature,40,6,3,134,0.189372683748108,0.22516440300269905,0.03579171925459103,0.2755425185851262
voltage_window_family,approx_0_100,8,4,62,0.13997905618423928,0.43965016025641024,0.299671104072171,0.19919465182514284
voltage_window_family,approx_10_100,8,4,72,0.20237770843659766,0.3478285020833333,0.1454507936467357,0.3186053676316352
voltage_window_family,approx_10_90,8,4,180,0.18409322326896954,0.2170833270154553,0.03299010374648578,0.2993844679926547
target,capacity_Ah_k1,12,12,157,0.1755605083624059,0.33485399645173297,0.1592934880893271,0.3186053676316352
target,delta_capacity_Ah,12,12,157,0.17540615023079845,0.33485399645173297,0.15944784622093452,0.31605114558860226
parameter_set,20,2,1,12,0.10610248281626378,0.48400216666666673,0.37789968385040296,0.10813012230013459
parameter_set,24,2,1,8,0.05970343964847976,0.4024384999999999,0.3427350603515201,0.061411009922070534
parameter_set,28,2,1,18,0.29734650469506957,0.3021248888888889,0.004778384193819318,0.2993844679926547
parameter_set,32,2,1,12,0.1023806243135913,0.5564216666666667,0.4540410423530754,0.10535434834769296
parameter_set,36,2,1,12,0.31732825661011876,0.5571718333333334,0.23984357672321469,0.3186053676316352
parameter_set,40,2,1,30,0.13296861616709932,0.309043,0.1760743838329007,0.13491618278478631
parameter_set,44,2,1,12,0.19686531052406459,0.4149285,0.2180631894759354,0.19919465182514284
parameter_set,48,2,1,20,0.1609719446693099,0.16491580000000003,0.003943855330690138,0.16361666229803995
parameter_set,52,2,1,56,0.1640147208709049,0.15170839285714285,-0.012306328013762052,0.1658721142135449
parameter_set,56,2,1,26,0.1545678070830374,0.30324830769230765,0.14868050060927024,0.16018390648997993
parameter_set,60,2,1,32,0.2715071928184823,0.266787875,-0.004719317818482283,0.2755425185851262
parameter_set,64,2,1,76,0.14204305134280434,0.10545702631578949,-0.03658602502701486,0.1443680489258521
interval_count_bucket,11-20,6,3,88,0.18634787202287298,0.2930263942307692,0.10667852220789621,0.2755425185851262
interval_count_bucket,6-10,12,6,86,0.1968325206047363,0.4132608092592593,0.216428288654523,0.3186053676316352
interval_count_bucket,<=5,2,1,8,0.05970343964847976,0.4024384999999999,0.3427350603515201,0.061411009922070534
interval_count_bucket,>20,4,2,132,0.1530288861068546,0.12858270958646617,-0.024446176520388455,0.1658721142135449
capacity_Ah_k_range,2.4-2.6,2,1,18,0.29734650469506957,0.3021248888888889,0.004778384193819318,0.2993844679926547
capacity_Ah_k_range,2.6-2.8,10,5,78,0.11674525970613643,0.3822052882051282,0.26546002849899175,0.16361666229803995
capacity_Ah_k_range,<2.4,8,4,194,0.17763339529982272,0.20824907354323308,0.03061567824341038,0.2755425185851262
capacity_Ah_k_range,>=2.8,4,2,24,0.25709678356709165,0.48605016666666667,0.22895338309957503,0.3186053676316352
delta_capacity_Ah_range,-0.4--0.2,10,5,200,0.1794689675490376,0.20664982161236428,0.027180854063326654,0.2993844679926547
delta_capacity_Ah_range,-0.6--0.4,14,7,114,0.17263644483057683,0.42642840705128204,0.2537919622207052,0.3186053676316352
