run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L1_ridge,capacity_Ah_k1,c_rate_holdout_fold,F1_state_time,F2_state_exposure,0.25774014234042136,0.25998547580946235,-0.0022453334690409887,0.4914379334888182,0.49301384154183836,-0.0015759080530201586
primary,L1_ridge,capacity_Ah_k1,c_rate_holdout_fold,F2_state_exposure,F3_state_nominal,0.25998547580946235,0.1755605083624059,0.08442496744705646,0.49301384154183836,0.3186053676316352,0.17440847391020314
primary,L1_ridge,capacity_Ah_k1,c_rate_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.1755605083624059,0.35404712042739095,-0.17848661206498506,0.3186053676316352,0.5130999703805776,-0.19449460274894242
primary,L1_ridge,capacity_Ah_k1,condition_fold,F1_state_time,F2_state_exposure,0.10606587808651775,0.1051732032833077,0.0008926748032100501,0.48508744462016007,0.4852150607693361,-0.00012761614917605746
primary,L1_ridge,capacity_Ah_k1,condition_fold,F2_state_exposure,F3_state_nominal,0.1051732032833077,0.08363521753185135,0.02153798575145635,0.4852150607693361,0.3461746117144558,0.13904044905488033
primary,L1_ridge,capacity_Ah_k1,condition_fold,F3_state_nominal,F4_state_log_age_scalar,0.08363521753185135,0.08181939760885057,0.0018158199230007832,0.3461746117144558,0.3218229398886245,0.02435167182583131
primary,L1_ridge,capacity_Ah_k1,profile_holdout_fold,F1_state_time,F2_state_exposure,0.08028563439315191,0.07873541347902137,0.00155022091413054,0.21082570926169156,0.21367541857202824,-0.002849709310336679
primary,L1_ridge,capacity_Ah_k1,profile_holdout_fold,F2_state_exposure,F3_state_nominal,0.07873541347902137,0.08776288452369783,-0.009027471044676466,0.21367541857202824,0.3073883962462554,-0.09371297767422718
primary,L1_ridge,capacity_Ah_k1,profile_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.08776288452369783,0.3433158884295722,-0.2555530039058744,0.3073883962462554,0.633618684769723,-0.32623028852346764
primary,L1_ridge,capacity_Ah_k1,temperature_holdout_fold,F1_state_time,F2_state_exposure,0.11306454952686307,0.11261858682954301,0.000445962697320057,0.4162389053394797,0.41326361110210436,0.002975294237375359
primary,L1_ridge,capacity_Ah_k1,temperature_holdout_fold,F2_state_exposure,F3_state_nominal,0.11261858682954301,0.09140239920049888,0.021216187629044134,0.41326361110210436,0.34293869858235054,0.07032491251975381
