run_scope,model_level,feature_group,target,split_name,heldout_fold,worst_condition_mae,condition_mean_mae,condition_median_mae,test_parameter_sets
primary,L0_persistence,persistence,capacity_Ah_k1,condition_fold,0,0.4024384999999999,0.1110837766877153,0.07639529369202228,16
primary,L0_persistence,persistence,delta_capacity_Ah,condition_fold,0,0.4024384999999999,0.1110837766877153,0.07639529369202228,16
primary,L1_ridge,F0_time_only,capacity_Ah_k1,condition_fold,0,0.4135512167527451,0.2447186414756557,0.26826958522344757,16
primary,L1_ridge,F0_time_only,delta_capacity_Ah,condition_fold,0,0.2983742761980354,0.07814872400570409,0.05474777857125139,16
primary,L1_ridge,F1_state_time,capacity_Ah_k1,condition_fold,0,0.3128289084330824,0.0830696278182947,0.07151493421610139,16
primary,L1_ridge,F1_state_time,delta_capacity_Ah,condition_fold,0,0.3132724838211515,0.08349727083442127,0.07188796921442057,16
primary,L1_ridge,F2_state_exposure,capacity_Ah_k1,condition_fold,0,0.3007919310978969,0.08111891488024166,0.070451677883744,16
primary,L1_ridge,F2_state_exposure,delta_capacity_Ah,condition_fold,0,0.2908368341114244,0.08005113643492881,0.07013084315680287,16
primary,L1_ridge,F3_state_nominal,capacity_Ah_k1,condition_fold,0,0.1582668386955618,0.0647105130475864,0.0722332071408092,16
primary,L1_ridge,F3_state_nominal,delta_capacity_Ah,condition_fold,0,0.15867233639511688,0.06386996759923771,0.07028392802647374,16
primary,L1_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,0.17449879857318681,0.0683781818619577,0.07657271536446106,16
primary,L1_ridge,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.17211643210949065,0.06659873944850814,0.0748940217933652,16
primary,L2_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,condition_fold,0,0.35167273600456117,0.22937876220535344,0.22905165129798977,16
primary,L2_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,condition_fold,0,0.2967930201241027,0.0752384044249321,0.04732350678651785,16
primary,L2_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,0,0.2491097237589707,0.15201665832028088,0.16166489608297974,16
primary,L2_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,condition_fold,0,0.2469776831823337,0.06839076431092468,0.055994321866179204,16
primary,L2_hist_gradient_boosting,F2_state_exposure,capacity_Ah_k1,condition_fold,0,0.2502028467960786,0.15202865424835957,0.16037785124055765,16
primary,L2_hist_gradient_boosting,F2_state_exposure,delta_capacity_Ah,condition_fold,0,0.24967218630096621,0.06516556804321702,0.046861133973876416,16
primary,L2_hist_gradient_boosting,F3_state_nominal,capacity_Ah_k1,condition_fold,0,0.2508538832207639,0.15415167241489203,0.16125893400519548,16
primary,L2_hist_gradient_boosting,F3_state_nominal,delta_capacity_Ah,condition_fold,0,0.22858865418347873,0.06626991012102577,0.042047380917077666,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,0.25532933492019105,0.15393218567411746,0.15985366505676335,16
primary,L2_hist_gradient_boosting,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.20663754480033225,0.06369315739002915,0.039600467835155556,16
primary,L3_quantile_hist_gradient_boosting,F0_time_only,capacity_Ah_k1,condition_fold,0,0.39606980348780607,0.25222004336828324,0.26008639558958324,16
primary,L3_quantile_hist_gradient_boosting,F0_time_only,delta_capacity_Ah,condition_fold,0,0.35256849368499965,0.0841350900556766,0.05422584898694707,16
primary,L3_quantile_hist_gradient_boosting,F1_state_time,capacity_Ah_k1,condition_fold,0,0.33973629263610017,0.20903450600160967,0.2271836844996838,16
primary,L3_quantile_hist_gradient_boosting,F1_state_time,delta_capacity_Ah,condition_fold,0,0.3461946980387497,0.08237116467030807,0.04782017173688186,16
