target,split_name,best_model_level,best_feature_group,best_condition_mean_mae,best_worst_condition_mae,worst_parameter_set,worst_parameter_set_mae,l0_condition_mean_mae,condition_mean_mae_improvement_vs_l0
capacity_Ah_k1,c_rate_holdout_fold,L1_ridge,F3_state_nominal,0.17699272977597572,0.3146228228047288,36,0.3146228228047288,0.33485399645173297,0.15786126667575726
capacity_Ah_k1,condition_fold,L1_ridge,F4_state_log_age_scalar,0.07822447316765377,0.29879310931275505,23,0.29879310931275505,0.13801071921543,0.05978624604777624
capacity_Ah_k1,profile_holdout_fold,L1_ridge,F2_state_exposure,0.07757958123662996,0.2144858028914938,67,0.2144858028914938,0.09615964607551501,0.018580064838885052
capacity_Ah_k1,temperature_holdout_fold,L1_ridge,F3_state_nominal,0.08938646160899522,0.3393070983630557,23,0.3393070983630557,0.15025633253369464,0.06086987092469942
capacity_Ah_k1,voltage_window_holdout_fold,L1_ridge,F3_state_nominal,0.0869256136858994,0.34688303695831024,23,0.34688303695831024,0.1187266501812217,0.03180103649532229
delta_capacity_Ah,c_rate_holdout_fold,L1_ridge,F3_state_nominal,0.17704514217520775,0.31436775897503844,36,0.31436775897503844,0.33485399645173297,0.15780885427652522
delta_capacity_Ah,condition_fold,L1_ridge,F4_state_log_age_scalar,0.07821549678359259,0.2988801556670517,23,0.2988801556670517,0.13801071921543,0.05979522243183742
delta_capacity_Ah,profile_holdout_fold,L1_ridge,F0_time_only,0.07307309693883411,0.2614254832551648,67,0.2614254832551648,0.09615964607551501,0.0230865491366809
delta_capacity_Ah,temperature_holdout_fold,L1_ridge,F3_state_nominal,0.08929047784513369,0.3390636147106966,23,0.3390636147106966,0.15025633253369464,0.060965854688560944
delta_capacity_Ah,voltage_window_holdout_fold,L1_ridge,F3_state_nominal,0.08699402496986713,0.34633161401369167,23,0.34633161401369167,0.1187266501812217,0.03173262521135456
