grouping,group_value,row_count,parameter_set_count,total_intervals,mean_best_model_error,mean_persistence_error,mean_error_improvement_vs_persistence,max_best_model_error
temperature,0,6,3,38,0.15775930872344704,0.3961885185185185,0.23842920979507146,0.29451708157629175
temperature,10,6,3,54,0.18458626585595625,0.4742121666666667,0.2896259008107105,0.3146228228047288
temperature,25,6,3,88,0.17351330118360223,0.24385089761904763,0.07033759643544539,0.19249424356729938
temperature,40,6,3,134,0.19221686813936142,0.22516440300269905,0.032947534863337645,0.2830293819533148
voltage_window_family,approx_0_100,8,4,62,0.1382397588701292,0.43965016025641024,0.30141040138628106,0.19249424356729938
voltage_window_family,approx_10_100,8,4,72,0.20565225342157414,0.3478285020833333,0.14217624866175918,0.3146228228047288
voltage_window_family,approx_10_90,8,4,180,0.18716479563507182,0.2170833270154553,0.02991853138038348,0.29451708157629175
target,capacity_Ah_k1,12,12,157,0.17699272977597572,0.33485399645173297,0.15786126667575726,0.3146228228047288
target,delta_capacity_Ah,12,12,157,0.17704514217520775,0.33485399645173297,0.15780885427652522,0.31436775897503844
parameter_set,20,2,1,12,0.11077906025005774,0.48400216666666673,0.373223106416609,0.1109778496977412
parameter_set,24,2,1,8,0.0681955863069614,0.4024384999999999,0.3342429136930385,0.06836922623817261
parameter_set,28,2,1,18,0.294303279613322,0.3021248888888889,0.00782160927556691,0.29451708157629175
parameter_set,32,2,1,12,0.10609254397589687,0.5564216666666667,0.45032912269076986,0.10640739467955938
parameter_set,36,2,1,12,0.3144952908898836,0.5571718333333334,0.2426765424434498,0.3146228228047288
parameter_set,40,2,1,30,0.13317096270208822,0.309043,0.1758720372979118,0.13322781806114953
parameter_set,44,2,1,12,0.19225924887917378,0.4149285,0.2226692511208262,0.19249424356729938
parameter_set,48,2,1,20,0.1572991137396772,0.16491580000000003,0.007616686260322816,0.15756647044075195
parameter_set,52,2,1,56,0.17098154093195572,0.15170839285714285,-0.019273148074812854,0.17128829803060583
parameter_set,56,2,1,26,0.1438281823753884,0.30324830769230765,0.15942012531691924,0.1443954243162947
parameter_set,60,2,1,32,0.28261902274977435,0.266787875,-0.01583114774977437,0.2830293819533148
parameter_set,64,2,1,76,0.15020339929292142,0.10545702631578949,-0.044746372977131924,0.15046754915242622
interval_count_bucket,11-20,6,3,88,0.18653938927575034,0.2930263942307692,0.10648700495501888,0.2830293819533148
interval_count_bucket,6-10,12,6,86,0.1958714228913352,0.4132608092592593,0.21738938636792407,0.3146228228047288
interval_count_bucket,<=5,2,1,8,0.0681955863069614,0.4024384999999999,0.3342429136930385,0.06836922623817261
interval_count_bucket,>20,4,2,132,0.16059247011243855,0.12858270958646617,-0.03200976052597239,0.17128829803060583
capacity_Ah_k_range,2.4-2.6,2,1,18,0.294303279613322,0.3021248888888889,0.00782160927556691,0.29451708157629175
capacity_Ah_k_range,2.6-2.8,10,5,78,0.11723889732959633,0.3822052882051282,0.26496639087553187,0.15756647044075195
capacity_Ah_k_range,<2.4,8,4,194,0.18424373141918493,0.20824907354323308,0.02400534212404816,0.2830293819533148
capacity_Ah_k_range,>=2.8,4,2,24,0.2533772698845287,0.48605016666666667,0.23267289678213798,0.3146228228047288
delta_capacity_Ah_range,-0.4--0.2,10,5,200,0.1811916592559929,0.20664982161236428,0.02545816235637135,0.29451708157629175
delta_capacity_Ah_range,-0.6--0.4,14,7,114,0.17403841934673375,0.42642840705128204,0.2523899877045483,0.3146228228047288
