run_scope,model_level,target,split_name,from_feature_group,to_feature_group,from_condition_mean_mae,to_condition_mean_mae,condition_mean_mae_gain,from_worst_condition_mae,to_worst_condition_mae,worst_condition_mae_gain
primary,L1_ridge,capacity_Ah_k1,c_rate_holdout_fold,F1_state_time,F2_state_exposure,0.25778030462394613,0.2579041266098638,-0.00012382198591764926,0.49186970900228316,0.4929980886462045,-0.0011283796439213178
primary,L1_ridge,capacity_Ah_k1,c_rate_holdout_fold,F2_state_exposure,F3_state_nominal,0.2579041266098638,0.17699272977597572,0.08091139683388807,0.4929980886462045,0.3146228228047288,0.17837526584147567
primary,L1_ridge,capacity_Ah_k1,c_rate_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.17699272977597572,0.34378030360613,-0.16678757383015427,0.3146228228047288,0.4865321189286631,-0.1719092961239343
primary,L1_ridge,capacity_Ah_k1,condition_fold,F1_state_time,F2_state_exposure,0.10632594263615067,0.10430561502868008,0.00202032760747059,0.485522007761166,0.4857445794353334,-0.00022257167416739332
primary,L1_ridge,capacity_Ah_k1,condition_fold,F2_state_exposure,F3_state_nominal,0.10430561502868008,0.08318723104309574,0.02111838398558434,0.4857445794353334,0.3420743030142101,0.1436702764211233
primary,L1_ridge,capacity_Ah_k1,condition_fold,F3_state_nominal,F4_state_log_age_scalar,0.08318723104309574,0.07822447316765377,0.004962757875441967,0.3420743030142101,0.29879310931275505,0.043281193701455056
primary,L1_ridge,capacity_Ah_k1,profile_holdout_fold,F1_state_time,F2_state_exposure,0.08071320933663906,0.07757958123662996,0.0031336281000090976,0.2093589961637436,0.2144858028914938,-0.005126806727750205
primary,L1_ridge,capacity_Ah_k1,profile_holdout_fold,F2_state_exposure,F3_state_nominal,0.07757958123662996,0.08686915629657384,-0.009289575059943878,0.2144858028914938,0.30195426729654895,-0.08746846440505515
primary,L1_ridge,capacity_Ah_k1,profile_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.08686915629657384,0.35163524217827047,-0.26476608588169664,0.30195426729654895,0.6508320669283774,-0.3488777996318284
primary,L1_ridge,capacity_Ah_k1,temperature_holdout_fold,F1_state_time,F2_state_exposure,0.11330034049571655,0.11176284662839898,0.0015374938673175659,0.4169945107984601,0.4133262162409066,0.0036682945575535197
primary,L1_ridge,capacity_Ah_k1,temperature_holdout_fold,F2_state_exposure,F3_state_nominal,0.11176284662839898,0.08938646160899522,0.02237638501940377,0.4133262162409066,0.3393070983630557,0.07401911787785087
primary,L1_ridge,capacity_Ah_k1,temperature_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.08938646160899522,0.13338504459541128,-0.04399858298641607,0.3393070983630557,0.29726865412938264,0.04203844423367309
primary,L1_ridge,capacity_Ah_k1,voltage_window_holdout_fold,F1_state_time,F2_state_exposure,0.10549585263160989,0.10468063709033308,0.0008152155412768092,0.48659182100192816,0.470114644311072,0.016477176690856132
primary,L1_ridge,capacity_Ah_k1,voltage_window_holdout_fold,F2_state_exposure,F3_state_nominal,0.10468063709033308,0.0869256136858994,0.017755023404433676,0.470114644311072,0.34688303695831024,0.12323160735276179
primary,L1_ridge,capacity_Ah_k1,voltage_window_holdout_fold,F3_state_nominal,F4_state_log_age_scalar,0.0869256136858994,0.13522878771493013,-0.04830317402903073,0.34688303695831024,0.6545400640007218,-0.3076570270424116
