run_scope,model_level,feature_group,target,split_name,heldout_fold,worst_condition_mae,condition_mean_mae,condition_median_mae,test_parameter_sets
primary,L0_persistence,persistence,capacity_Ah_k1,condition_fold,0,0.4024384999999999,0.1110837766877153,0.07639529369202228,16
primary,L0_persistence,persistence,delta_capacity_Ah,condition_fold,0,0.4024384999999999,0.1110837766877153,0.07639529369202228,16
primary,L1_ridge,F0_time_only,capacity_Ah_k1,condition_fold,0,0.41352725994231465,0.24472003780230991,0.26826720733074516,16
primary,L1_ridge,F0_time_only,delta_capacity_Ah,condition_fold,0,0.29838094129763426,0.07815029067121042,0.05474667019491937,16
primary,L1_ridge,F1_state_time,capacity_Ah_k1,condition_fold,0,0.3133333854178726,0.08354776537968792,0.07192956769985992,16
primary,L1_ridge,F1_state_time,delta_capacity_Ah,condition_fold,0,0.31336475445994755,0.0835785005423017,0.07195593892458255,16
primary,L1_ridge,F2_state_exposure,capacity_Ah_k1,condition_fold,0,0.28318393609112535,0.07923311891776301,0.06987298582349799,16
primary,L1_ridge,F2_state_exposure,delta_capacity_Ah,condition_fold,0,0.28227747640227063,0.07914515318769323,0.06985871447329792,16
primary,L1_ridge,F3_state_nominal,capacity_Ah_k1,condition_fold,0,0.15892711792015626,0.0641390626454316,0.06938839897260962,16
primary,L1_ridge,F3_state_nominal,delta_capacity_Ah,condition_fold,0,0.15896434900193565,0.06420033391124744,0.06920132694965182,16
primary,L1_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,0,0.1529112295157397,0.062093458027167016,0.06710518775346588,16
primary,L1_ridge,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,0,0.15246754176481622,0.061975689184044426,0.06672460902272126,16
primary,L0_persistence,persistence,capacity_Ah_k1,condition_fold,1,0.48400216666666673,0.10458010102451172,0.06255194029850746,15
primary,L0_persistence,persistence,delta_capacity_Ah,condition_fold,1,0.48400216666666673,0.10458010102451172,0.06255194029850746,15
primary,L1_ridge,F0_time_only,capacity_Ah_k1,condition_fold,1,0.4324103940104736,0.24774610123266036,0.2458463026022033,15
primary,L1_ridge,F0_time_only,delta_capacity_Ah,condition_fold,1,0.37952368315430346,0.08534965368530537,0.05562191814486494,15
primary,L1_ridge,F1_state_time,capacity_Ah_k1,condition_fold,1,0.36975026356139445,0.08432935314003538,0.04659423255954895,15
primary,L1_ridge,F1_state_time,delta_capacity_Ah,condition_fold,1,0.3697274231380468,0.0843457983831209,0.046657093692587644,15
primary,L1_ridge,F2_state_exposure,capacity_Ah_k1,condition_fold,1,0.36860750028760925,0.08445667449000986,0.05385731053065245,15
primary,L1_ridge,F2_state_exposure,delta_capacity_Ah,condition_fold,1,0.3684113078612521,0.08456158717241133,0.054052421282172025,15
primary,L1_ridge,F3_state_nominal,capacity_Ah_k1,condition_fold,1,0.2543716311727608,0.06436089303125664,0.04636955502042208,15
primary,L1_ridge,F3_state_nominal,delta_capacity_Ah,condition_fold,1,0.25529783284169144,0.0643952768566587,0.0463369252823492,15
primary,L1_ridge,F4_state_log_age_scalar,capacity_Ah_k1,condition_fold,1,0.2306252679092835,0.0659319257841136,0.04613828094000979,15
primary,L1_ridge,F4_state_log_age_scalar,delta_capacity_Ah,condition_fold,1,0.23205238499239825,0.06585208380740623,0.04611642233519536,15
primary,L0_persistence,persistence,capacity_Ah_k1,condition_fold,2,0.5564216666666667,0.1064322646434752,0.04650066265060241,15
primary,L0_persistence,persistence,delta_capacity_Ah,condition_fold,2,0.5564216666666667,0.1064322646434752,0.04650066265060241,15
primary,L1_ridge,F0_time_only,capacity_Ah_k1,condition_fold,2,0.4596499817969642,0.2604834965643143,0.25842202592803953,15
