target,split_name,heldout_fold,parameter_set,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode,prior_eis_feature_group,prior_eis_source_report,best_noneis_feature_group,best_noneis_source_report,best_noneis_condition_mae,prior_eis_condition_mae
capacity_Ah_k1,c_rate_holdout_fold,1,20,0.0052351943501791065,6,0.0,approx_0_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.1796799497245337,0.17444475537435458
capacity_Ah_k1,c_rate_holdout_fold,1,24,0.01909373988042784,4,0.0,approx_10_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.16573266198913394,0.1466389221087061
capacity_Ah_k1,c_rate_holdout_fold,1,28,0.022500022899763952,9,0.0,approx_10_90,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.10245694433960886,0.07995692143984491
capacity_Ah_k1,c_rate_holdout_fold,1,32,-0.023838621154349843,6,10.0,approx_0_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.2192951227743526,0.24313374392870243
capacity_Ah_k1,c_rate_holdout_fold,1,36,-0.02889982270758376,6,10.0,approx_10_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.24303524846680977,0.27193507117439353
capacity_Ah_k1,c_rate_holdout_fold,1,40,-0.0010568454026192303,15,10.0,approx_10_90,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.0542782056153059,0.05533505101792513
capacity_Ah_k1,c_rate_holdout_fold,1,44,-0.005962239707579073,6,25.0,approx_0_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.11071370426660516,0.11667594397418424
capacity_Ah_k1,c_rate_holdout_fold,1,48,0.008416651298649436,10,25.0,approx_10_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.044165768620961866,0.03574911732231243
capacity_Ah_k1,c_rate_holdout_fold,1,52,0.008162325103395228,28,25.0,approx_10_90,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.05420353060335009,0.046041205499954864
capacity_Ah_k1,c_rate_holdout_fold,1,56,-0.04008242056706683,13,40.0,approx_0_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.09273987602261181,0.13282229658967865
capacity_Ah_k1,c_rate_holdout_fold,1,60,-0.008122533760896111,15,40.0,approx_10_100,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.1541235306263818,0.1622460643872779
capacity_Ah_k1,c_rate_holdout_fold,1,64,-0.018795904692531167,38,40.0,approx_10_90,1.67,cyclic,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.035920273309618236,0.0547161780021494
capacity_Ah_k1,condition_fold,0,8,0.00028322013598037696,84,10.0,calendar_soc_100,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0045669227248146945,0.004283702588834318
capacity_Ah_k1,condition_fold,0,15,0.0037550630963385304,78,40.0,calendar_soc_90,0.0,calendar,C_E2_log_age_eis,capacity_with_prior_eis_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.021653500668727028,0.017898437572388497
