target,split_name,heldout_fold,parameter_set,prior_pulse_feature_group,f4_condition_mae,prior_pulse_condition_mae,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode
capacity_Ah_k1,c_rate_holdout_fold,1,20,C_P3_stress_pulse,0.19513838068064926,0.20910165084896706,-0.013963270168317804,6,0.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,24,C_P3_stress_pulse,0.15928397797414262,0.15337857295309454,0.005905405021048082,4,0.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,28,C_P3_stress_pulse,0.08923072591585769,0.08774148554091624,0.0014892403749414557,9,0.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,32,C_P3_stress_pulse,0.25317789858661105,0.22910827484085428,0.024069623745756774,6,10.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,36,C_P3_stress_pulse,0.2513625705020563,0.2586140441947962,-0.007251473692739929,6,10.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,40,C_P3_stress_pulse,0.05821131241297558,0.043590361044101904,0.014620951368873675,15,10.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,44,C_P3_stress_pulse,0.10907281261115583,0.11128699729882396,-0.0022141846876681387,6,25.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,48,C_P3_stress_pulse,0.0405808886211231,0.04517573689290484,-0.0045948482717817415,10,25.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,52,C_P3_stress_pulse,0.04626987503421024,0.04268283524254689,0.003587039791663353,28,25.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,56,C_P3_stress_pulse,0.1285235405104643,0.09366678022620059,0.03485676028426371,13,40.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,60,C_P3_stress_pulse,0.14431899874191462,0.13535996473883996,0.008959034003074656,16,40.0,approx_10_100,1.67,cyclic
