target,split_name,prior_pulse_feature_group,n_conditions,mean_gain,median_gain,win_rate,worst_condition_gain,bootstrap_resamples,gain_mean,gain_p05,gain_p50,gain_p95,win_rate_mean
capacity_Ah_k1,c_rate_holdout_fold,C_P3_stress_pulse,12,0.006692081995197843,0.004746222406355718,0.6666666666666666,-0.013963270168317804,1000,0.006756711524178607,0.0007186513419948485,0.006788415994578946,0.013125465083947527,0.67025
capacity_Ah_k1,condition_fold,C_P2_log_age_pulse,76,0.0002528640258321683,0.00015416743675456326,0.5394736842105263,-0.019801646860473143,1000,0.0002595526993790797,-0.0008478739796718713,0.00027561115426875585,0.0013423598959681168,0.5406578947368421
capacity_Ah_k1,profile_holdout_fold,C_P0_state_time_pulse,12,0.021490514049651074,0.01893075264204127,0.9166666666666666,-0.007421255237618191,1000,0.02161568916570337,0.013783440446515525,0.02146678159550653,0.029969582610508184,0.9163333333333333
capacity_Ah_k1,temperature_holdout_fold,C_P3_stress_pulse,38,0.005096198430968518,0.002441470464898177,0.6052631578947368,-0.0207999161840359,1000,0.005069054234877441,0.0010323009251330176,0.0049389199795953406,0.00974338934154885,0.6045526315789475
capacity_Ah_k1,voltage_window_holdout_fold,C_P2_log_age_pulse,76,0.0003143370857580576,0.0019503581894991656,0.631578947368421,-0.033087681003154096,1000,0.00031119101582453737,-0.001526485662493051,0.0003105832889450592,0.00201886936326871,0.6320657894736842
delta_capacity_Ah,c_rate_holdout_fold,C_P3_stress_pulse,12,-0.00574230319537937,-0.0006417024505351379,0.5,-0.06213648283858933,1000,-0.005622246502748781,-0.02034658984893348,-0.005521364994493055,0.008355794951829573,0.4978333333333333
delta_capacity_Ah,condition_fold,C_P3_stress_pulse,76,0.0024445687488198133,0.000784160352525729,0.5921052631578947,-0.07396421055575195,1000,0.002504143022253881,-0.001187991508253551,0.0025657229434097473,0.006052668101376573,0.5907894736842105
delta_capacity_Ah,profile_holdout_fold,C_P0_state_time_pulse,12,0.043381694210265866,0.04401454549276013,0.9166666666666666,-0.0022401004354017096,1000,0.04324030286531211,0.031446216466329946,0.0431772883206938,0.054748150630725065,0.9181666666666666
delta_capacity_Ah,temperature_holdout_fold,C_P3_stress_pulse,38,0.001031303284235182,6.854467803292302e-05,0.5,-0.0459814934377012,1000,0.0011243969430099641,-0.0042189271346142875,0.0010447702683921774,0.0064905074359977825,0.49955263157894736
delta_capacity_Ah,voltage_window_holdout_fold,C_P2_log_age_pulse,76,0.0008730726975562576,-0.0015695013900527185,0.4342105263157895,-0.02171877931115991,1000,0.0009227019278282654,-0.0012284341446488186,0.0009011022714424395,0.0032501261866199524,0.43688157894736845
