target,split_name,heldout_fold,parameter_set,prior_pulse_feature_group,prior_pulse_source_report,best_nonpulse_feature_group,best_nonpulse_source_report,best_nonpulse_condition_mae,prior_pulse_condition_mae,gain,n_intervals,nominal_temperature_C,voltage_window_family,nominal_charge_C_rate,aging_mode
capacity_Ah_k1,c_rate_holdout_fold,1,20,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.1796799497245337,0.20910165084896706,-0.029421701124433375,6,0.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,24,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.16573266198913394,0.15337857295309454,0.012354089036039406,4,0.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,28,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.10245694433960886,0.08774148554091624,0.014715458798692627,9,0.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,32,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.2192951227743526,0.22910827484085428,-0.009813152066501685,6,10.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,36,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.24303524846680977,0.2586140441947962,-0.015578795727986455,6,10.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,40,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.0542782056153059,0.043590361044101904,0.010687844571203996,15,10.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,44,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.11071370426660516,0.11128699729882396,-0.0005732930322187996,6,25.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,48,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.044165768620961866,0.04517573689290484,-0.001009968271942975,10,25.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,52,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.05420353060335009,0.04268283524254689,0.011520695360803204,28,25.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,56,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.09273987602261181,0.09366678022620059,-0.000926904203588777,13,40.0,approx_0_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,60,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.1450422257825303,0.13535996473883996,0.009682261043690327,16,40.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,c_rate_holdout_fold,1,64,C_P3_stress_pulse,capacity_with_prior_pulse_hgb50_report.json,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,0.035920273309618236,0.032845546121059506,0.0030747271885587305,38,40.0,approx_10_90,1.67,cyclic
capacity_Ah_k1,condition_fold,0,8,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.0045669227248146945,0.0034608505591430198,0.0011060721656716748,84,10.0,calendar_soc_100,0.0,calendar
capacity_Ah_k1,condition_fold,0,15,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.021653500668727028,0.015670450734431414,0.005983049934295614,78,40.0,calendar_soc_90,0.0,calendar
capacity_Ah_k1,condition_fold,0,18,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.08714746113600164,0.07765105638222074,0.009496404753780899,17,0.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,0,24,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04900724352118724,0.08047834296798767,-0.03147109944680043,4,0.0,approx_10_100,1.67,cyclic
capacity_Ah_k1,condition_fold,0,30,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.05836259533706081,0.07226110054789872,-0.013898505210837908,25,10.0,approx_0_100,0.33,cyclic
capacity_Ah_k1,condition_fold,0,34,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04397824723704288,0.03952629717567175,0.0044519500613711335,44,10.0,approx_10_100,0.33,cyclic
capacity_Ah_k1,condition_fold,0,37,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.009354895341963659,0.012501683892157403,-0.003146788550193744,84,10.0,approx_10_90,0.33,cyclic
capacity_Ah_k1,condition_fold,0,39,C_P2_log_age_pulse,capacity_with_prior_pulse_hgb50_report.json,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,0.04852964789630445,0.06736664916798422,-0.018837001271679775,21,10.0,approx_10_90,1.0,cyclic
