target,split_name,prior_pulse_feature_group,best_nonpulse_feature_group,best_nonpulse_source_report,n_conditions,mean_gain,median_gain,win_rate,worst_condition_gain,bootstrap_resamples,gain_mean,gain_p05,gain_p50,gain_p95,win_rate_mean
capacity_Ah_k1,c_rate_holdout_fold,C_P3_stress_pulse,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,12,0.00039260513102635196,0.0012507170781699654,0.5,-0.029421701124433375,1000,0.0006703028550412402,-0.005538431231341462,0.0007278868266569502,0.006455195771048025,0.5065833333333333
capacity_Ah_k1,condition_fold,C_P2_log_age_pulse,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,76,-0.0003624698600388396,-0.0003851687179837935,0.47368421052631576,-0.03941597440992983,1000,-0.00037625698230712133,-0.00302473299640423,-0.0003209609771641931,0.002255515907548822,0.47586842105263155
capacity_Ah_k1,profile_holdout_fold,C_P0_state_time_pulse,F1_state_time,capacity_hgb50_focused_report.json,12,-0.0006975820177541284,0.0006703655899964328,0.5833333333333334,-0.011369089983715552,1000,-0.0007049173849648616,-0.0028197537719492163,-0.00058227030363667,0.0011127421902674668,0.5801666666666666
capacity_Ah_k1,temperature_holdout_fold,C_P3_stress_pulse,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,38,-0.0007530488677205935,0.00015196982154182682,0.5526315789473685,-0.028227102450321256,1000,-0.0007528221109995043,-0.002941842103305472,-0.0006803511632355229,0.0012369010091678248,0.5520263157894736
capacity_Ah_k1,voltage_window_holdout_fold,C_P2_log_age_pulse,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,76,-0.0008736584259709567,0.0014334439190098747,0.6052631578947368,-0.033087681003154096,1000,-0.0008692549796826875,-0.0025642825612325394,-0.000842818191000527,0.000866916553483813,0.606842105263158
delta_capacity_Ah,c_rate_holdout_fold,C_P3_stress_pulse,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,12,-0.00234427506557541,0.0017670070462937962,0.5833333333333334,-0.06811162453528052,1000,-0.0022115572762367816,-0.01697415599918875,-0.0018523118498030072,0.011986657500596791,0.5873333333333334
delta_capacity_Ah,condition_fold,C_P3_stress_pulse,F8_timestamp_weighted_stress,capacity_stress_features_v1_1_hgb50_report.json,76,-0.0010802667232670165,-0.0005741167847136963,0.3815789473684211,-0.02381321994236993,1000,-0.001085871482509834,-0.002092410949880278,-0.0010754228426829212,-8.84981939751287e-05,0.3797105263157895
delta_capacity_Ah,profile_holdout_fold,C_P0_state_time_pulse,F1_state_time,capacity_hgb50_focused_report.json,12,3.016265377906614e-05,0.0012996856899627728,0.5833333333333334,-0.01667775581558628,1000,-1.6809492194787343e-05,-0.002968536495486107,0.00014496064594842132,0.0024529880888479547,0.5776666666666667
delta_capacity_Ah,temperature_holdout_fold,C_P3_stress_pulse,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,38,-0.0006884607118465831,0.00034182544765811243,0.5526315789473685,-0.021422313245951494,1000,-0.0006945145167922561,-0.002591725945625714,-0.0007012001941577448,0.001253139805768435,0.5544210526315789
delta_capacity_Ah,voltage_window_holdout_fold,C_P2_log_age_pulse,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,76,-0.00014910137098355695,0.0006803533576571694,0.5394736842105263,-0.02171877931115991,1000,-0.00013699296672105372,-0.0015138761897930447,-0.00013384032945957727,0.001263136894956263,0.5418157894736841
