run_scope,model_level,feature_group,target,split_name,fold_count,mean_mae,mean_rmse,condition_mean_mae,condition_median_mae,worst_condition_mae,q10_q90_interval_coverage,q10_q90_interval_width_mean,pinball_loss_q10,pinball_loss_q50,pinball_loss_q90,test_rows,test_parameter_sets
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,c_rate_holdout_fold,1,0.09755674259535295,0.16069619202862903,0.13157356792440153,0.11693540483122572,0.27378491463314986,,,,,,157,12
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,condition_fold,5,0.03127066635350304,0.07251706774464248,0.054755659343743324,0.04303503755442694,0.26383326293666665,,,,,,3827,76
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,profile_holdout_fold,1,0.09233398350510785,0.13354154576202998,0.104286657659333,0.09609386714291361,0.18718469645515903,,,,,,752,12
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,temperature_holdout_fold,2,0.04151462890909033,0.09376208523855367,0.07104310746266503,0.06207623332191401,0.27242343789452333,,,,,,1802,38
primary,L2_hist_gradient_boosting,F14_event_aggregate,capacity_Ah_k1,voltage_window_holdout_fold,3,0.07231112059424229,0.11302953300493501,0.0947231156248275,0.08513145691370598,0.3895381361282286,,,,,,3827,76
primary,L2_hist_gradient_boosting,F14_event_aggregate,delta_capacity_Ah,c_rate_holdout_fold,1,0.07852481713777322,0.11922890622808911,0.09546361519432946,0.07981913867856374,0.15963241136581763,,,,,,157,12
primary,L2_hist_gradient_boosting,F14_event_aggregate,delta_capacity_Ah,condition_fold,5,0.0261344239129939,0.06202480703152585,0.04420351077531409,0.03803293856725156,0.1799849928838722,,,,,,3827,76
primary,L2_hist_gradient_boosting,F14_event_aggregate,delta_capacity_Ah,profile_holdout_fold,1,0.10318655587746096,0.13358105691105326,0.10957071288525212,0.1162217413707339,0.18166227334370885,,,,,,752,12
primary,L2_hist_gradient_boosting,F14_event_aggregate,delta_capacity_Ah,temperature_holdout_fold,2,0.0311811330555904,0.07965763157259932,0.05288130279591109,0.04625368197404688,0.15694942138346415,,,,,,1802,38
primary,L2_hist_gradient_boosting,F14_event_aggregate,delta_capacity_Ah,voltage_window_holdout_fold,3,0.06609951399307853,0.08995648623987036,0.07576412661278124,0.07469821217808366,0.21218786901986855,,,,,,3827,76
primary,L2_hist_gradient_boosting,F15_event_order_aware,capacity_Ah_k1,c_rate_holdout_fold,1,0.09789334838366677,0.16199736927801686,0.13027552746725635,0.11310295386512298,0.2865298626146859,,,,,,157,12
primary,L2_hist_gradient_boosting,F15_event_order_aware,capacity_Ah_k1,condition_fold,5,0.031680074453609215,0.07461955793473804,0.05590676202530366,0.04715158228220812,0.2712491664167552,,,,,,3827,76
primary,L2_hist_gradient_boosting,F15_event_order_aware,capacity_Ah_k1,profile_holdout_fold,1,0.08448228629928184,0.12595741235265728,0.09981378603879704,0.09197865366255407,0.1951458864449591,,,,,,752,12
