target,split_name,heldout_fold,reference_group,candidate_group,reference_condition_mean_mae,candidate_condition_mean_mae,gain,test_rows,test_parameter_sets
capacity_Ah_k1,c_rate_holdout_fold,1,F14_event_aggregate,F15_event_order_aware,0.13157356792440153,0.13027552746725635,0.0012980404571451831,157,12
capacity_Ah_k1,condition_fold,0,F14_event_aggregate,F15_event_order_aware,0.046329797862479094,0.04939782886728636,-0.0030680310048072645,844,16
capacity_Ah_k1,condition_fold,1,F14_event_aggregate,F15_event_order_aware,0.04278559024704874,0.039682704595364375,0.003102885651684366,865,15
capacity_Ah_k1,condition_fold,2,F14_event_aggregate,F15_event_order_aware,0.0425649618847694,0.03994221796360113,0.0026227439211682704,892,15
capacity_Ah_k1,condition_fold,3,F14_event_aggregate,F15_event_order_aware,0.08057078117878551,0.08179359193218755,-0.00122281075340204,509,15
capacity_Ah_k1,condition_fold,4,F14_event_aggregate,F15_event_order_aware,0.06152716554563386,0.0687174667680789,-0.007190301222445038,717,15
capacity_Ah_k1,profile_holdout_fold,1,F14_event_aggregate,F15_event_order_aware,0.104286657659333,0.09981378603879704,0.004472871620535959,752,12
capacity_Ah_k1,temperature_holdout_fold,1,F14_event_aggregate,F15_event_order_aware,0.07784508459876045,0.07562071994528563,0.0022243646534748224,742,19
capacity_Ah_k1,temperature_holdout_fold,2,F14_event_aggregate,F15_event_order_aware,0.0642411303265696,0.06070893161401101,0.003532198712558589,1060,19
capacity_Ah_k1,voltage_window_holdout_fold,1,F14_event_aggregate,F15_event_order_aware,0.11893737782633,0.12163840139100864,-0.002701023564678634,1130,28
capacity_Ah_k1,voltage_window_holdout_fold,2,F14_event_aggregate,F15_event_order_aware,0.10728598598930565,0.10651185578559298,0.0007741302037126696,1371,32
capacity_Ah_k1,voltage_window_holdout_fold,3,F14_event_aggregate,F15_event_order_aware,0.0579459830588469,0.05496245267312736,0.0029835303857195378,1326,16
delta_capacity_Ah,c_rate_holdout_fold,1,F14_event_aggregate,F15_event_order_aware,0.09546361519432946,0.09874582542922374,-0.0032822102348942783,157,12
delta_capacity_Ah,condition_fold,0,F14_event_aggregate,F15_event_order_aware,0.037151998494231786,0.038379475535226075,-0.001227477040994289,844,16
delta_capacity_Ah,condition_fold,1,F14_event_aggregate,F15_event_order_aware,0.04182559456671073,0.042046875491520294,-0.00022128092480956651,865,15
delta_capacity_Ah,condition_fold,2,F14_event_aggregate,F15_event_order_aware,0.03434115107913387,0.033042171551347706,0.0012989795277861677,892,15
delta_capacity_Ah,condition_fold,3,F14_event_aggregate,F15_event_order_aware,0.06095291138483762,0.06608061549307366,-0.005127704108236042,509,15
delta_capacity_Ah,condition_fold,4,F14_event_aggregate,F15_event_order_aware,0.04674589835165645,0.05292618824717472,-0.006180289895518269,717,15
delta_capacity_Ah,profile_holdout_fold,1,F14_event_aggregate,F15_event_order_aware,0.10957071288525212,0.10231320235284158,0.007257510532410541,752,12
delta_capacity_Ah,temperature_holdout_fold,1,F14_event_aggregate,F15_event_order_aware,0.0591278072161258,0.06718167421025678,-0.008053866994130979,742,19
delta_capacity_Ah,temperature_holdout_fold,2,F14_event_aggregate,F15_event_order_aware,0.04663479837569638,0.04580895818437906,0.0008258401913173244,1060,19
delta_capacity_Ah,voltage_window_holdout_fold,1,F14_event_aggregate,F15_event_order_aware,0.09027377100738931,0.08503811159644777,0.005235659410941548,1130,28
delta_capacity_Ah,voltage_window_holdout_fold,2,F14_event_aggregate,F15_event_order_aware,0.10804112905855977,0.10498833267027381,0.0030527963882859555,1371,32
delta_capacity_Ah,voltage_window_holdout_fold,3,F14_event_aggregate,F15_event_order_aware,0.028977479772394666,0.04318621187870768,-0.014208732106313012,1326,16
