target,split_name,best_model_level,best_feature_group,best_condition_mean_mae,best_worst_condition_mae,worst_parameter_set,worst_parameter_set_mae,l0_condition_mean_mae,l0_reference_status,condition_mean_mae_improvement_vs_l0
capacity_Ah_k1,c_rate_holdout_fold,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.12244211150469492,0.2539914861259202,36,0.2539914861259202,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,condition_fold,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.05357260418838129,0.2578082469271345,36,0.2578082469271345,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,profile_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.08436802390070613,0.17718560597321364,67,0.17718560597321364,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,temperature_holdout_fold,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.06426764374153762,0.27110814311431214,23,0.27110814311431214,reference_missing,reference_missing,reference_missing
capacity_Ah_k1,voltage_window_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.08441287861354206,0.3603624225203877,36,0.3603624225203877,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,c_rate_holdout_fold,L2_hist_gradient_boosting,F16_event_order_shuffled,0.0952571453603804,0.18147267621052987,20,0.18147267621052987,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,condition_fold,L2_hist_gradient_boosting,F8_timestamp_weighted_stress,0.04170028239886194,0.1901932227892993,70,0.1901932227892993,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,profile_holdout_fold,L2_hist_gradient_boosting,F17_event_order_plus_stress,0.07196070827700975,0.1731380623104771,67,0.1731380623104771,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,temperature_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.04857476766234761,0.16868537789777535,67,0.16868537789777535,reference_missing,reference_missing,reference_missing
delta_capacity_Ah,voltage_window_holdout_fold,L2_hist_gradient_boosting,F4_state_log_age_scalar,0.07084470672683431,0.2315662886975436,36,0.2315662886975436,reference_missing,reference_missing,reference_missing
